state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,503.91,19,5,44.8306,0.0,15.1534,13.2613,26.7547,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,89.99,20,5,25.4839,,18.3254,,19.554,22.6319,14.0048,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,841.7,23,5,26.2323,,,,16.224,20.5742,17.9949,18.9746,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,292.37,22,5,34.7373,,13.435,,8.1728,32.1772,,,11.4776,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2811.57,22,5,21.2384,,,,15.0723,23.15,24.6384,,15.9008,,,,
8,CO,STY_1,STY_1,STY,pure,2,,603.64,21,5,30.2968,,,,6.9995,20.9748,25.535,,16.1939,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,355.22,22,5,24.7227,,8.2845,,,20.9402,28.5779,,17.4747,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,155.88,20,5,35.2915,0.0,,,9.2751,31.3506,24.0828,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,86.93,19,5,,,,,,32.613,30.6332,,23.101,0.0,13.6529,,
12,FL,STY_1,STY_1,STY,pure,2,,2211.18,23,5,31.4026,,17.3635,,13.9547,28.1726,,,9.1067,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1035.56,20,5,34.8114,,12.2826,,17.1029,19.7786,16.0245,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,147.52,20,5,29.1298,,,,,30.0537,27.3126,,13.504,,,0.0,
16,ID,POP_1,POP_1,POP,pure,5,,234.21,20,5,26.1912,,,,,22.2585,13.8174,15.26,22.473,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1059.26,22,5,26.9939,,14.4893,,,22.8065,22.8926,,12.8177,,,,
18,IN,STY_1,STY_1,STY,pure,2,,709.01,22,5,37.3583,,14.7125,,14.72,17.5613,15.6479,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,318.79,23,5,36.8444,,12.6908,,,24.2073,13.4285,,12.829,,,,
20,KS,STY_1,STY_1,STY,pure,2,,266.95,20,5,43.3462,0.0,,,17.9051,17.4553,21.2934,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,503.67,22,5,34.4249,,15.0243,,11.8624,26.4449,,,12.2435,,,,
22,LA,STY_1,STY_1,STY,pure,2,,357.28,19,5,25.222,,18.7193,,16.6399,23.227,,16.1917,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,176.99,24,5,24.3415,,,,,23.0066,22.6559,,20.3971,,9.5989,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,559.97,22,5,24.9586,,,,10.361,26.1236,25.0058,,13.5509,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,578.54,23,5,28.2189,,,12.2985,,22.5445,24.9963,,11.9418,,,,
26,MI,POP_1,POP_1,POP,pure,5,,965.85,20,5,34.5384,,8.784,,,21.9702,19.3177,,15.3897,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,527.63,23,5,22.7456,,,,,20.1875,32.8205,10.318,13.9285,,,,
28,MS,STY_1,STY_1,STY,pure,2,,298.85,19,5,34.1497,,,,23.3979,19.9507,,,10.1325,,,,12.3691
29,MO,STY_1,STY_1,STY,pure,2,,670.41,21,5,38.396,,10.5467,,16.6212,21.155,13.281,,,,,,
30,MT,STY_1,STY_1,STY,pure,2,,186.47,22,5,24.0017,,,,14.4742,18.3457,20.0495,23.1289,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,207.28,22,5,26.7488,,14.1093,,,27.8124,13.6563,,17.6732,,,,
32,NV,STY_1,STY_1,STY,pure,2,,503.52,21,5,31.1589,,,,12.3147,21.179,20.6474,,14.7,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,192.85,22,5,27.6016,,,,,34.3902,12.6887,,12.7887,,12.5308,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,844.81,22,5,28.7564,,,,8.1125,22.9195,26.4698,,13.7417,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,289.84,21,5,27.3746,,15.5604,,12.6729,26.5361,17.8561,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1660.77,23,5,26.3043,,,,11.4721,26.2489,23.5976,,12.377,,,,
37,NC,STY_1,STY_1,STY,pure,2,,1041.81,23,5,36.9715,,,,12.029,17.8632,18.8354,,14.301,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,79.22,22,5,29.3341,,16.0656,,,22.4681,16.7474,,15.3848,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1230.03,22,5,35.5865,,13.0743,,,21.6409,15.047,,14.6513,,,,
40,OK,CON_1,CON_1,CON,pure,0,,432.89,23,5,25.1421,,24.3925,,23.9056,,,17.4982,9.0616,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,643.85,23,5,23.0169,,,16.8229,,17.6236,25.8369,16.6996,,,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1595.2,22,5,35.9681,,9.1805,,11.4609,18.8886,24.502,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,118.57,24,5,26.4507,,,,8.4583,24.3314,30.1076,,10.652,,,,
45,SC,STY_1,STY_1,STY,pure,2,,516.19,21,5,28.4145,,,,13.5175,33.3291,,13.3914,11.3475,,,,
46,SD,STY_1,STY_1,STY,pure,2,,99.69,22,5,20.1895,,20.5116,,17.7657,27.0614,,14.4718,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,818.35,20,5,40.3947,0.0,,,19.1094,22.8289,,17.667,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2469.51,22,5,24.815,,16.3269,,20.1754,28.0004,,10.6823,,,,,
49,UT,STY_1,STY_1,STY,pure,2,,320.95,22,5,25.6959,,11.3513,,12.4625,36.1154,,,14.3749,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,81.72,23,5,27.8385,,,,,21.1346,15.1098,,6.3163,,29.6008,,
51,VA,STY_1,STY_1,STY,pure,2,,956.41,22,5,35.1451,,9.4015,,12.8833,22.0936,20.4765,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,893.28,22,5,32.8913,,11.326,,,27.3488,15.4638,,,,12.9701,,
54,WV,STY_1,STY_1,STY,pure,2,,248.98,21,5,36.5048,,15.5529,,17.1562,22.8441,,,7.942,,,,
55,WI,STY_1,STY_1,STY,pure,2,,700.89,22,5,34.6698,,,,8.5134,22.5263,20.7303,,13.5601,,,,
56,WY,CUP_1,CUP_1,CUP,pure,6,,70.51,21,5,40.07,0.0,12.8341,,,,21.0368,,26.0591,,,,
