state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,522.8,19,5,44.4719,0.0,15.1827,13.1179,27.2276,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,93.58,20,5,25.1973,,18.3857,,19.8792,22.7499,13.7879,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,870.59,23,5,23.1914,,,,,25.913,17.7772,17.3462,15.7722,,,,
5,AR,CON_1,CON_1,CON,pure,0,,303.14,22,5,34.4698,,13.458,,8.3317,32.1567,,,11.5838,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2915.57,22,5,21.1133,,,,15.4048,23.2896,24.295,,15.8972,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,624.43,21,5,30.1806,,,,7.1657,21.1344,25.228,,16.2912,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,367.27,22,5,24.6258,,8.3329,,,21.1854,28.2486,,17.6073,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,161.48,20,5,35.1189,0.0,,,9.4702,31.5643,23.8466,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,89.85,19,5,,,,,,32.8827,30.3874,,23.2977,0.0,13.4322,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2295.92,23,5,31.1271,,17.3492,,14.2478,28.0993,,,9.1766,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1074.73,20,5,34.5532,,12.3223,,17.4221,19.899,15.8035,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,152.82,20,5,28.9779,,,,,30.3654,27.0295,,13.6272,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,242.52,20,5,26.1085,,,,,22.4117,13.6469,15.0958,22.7372,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1095.73,22,5,26.8842,,14.5748,,,23.0031,22.6249,,12.9131,,,,
18,IN,CON_1,CON_1,CON,pure,0,,734.53,22,5,37.0956,,14.7859,,15.018,17.6591,15.4415,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,330.26,23,5,36.6011,,12.732,,,24.4016,13.2581,,13.0072,,,,
20,KS,STY_1,STY_1,STY,pure,2,,276.41,20,5,43.1769,0.0,,,18.2601,17.5323,21.0307,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,522.53,22,5,34.1431,,15.0333,,12.1599,26.3675,,,12.2962,,,,
22,LA,CON_1,CON_1,CON,pure,0,,370.48,19,5,25.102,,18.7703,,17.0026,23.13,,15.9951,,,,,
23,ME,CON_1,CON_1,CON,pure,0,,183.12,24,5,24.0037,,,,6.7849,20.9826,30.5482,,17.6806,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,580.34,22,5,24.8301,,,,10.6094,26.29,24.6456,,13.6249,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,598.06,23,5,28.0319,,,,7.8521,25.3966,29.4431,,9.2763,,,,
26,MI,CON_1,CON_1,CON,pure,0,,999.21,20,5,34.3495,,8.8478,,,22.1543,19.0904,,15.558,,,,
27,MN,CON_1,CON_1,CON,pure,0,,545.1,23,5,22.7343,,,,,20.4113,32.4684,10.2304,14.1556,,,,
28,MS,STY_1,STY_1,STY,pure,2,,311.13,19,5,33.7981,,,,23.8684,19.9296,,,10.1753,,,,12.2286
29,MO,LBR_1,LBR_1,LBR,pure,1,,695.08,21,5,25.7819,,12.5641,,16.9578,32.3522,,12.344,,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,192.97,22,5,24.0082,,,,14.769,18.4962,19.8263,22.9004,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,215.08,22,5,26.4894,,17.6788,,10.5806,31.0703,,,14.1809,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,521.96,21,5,30.98,,,,12.5771,21.3354,20.3831,,14.7245,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,199.37,22,5,27.5365,,,18.4888,,24.6875,16.3944,,12.8928,,,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,873.82,22,5,28.6622,,,,8.3187,23.0559,26.1675,,13.7958,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,301.02,21,5,27.1629,,15.6222,,12.9526,26.6906,17.5717,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1719.78,23,5,26.1766,,,,11.6971,26.3817,23.3034,,12.4413,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1078.88,23,5,36.773,,,,12.2895,17.9524,18.5983,,14.3868,,,,
38,ND,CON_1,CON_1,CON,pure,0,,82.2,22,5,29.1193,,16.1427,,,22.6748,16.5155,,15.5477,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1274.43,22,5,35.3479,,13.134,,,21.8214,14.8557,,14.8411,,,,
40,OK,CON_1,CON_1,CON,pure,0,,448.29,23,5,25.0347,,24.3849,,24.1065,,,17.3084,9.1655,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,664.18,23,5,23.1641,,,16.6839,,17.9298,25.6063,16.6159,,,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1649.8,22,5,35.8268,,9.231,,11.6905,19.0368,24.215,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,122.69,24,5,26.3422,,,,8.6651,24.4993,29.7566,,10.7367,,,,
45,SC,CON_1,CON_1,CON,pure,0,,535.19,21,5,28.2796,,,,13.7657,33.2687,,13.2303,11.4557,,,,
46,SD,CON_1,CON_1,CON,pure,0,,103.35,22,5,20.0781,,20.573,,18.0904,26.9587,,14.2999,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,847.07,20,5,40.306,0.0,,,19.4242,22.7839,,17.4858,,,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,2563.8,22,5,31.6449,,15.5541,,16.0034,27.9119,,,8.8857,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,333.42,22,5,25.4495,,11.3687,,12.7359,36.0156,,,14.4302,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,84.15,23,5,27.8543,,,,,21.4462,15.046,,6.4418,,29.2117,,
51,VA,LBR_1,LBR_1,LBR,pure,1,,990.17,22,5,34.949,,9.4554,,13.1514,22.2489,20.1953,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,923.23,22,5,32.8603,,11.4175,,,27.6211,15.3435,,,,12.7575,,
54,WV,STY_1,STY_1,STY,pure,2,,258.66,21,5,36.1483,,15.5686,,17.4408,22.835,,,8.0073,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,725.32,22,5,34.5097,,,,8.7241,22.6604,20.4714,,13.6345,,,,
56,WY,CON_1,CON_1,CON,pure,0,,73.07,21,5,39.0854,0.0,12.1562,,,27.5409,,,21.2175,,,,
