state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_PRG_2_pct,finalist_CON_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,503.91,19,5,30.3313,12.7291,12.3917,14.3026,23.941,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,89.99,20,5,23.277,18.3254,,,19.3728,22.6319,14.0048,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,841.7,23,5,22.4673,,,17.5154,,18.8766,14.9259,10.9617,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,292.37,22,5,24.3241,12.8786,,11.2006,,29.3931,,13.9686,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2811.57,22,5,18.6424,,,11.4094,19.1007,22.6101,21.5656,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,603.64,21,5,30.4459,,,,,23.0684,15.1128,18.5327,10.8901,,,,
9,CT,CON_1,CON_1,CON,pure,0,,355.22,22,5,25.154,,,,,20.2172,18.1941,19.7449,11.2394,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,155.88,20,5,31.8732,,,,9.2751,25.268,16.4741,,,14.2972,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,86.93,19,5,,,,,,29.2847,30.6332,14.3988,13.6529,,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,2211.18,23,5,32.5882,16.5505,,,19.0682,19.1336,10.835,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,1035.56,20,5,33.4023,12.2826,,,16.9501,19.7786,16.0245,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,147.52,20,5,23.9082,,,,,27.7616,21.1925,13.3036,,11.6251,,,
16,ID,CON_1,CON_1,CON,pure,0,,234.21,20,5,23.1064,12.2409,,15.26,,25.2318,,16.6416,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1059.26,22,5,26.9896,14.4893,,,,21.1137,19.251,12.8177,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,709.01,22,5,22.4412,16.8015,,14.9172,14.72,22.6244,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,318.79,23,5,23.2121,12.8215,,14.7786,,19.383,11.7139,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,266.95,20,5,30.7812,,,11.8649,17.0527,17.246,19.556,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,503.67,22,5,24.0103,13.8316,,13.4994,11.8624,21.2899,,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,357.28,19,5,25.222,18.7193,,16.1917,16.6399,17.0464,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,176.99,24,5,23.3113,,,,,22.26,22.5855,19.8202,9.5989,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,559.97,22,5,22.6459,,,,,24.902,13.4759,13.5509,12.3275,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,578.54,23,5,27.3376,,,,10.9842,23.5658,17.3688,,12.3958,,,,
26,MI,CON_1,CON_1,CON,pure,0,,965.85,20,5,24.3244,,,15.0385,,21.7674,16.8406,13.2306,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,527.63,23,5,25.2266,,,,,16.2861,19.0279,19.7269,14.1851,,,,
28,MS,CON_1,CON_1,CON,pure,0,,298.85,19,5,24.9635,,,11.698,29.2867,19.6141,,,,12.3691,,,
29,MO,CON_1,CON_1,CON,pure,0,,670.41,21,5,28.5067,,,12.4937,18.2755,21.791,11.8961,,,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,186.47,22,5,23.6741,,,23.1289,12.5304,17.4256,19.7414,,,,,,
31,NE,CON_1,CON_1,CON,pure,0,,207.28,22,5,22.7312,18.2309,,10.4119,,21.3179,12.6163,,,,,,
32,NV,CON_1,CON_1,CON,pure,0,,503.52,21,5,27.3889,,,12.0987,16.5262,20.4593,18.8361,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,192.85,22,5,17.7125,,,,,36.3265,,12.4922,13.6045,13.7512,,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,844.81,22,5,22.3923,,,10.3707,,24.4793,22.6538,10.6025,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,289.84,21,5,22.7263,15.5604,,,12.6729,26.4352,13.313,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1660.77,23,5,24.1492,,,,11.2633,25.3455,19.2803,12.377,,,,,
