state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_LIB,inc_OAO,inc_POP,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON,inc_LBR
1,AL,CON_1,CON,25.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.16,0.63,1.41,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,DSA_1,DSA,10.29,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,14.18,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.52,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,11.97,0.0,0.0,0.0,0.0,1.38,0.66,0.0,0.0,0.0,0.0
2,AK,STY_1,STY,13.06,0.0,0.0,5.12,0.0,0.0,1.19,0.0,0.0,0.0,0.0
4,AZ,CON_1,CON,20.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.3,0.0,0.95,0.0,0.0,0.0,6.12,1.38,0.0,0.0,0.0
4,AZ,LIB_1,LIB,8.98,0.0,0.92,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0
4,AZ,NAT_1,NAT,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.94,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.49,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,NAT_1,NAT,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0
6,CA,CON_1,CON,13.08,0.0,1.66,2.26,0.0,0.0,0.0,1.64,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.65,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0
6,CA,LIB_1,LIB,14.21,0.0,1.45,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.32,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,12.33,0.0,0.0,4.22,0.0,0.0,0.0,2.08,0.0,0.0,0.0
8,CO,CON_1,CON,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.61,0.0,0.0,0.0,0.0,0.0,4.21,0.59,0.0,0.0,0.0
8,CO,LIB_1,LIB,13.31,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,11.02,0.0,0.0,0.0,4.68,0.0,0.0,0.0,2.34,0.0,0.0
8,CO,PRG_1,PRG,10.32,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.67,0.0,0.0,0.0,0.0,0.0,2.52,0.0,3.06,0.0,0.0
9,CT,LIB_1,LIB,16.43,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,9.22,0.0,0.0,0.0,5.95,0.0,0.0,2.27,2.31,0.0,0.0
9,CT,PRG_1,PRG,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_1,LBR,20.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
