state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,503.91,19,5,44.8306,0.0,15.1534,13.2613,26.7547,,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,89.99,20,5,25.4839,,18.3254,,19.554,22.6319,14.0048,,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,841.7,23,5,26.2323,,,,16.224,20.5742,17.9949,18.9746,,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,292.37,22,5,34.7373,,13.435,,8.1728,32.1772,,,11.4776,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2811.57,22,5,20.4887,,,,20.1068,23.3566,24.6384,11.4094,,,,,,
8,CO,STY_1,STY_1,STY,pure,2,,603.64,21,5,30.2968,,,,6.9995,20.9748,25.535,,16.1939,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,355.22,22,5,26.1612,,,,,22.8688,19.164,,20.5666,11.2394,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,155.88,20,5,35.2915,0.0,,,9.2751,31.3506,24.0828,,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,86.93,19,5,,,,,,32.613,30.6332,,23.101,13.6529,0.0,,,
12,FL,STY_1,STY_1,STY,pure,2,,2211.18,23,5,31.4026,,17.3635,,13.9547,28.1726,,,9.1067,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1035.56,20,5,34.8114,,12.2826,,17.1029,19.7786,16.0245,,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,147.52,20,5,29.1298,,,,,30.0537,27.3126,,13.504,,,0.0,,
16,ID,POP_1,POP_1,POP,pure,5,,234.21,20,5,23.1064,,12.7515,,,32.2406,,15.26,16.6416,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1059.26,22,5,26.9939,,14.4893,,,22.8065,22.8926,,12.8177,,,,,
18,IN,STY_1,STY_1,STY,pure,2,,709.01,22,5,37.3583,,14.7125,,14.72,17.5613,15.6479,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,318.79,23,5,28.7065,,17.385,,,25.7014,13.4285,14.7786,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,266.95,20,5,43.3462,0.0,,,17.9051,17.4553,21.2934,,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,503.67,22,5,26.2368,,15.8477,,17.247,26.4449,,14.2236,,,,,,
22,LA,STY_1,STY_1,STY,pure,2,,357.28,19,5,25.222,,18.7193,,16.6399,23.227,,16.1917,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,176.99,24,5,24.3415,,,,,23.0066,22.6559,,20.3971,9.5989,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,559.97,22,5,24.9586,,,,10.361,26.1236,25.0058,,13.5509,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,578.54,23,5,28.2189,,,,,28.8234,18.6202,,11.9418,12.3958,,,,
26,MI,POP_1,POP_1,POP,pure,5,,965.85,20,5,26.0014,,,,,24.5822,20.2943,15.0385,14.0835,,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,527.63,23,5,26.9228,,,,,18.9165,19.9064,,20.0692,14.1851,,,,
28,MS,STY_1,STY_1,STY,pure,2,,298.85,19,5,34.1497,,,,23.3979,19.9507,,,10.1325,,,,12.3691,
29,MO,STY_1,STY_1,STY,pure,2,,670.41,21,5,29.9285,,,,21.0866,22.6733,13.8179,12.4937,,,,,,
30,MT,STY_1,STY_1,STY,pure,2,,186.47,22,5,24.0017,,,,14.4742,18.3457,20.0495,23.1289,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,207.28,22,5,26.7488,,14.1093,,,27.8124,13.6563,,17.6732,,,,,
32,NV,STY_1,STY_1,STY,pure,2,,503.52,21,5,31.1589,,,,12.3147,21.179,20.6474,,14.7,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,192.85,22,5,18.3064,,,,,41.5491,,,12.7887,13.6045,,,13.7512,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,844.81,22,5,27.4107,,,,11.8716,22.9196,26.4698,11.3283,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,289.84,21,5,27.3746,,15.5604,,12.6729,26.5361,17.8561,,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1660.77,23,5,26.3043,,,,11.4721,26.2489,23.5976,,12.377,,,,,
37,NC,STY_1,STY_1,STY,pure,2,,1041.81,23,5,36.9715,,,,12.029,17.8632,18.8354,,14.301,,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,79.22,22,5,29.3341,,16.0656,,,22.4681,16.7474,,15.3848,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1230.03,22,5,35.5865,,13.0743,,,21.6409,15.047,,14.6513,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,432.89,23,5,26.4234,,15.7616,,25.5937,,14.4233,17.7979,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,643.85,23,5,23.0169,,,,,25.8309,17.4336,16.6996,,17.019,,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1595.2,22,5,29.7338,,9.0499,,,23.2642,24.502,,13.4501,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,118.57,24,5,26.4507,,,,8.4583,24.3314,30.1076,,10.652,,,,,
45,SC,STY_1,STY_1,STY,pure,2,,516.19,21,5,28.4145,,,,13.5175,33.3291,,13.3914,11.3475,,,,,
46,SD,STY_1,STY_1,STY,pure,2,,99.69,22,5,20.1895,,20.5116,,17.7657,27.0614,,14.4718,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,818.35,20,5,40.3947,0.0,,,19.1094,22.8289,,17.667,,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2469.51,22,5,24.815,,16.3269,,20.1754,28.0004,,10.6823,,,,,,
49,UT,STY_1,STY_1,STY,pure,2,,320.95,22,5,25.6959,,11.3513,,12.4625,36.1154,,,14.3749,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,81.72,23,5,32.0544,,,,,23.235,15.1098,,,29.6008,,,,0.0
51,VA,STY_1,STY_1,STY,pure,2,,956.41,22,5,27.5603,,,,15.6856,23.8053,21.0175,11.9312,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,893.28,22,5,25.4433,,,,,32.7313,17.3846,11.4707,,12.9701,,,,
54,WV,STY_1,STY_1,STY,pure,2,,248.98,21,5,25.8453,,19.2854,,20.7597,22.8441,,11.2655,,,,,,
55,WI,STY_1,STY_1,STY,pure,2,,700.89,22,5,34.6698,,,,8.5134,22.5263,20.7303,,13.5601,,,,,
56,WY,CUP_1,CUP_1,CUP,pure,6,,70.51,21,5,40.07,0.0,12.8341,,,,21.0368,,26.0591,,,,,
