state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_NAT,inc_LIB,inc_PRG,inc_DSA
1,AL,CON_1,CON,25.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,8.7,3.81,0.82,0.91,0.61,0.7,14.21,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.16,0.0,1.71,2.37,0.0,6.28,0.0,0.0,0.63,0.0,0.0
1,AL,DSA_1,DSA,10.29,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.97,0.0,0.0
1,AL,STY_1,STY,14.18,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.52,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,11.97,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,1.38,0.66
2,AK,STY_1,STY,13.06,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,4.34
4,AZ,CON_1,CON,20.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.3,0.0,1.38,0.0,0.0,0.0,3.43,0.0,0.0,0.0,6.12
4,AZ,LIB_1,LIB,8.98,0.0,0.92,0.0,0.0,1.12,0.52,0.0,0.0,8.13,0.0
4,AZ,NAT_1,NAT,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,7.72,0.0,0.0,10.08,0.0,2.98,2.01,0.0,0.89,0.0,1.83
5,AR,CON_1,CON,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.94,1.1,3.5,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0
5,AR,LBR_1,LBR,16.49,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.97,1.14,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0
5,AR,STY_1,STY,6.58,1.74,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21
6,CA,CON_1,CON,13.08,0.0,4.67,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
6,CA,LIB_1,LIB,14.21,0.0,1.96,0.0,0.0,0.51,0.91,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.32,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,12.33,0.0,0.0,0.0,0.0,1.91,2.71,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.61,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,4.21
8,CO,LIB_1,LIB,13.31,0.0,1.87,0.0,0.0,0.54,0.0,0.0,0.0,10.5,0.0
8,CO,POP_1,POP,11.02,3.64,0.0,0.0,0.0,0.0,0.0,9.86,0.0,0.0,0.0
8,CO,STY_1,STY,5.63,0.52,1.91,4.03,0.0,1.96,0.9,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.67,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.52
9,CT,LIB_1,LIB,16.43,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,9.22,0.9,0.0,0.0,6.26,0.0,3.46,0.0,0.0,0.0,0.0
9,CT,PRG_1,PRG,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.52,3.79,1.34,0.0,0.0,1.07,6.13,0.0,0.0,0.0
10,DE,LBR_1,LBR,20.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.11,0.0,7.61,0.0,0.0,0.54,1.65,0.0,0.0,4.78,0.0
10,DE,STY_1,STY,5.88,0.0,0.0,2.68,0.0,3.82,3.65,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,18.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,11.36,0.0,0.0
11,DC,POP_1,POP,10.62,9.14,0.0,0.0,3.25,0.0,1.67,0.0,0.0,0.0,0.0
11,DC,PRG_1,PRG,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03
12,FL,CON_1,CON,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.52,2.04,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.45,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03
12,FL,POP_1,POP,8.65,1.43,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0
12,FL,STY_1,STY,12.45,0.65,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,1.51
13,GA,CON_1,CON,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,9.51,2.34,2.39,0.72,1.09,0.0,0.0,4.14,0.0,0.0,0.0
13,GA,LBR_1,LBR,15.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44
13,GA,LIB_1,LIB,12.02,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0
13,GA,STY_1,STY,10.75,1.2,0.0,8.28,0.0,1.4,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,2.28,0.0,4.06,5.6,0.0,0.0,1.0,3.17,1.9
15,HI,LIB_1,LIB,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,9.2,4.62,0.0,0.0,1.91,0.0,0.0,2.39,0.0,0.0,0.0
16,ID,CON_1,CON,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,10.31,1.25,1.45,0.93,0.0,0.0,0.0,0.0,6.64,0.0,0.0
16,ID,LBR_1,LBR,9.6,0.87,1.4,0.0,2.66,0.0,0.0,0.0,0.0,0.0,6.02
16,ID,NAT_1,NAT,15.26,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,15.08,2.57,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.53,0.73,4.61,0.0,0.74,0.66,0.0,0.88,0.0,0.0,0.0
17,IL,LBR_1,LBR,12.62,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,5.18
17,IL,LIB_1,LIB,12.74,0.0,1.92,0.0,0.0,0.82,0.0,0.0,0.0,8.48,0.0
17,IL,POP_1,POP,7.95,1.57,0.0,0.0,1.69,1.18,0.0,7.84,0.0,0.0,0.0
18,IN,CON_1,CON,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,10.12,0.68,3.54,1.7,0.0,0.0,0.0,8.42,0.0,0.0,0.0
18,IN,LBR_1,LBR,12.08,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
18,IN,LIB_1,LIB,8.55,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0
18,IN,STY_1,STY,9.13,0.0,0.0,6.9,0.0,1.37,0.0,0.0,0.0,0.0,0.58
19,IA,CON_1,CON,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.72,1.35,4.12,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,12.86,0.0,1.14,0.0,2.84,0.0,0.0,0.0,0.0,0.0,8.87
19,IA,LIB_1,LIB,7.03,0.0,1.66,0.0,0.0,3.5,0.0,0.0,0.0,2.65,2.1
19,IA,NAT_1,NAT,14.77,0.58,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_2,CON,0.0,7.88,0.67,3.47,0.0,0.0,2.92,11.46,0.0,0.0,0.0
20,KS,LBR_1,LBR,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,5.85
20,KS,LIB_1,LIB,13.3,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,6.49,0.52
20,KS,STY_1,STY,10.12,0.0,0.0,6.76,0.0,1.29,3.0,0.0,0.0,0.0,0.0
21,KY,CON_1,CON,23.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,9.48,2.17,3.9,0.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0
21,KY,LBR_1,LBR,11.53,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22
21,KY,NAT_1,NAT,13.5,1.44,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,STY_1,STY,11.67,1.08,0.0,9.87,0.0,0.0,0.52,0.0,1.12,0.0,0.0
22,LA,CON_1,CON,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,13.34,1.53,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.34,0.0,1.75,0.0,2.07,0.0,0.51,0.0,11.89,0.0,2.57
22,LA,NAT_1,NAT,16.18,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,12.34,0.72,0.0,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.18,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0
23,ME,LBR_1,LBR,12.35,0.0,1.78,0.0,3.0,0.0,1.14,0.0,0.0,0.0,0.0
23,ME,LIB_1,LIB,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,POP_1,POP,14.1,0.0,0.0,0.0,2.87,0.0,0.73,0.0,0.0,0.0,0.0
23,ME,PRG_1,PRG,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
24,MD,CON_1,CON,14.11,0.0,0.0,0.0,0.0,0.0,2.53,5.03,0.0,0.0,0.0
24,MD,LBR_1,LBR,19.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,LIB_1,LIB,10.88,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,12.39,0.61
24,MD,POP_1,POP,9.49,3.23,0.0,0.0,0.0,0.0,1.05,3.01,0.0,0.0,0.0
24,MD,STY_1,STY,8.94,0.67,0.0,0.0,0.0,1.24,1.73,0.0,0.0,0.0,2.3
25,MA,CON_1,CON,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,15.59,0.0,0.0,0.0,4.44,0.0,0.78,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,14.68,0.0,3.25,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0
25,MA,POP_1,POP,6.07,0.88,0.0,0.0,2.92,0.85,1.05,5.93,0.0,0.0,0.0
25,MA,PRG_1,PRG,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
26,MI,CON_1,CON,21.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,LBR_1,LBR,12.74,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09
26,MI,LIB_1,LIB,11.17,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0
26,MI,NAT_1,NAT,15.04,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,POP_1,POP,8.84,2.47,0.0,0.0,5.37,0.0,3.91,0.0,0.0,0.0,0.0
27,MN,CON_1,CON,15.61,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,11.85,0.0,0.0,0.0,2.88,0.0,0.77,0.0,0.0,0.0,2.08
27,MN,LIB_1,LIB,15.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
27,MN,POP_1,POP,10.26,0.85,0.0,0.0,2.89,0.0,0.98,9.83,0.0,0.0,0.0
27,MN,PRG_1,PRG,13.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
28,MS,CON_1,CON,20.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,LBR_1,LBR,11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,2.4
28,MS,OAO_1,OAO,11.27,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.68,0.0,0.0
28,MS,POP_1,POP,8.46,1.0,0.0,0.0,4.41,0.0,5.94,0.0,0.0,0.0,0.0
28,MS,STY_1,STY,21.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CON_1,CON,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,LBR_1,LBR,12.71,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67
29,MO,LIB_1,LIB,8.2,0.0,0.87,0.0,0.0,0.5,0.86,0.0,0.0,2.68,1.52
29,MO,NAT_1,NAT,12.48,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,STY_1,STY,11.18,0.91,0.0,7.95,0.0,3.78,0.0,0.0,0.0,0.0,0.71
30,MT,CON_1,CON,16.36,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0
30,MT,LBR_1,LBR,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,4.29
30,MT,LIB_1,LIB,14.48,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0
30,MT,NAT_1,NAT,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,STY_1,STY,9.09,0.0,0.0,4.82,0.0,0.86,5.54,0.0,0.0,0.0,1.06
31,NE,CON_1,CON,19.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,13.06,0.67,1.24,1.57,0.0,0.0,0.0,1.96,0.0,0.0,0.0
31,NE,LBR_1,LBR,14.33,0.0,0.93,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,LIB_1,LIB,7.42,0.0,1.14,0.0,0.0,0.81,0.0,0.0,0.0,2.54,2.65
31,NE,POP_1,POP,9.91,0.83,0.0,0.0,3.63,0.61,0.0,8.64,0.0,0.0,0.0
32,NV,CON_1,CON,21.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LBR_1,LBR,16.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LIB_1,LIB,10.52,0.0,3.45,0.0,0.0,0.0,0.76,0.0,0.0,7.26,0.0
32,NV,POP_1,POP,8.19,2.09,0.0,0.0,0.0,0.0,3.14,10.97,0.0,0.0,0.0
32,NV,STY_1,STY,10.31,0.0,0.94,0.0,0.0,0.0,0.88,0.0,0.0,0.0,4.07
33,NH,CON_1,CON,12.14,0.0,0.0,0.0,0.0,0.0,3.13,2.81,0.0,0.0,0.0
33,NH,LBR_1,LBR,17.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,OAO_1,OAO,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,POP_1,POP,5.97,0.75,0.0,0.0,2.49,0.0,1.72,4.05,0.0,0.0,0.0
