winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,3559.05,surplus
After_Retail,LBR_1,LBR_1,LBR_2,LBR_2,1523.88,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,1412.85,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,1224.17,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,1074.26,surplus
After_Retail,POP_1,POP_1,POP_2,POP_2,117.81,surplus
After_Retail,POP_2,POP_2,STY_1,STY_1,71.79,elimination
After_Retail,POP_2,POP_2,CON_3,CON_3,25.41,elimination
After_Retail,POP_2,POP_2,CUP_1,CUP_1,12.96,elimination
After_Retail,POP_2,POP_2,NAT_2,NAT_2,7.21,elimination
After_Retail,POP_2,POP_2,LBR_2,LBR_2,0.45,elimination
After_Retail,LIB_2,LIB_2,LBR_2,LBR_2,680.9,elimination
After_Retail,LIB_2,LIB_2,CUP_1,CUP_1,175.53,elimination
After_Retail,LIB_2,LIB_2,PRG_1,PRG_1,100.96,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,77.38,elimination
After_Retail,LIB_2,LIB_2,OAO_1,OAO_1,38.81,elimination
After_Retail,LIB_2,LIB_2,STY_1,STY_1,0.68,elimination
After_Retail,CUP_1,CUP_1,STY_1,STY_1,23.57,surplus
After_Retail,CUP_1,CUP_1,CON_3,CON_3,22.29,surplus
After_Retail,CUP_1,CUP_1,LBR_2,LBR_2,20.3,surplus
After_Retail,CUP_1,CUP_1,OAO_1,OAO_1,5.43,surplus
After_Retail,CUP_1,CUP_1,NAT_2,NAT_2,0.02,surplus
After_Retail,LBR_2,LBR_2,STY_1,STY_1,61.62,surplus
After_Retail,LBR_2,LBR_2,DSA_1,DSA_1,8.26,surplus
After_Retail,LBR_2,LBR_2,PRG_1,PRG_1,5.86,surplus
After_Retail,LBR_2,LBR_2,OAO_1,OAO_1,1.88,surplus
After_Retail,LBR_2,LBR_2,CON_3,CON_3,1.71,surplus
After_Retail,PRG_1,PRG_1,DSA_1,DSA_1,61.5,surplus
After_Retail,PRG_1,PRG_1,STY_1,STY_1,1.25,surplus
After_Retail,STY_1,STY_1,CON_3,CON_3,28.35,surplus
After_Retail,STY_1,STY_1,DSA_1,DSA_1,12.01,surplus
After_Retail,STY_1,STY_1,OAO_1,OAO_1,0.08,surplus
After_Retail,STY_1,STY_1,NAT_2,NAT_2,0.03,surplus
After_Retail,NAT_2,NAT_2,CON_3,CON_3,1231.43,elimination
After_Retail,CON_3,CON_3,OAO_1,OAO_1,573.99,surplus
After_Retail,CON_3,CON_3,DSA_1,DSA_1,1.86,surplus
After_Retail,OAO_1,OAO_1,DSA_1,DSA_1,320.24,surplus
After_Retail,DSA_1,DSA_1,LBR_1,LBR_1,1348.51,elimination
After_Retail,DSA_1,DSA_1,PRG_1,PRG_1,287.77,elimination
After_Retail,DSA_1,DSA_1,STY_1,STY_1,272.61,elimination
After_Retail,DSA_1,DSA_1,NAT_1,NAT_1,90.29,elimination
After_Retail,DSA_1,DSA_1,LIB_1,LIB_1,89.19,elimination
After_Retail,DSA_1,DSA_1,CUP_1,CUP_1,7.15,elimination
After_Retail,DSA_1,DSA_1,CON_1,CON_1,5.34,elimination
After_Retail,DSA_1,DSA_1,POP_1,POP_1,2.76,elimination
After_Retail,DSA_1,DSA_1,OAO_1,OAO_1,1.54,elimination
After_Pod_A,CON_1,CON_1,CON_2,CON_2,2915.19,surplus
After_Pod_A,LBR_1,LBR_1,LBR_2,LBR_2,2140.61,surplus
After_Pod_A,NAT_1,NAT_1,CON_2,CON_2,402.73,surplus
After_Pod_A,NAT_1,NAT_1,POP_1,POP_1,175.18,surplus
After_Pod_A,NAT_1,NAT_1,CUP_1,CUP_1,2.4,surplus
After_Pod_A,CON_2,CON_2,CON_3,CON_3,527.87,surplus
After_Pod_A,LIB_1,LIB_1,LBR_2,LBR_2,342.72,surplus
After_Pod_A,LIB_1,LIB_1,CUP_1,CUP_1,79.34,surplus
After_Pod_A,LIB_1,LIB_1,PRG_1,PRG_1,55.44,surplus
After_Pod_A,LIB_1,LIB_1,OAO_1,OAO_1,17.54,surplus
After_Pod_A,LIB_1,LIB_1,STY_1,STY_1,0.31,surplus
After_Pod_A,CON_3,CON_3,POP_1,POP_1,255.42,elimination
After_Pod_A,CON_3,CON_3,CUP_1,CUP_1,174.23,elimination
After_Pod_A,CON_3,CON_3,STY_1,STY_1,50.89,elimination
After_Pod_A,CON_3,CON_3,OAO_1,OAO_1,30.15,elimination
After_Pod_A,CON_3,CON_3,LBR_2,LBR_2,17.18,elimination
After_Pod_A,OAO_1,OAO_1,CUP_1,CUP_1,1159.02,elimination
After_Pod_A,OAO_1,OAO_1,LBR_2,LBR_2,620.59,elimination
After_Pod_A,OAO_1,OAO_1,STY_1,STY_1,113.09,elimination
After_Pod_A,OAO_1,OAO_1,POP_1,POP_1,1.24,elimination
After_Pod_A,CUP_1,CUP_1,LBR_2,LBR_2,286.82,surplus
After_Pod_A,CUP_1,CUP_1,STY_1,STY_1,219.94,surplus
After_Pod_A,CUP_1,CUP_1,POP_1,POP_1,147.52,surplus
After_Pod_A,LBR_2,LBR_2,STY_1,STY_1,571.89,surplus
After_Pod_A,LBR_2,LBR_2,PRG_1,PRG_1,31.69,surplus
After_Pod_A,LBR_2,LBR_2,POP_1,POP_1,14.3,surplus
After_Pod_A,STY_1,STY_1,POP_1,POP_1,439.89,surplus
After_Pod_A,STY_1,STY_1,PRG_1,PRG_1,10.71,surplus
After_Pod_A,POP_1,POP_1,PRG_1,PRG_1,507.5,surplus
After_Pod_A,PRG_1,PRG_1,LIB_1,LIB_1,2034.29,elimination
After_Pod_A,PRG_1,PRG_1,LBR_1,LBR_1,212.13,elimination
After_Pod_A,PRG_1,PRG_1,NAT_1,NAT_1,28.89,elimination
After_Pod_A,PRG_1,PRG_1,STY_1,STY_1,20.13,elimination
After_Pod_A,PRG_1,PRG_1,CUP_1,CUP_1,10.05,elimination
After_Pod_A,PRG_1,PRG_1,POP_1,POP_1,6.27,elimination
After_Pod_A,PRG_1,PRG_1,CON_1,CON_1,3.08,elimination
After_Pod_C,CON_1,CON_1,CON_2,CON_2,2643.23,surplus
After_Pod_C,LIB_1,LIB_1,LBR_1,LBR_1,1886.43,surplus
After_Pod_C,LIB_1,LIB_1,CUP_1,CUP_1,316.51,surplus
After_Pod_C,LIB_1,LIB_1,CON_2,CON_2,0.95,surplus
After_Pod_C,LIB_1,LIB_1,STY_1,STY_1,0.93,surplus
After_Pod_C,LBR_1,LBR_1,LBR_2,LBR_2,3754.32,surplus
After_Pod_C,LBR_2,LBR_2,STY_1,STY_1,202.73,surplus
After_Pod_C,LBR_2,LBR_2,CUP_1,CUP_1,48.81,surplus
After_Pod_C,LBR_2,LBR_2,CON_2,CON_2,14.51,surplus
After_Pod_C,LBR_2,LBR_2,POP_1,POP_1,0.7,surplus
After_Pod_C,POP_1,POP_1,STY_1,STY_1,1387.39,elimination
After_Pod_C,POP_1,POP_1,CON_2,CON_2,488.76,elimination
After_Pod_C,POP_1,POP_1,CUP_1,CUP_1,250.05,elimination
After_Pod_C,POP_1,POP_1,NAT_1,NAT_1,138.51,elimination
After_Pod_C,STY_1,STY_1,CON_2,CON_2,233.45,surplus
After_Pod_C,STY_1,STY_1,CUP_1,CUP_1,152.08,surplus
After_Pod_C,STY_1,STY_1,NAT_1,NAT_1,3.55,surplus
After_Pod_C,CUP_1,CUP_1,CON_2,CON_2,81.79,surplus
After_Pod_C,CUP_1,CUP_1,NAT_1,NAT_1,0.02,surplus
After_Pod_C,NAT_1,NAT_1,CON_2,CON_2,24.88,surplus
After_Pod_C,CON_2,CON_2,STY_1,STY_1,1498.27,elimination
After_Pod_C,CON_2,CON_2,CUP_1,CUP_1,977.86,elimination
After_Pod_C,CON_2,CON_2,NAT_1,NAT_1,651.21,elimination
After_Pod_C,CON_2,CON_2,LBR_1,LBR_1,334.89,elimination
After_Pod_C,CON_2,CON_2,LIB_1,LIB_1,25.33,elimination
After_Pod_BD,CON_1,CON_1,STY_1,STY_1,853.64,surplus
After_Pod_BD,CON_1,CON_1,CUP_1,CUP_1,565.41,surplus
After_Pod_BD,CON_1,CON_1,NAT_1,NAT_1,377.09,surplus
After_Pod_BD,CON_1,CON_1,LBR_1,LBR_1,172.8,surplus
After_Pod_BD,CON_1,CON_1,LIB_1,LIB_1,0.0,surplus
After_Pod_BD,LIB_1,LIB_1,LBR_1,LBR_1,892.14,surplus
After_Pod_BD,LIB_1,LIB_1,CUP_1,CUP_1,149.71,surplus
After_Pod_BD,LIB_1,LIB_1,STY_1,STY_1,0.44,surplus
After_Pod_BD,LBR_1,LBR_1,LBR_2,LBR_2,1778.92,surplus
After_Pod_BD,LBR_2,LBR_2,STY_1,STY_1,1514.78,elimination
After_Pod_BD,LBR_2,LBR_2,CUP_1,CUP_1,264.13,elimination
After_Pod_BD,STY_1,STY_1,CUP_1,CUP_1,1141.02,surplus
After_Pod_BD,STY_1,STY_1,NAT_1,NAT_1,243.04,surplus
After_Pod_BD,CUP_1,CUP_1,NAT_1,NAT_1,521.08,surplus
After_Pod_BD,NAT_1,NAT_1,CON_1,CON_1,3382.64,elimination
After_Pod_BD,NAT_1,NAT_1,STY_1,STY_1,389.73,elimination
After_Pod_BD,NAT_1,NAT_1,CUP_1,CUP_1,302.5,elimination
After_Pod_BD,NAT_1,NAT_1,LBR_1,LBR_1,112.4,elimination
After_Pod_BD,NAT_1,NAT_1,LIB_1,LIB_1,81.91,elimination
