state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,424.51,19,5,31.8419,0.0,15.1169,15.6369,37.4043,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,75.48,20,5,27.229,,17.6308,,17.0287,22.6037,15.5077,,,,,
4,AZ,POP_1,POP_1,POP,pure,5,,727.98,23,5,23.3635,,,18.6801,,24.5639,19.3407,14.0517,,,,
5,AR,POP_1,POP_1,POP,pure,5,,249.58,22,5,36.4813,,11.4961,,,26.7849,11.7239,13.5139,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2399.22,22,5,21.8241,,,,12.435,22.804,26.7743,16.1626,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,523.77,21,5,30.7202,,,,5.7096,20.3433,27.3366,15.8904,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,309.17,22,5,26.4949,,,,,21.402,20.2267,19.6824,12.194,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,134.07,20,5,36.098,0.0,,,7.8819,30.6255,25.3946,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,76.06,19,5,,,,,,31.0868,32.3181,21.9066,14.6885,0.0,,
12,FL,STY_1,STY_1,STY,pure,2,,1863.69,23,5,34.6708,,16.169,,16.678,19.3511,13.1311,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,879.55,20,5,36.3025,,11.8352,,14.7933,19.5782,17.4908,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,127.65,20,5,29.5523,,,,,28.7033,28.9091,12.8353,,,0.0,
16,ID,POP_1,POP_1,POP,pure,5,,201.67,20,5,26.4329,,,16.3473,,21.2446,14.8791,21.0961,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,916.03,22,5,27.5164,,13.7248,,,21.7456,24.5644,12.4488,,,,
18,IN,CON_1,CON_1,CON,pure,0,,606.87,22,5,30.3074,,,16.0419,16.9106,18.249,18.4911,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,273.07,23,5,28.7517,,16.4656,15.9133,,24.3892,14.4802,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,229.18,20,5,44.4017,0.0,,,15.5094,17.0813,23.0076,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,427.15,22,5,25.1019,,14.8384,14.6827,,31.9039,,13.4731,,,,
22,LA,CON_1,CON_1,CON,pure,0,,303.31,19,5,25.9321,,18.2567,17.5924,14.0601,24.1587,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,153.36,24,5,24.5564,,,,,21.7689,23.9509,19.2382,10.4856,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,480.63,22,5,25.4962,,,,8.4137,25.6811,27.0859,13.323,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,502.68,23,5,28.6492,,,,,27.1073,19.5742,11.2532,13.4161,,,
26,MI,CON_1,CON_1,CON,pure,0,,835.95,20,5,29.7954,,9.8508,16.4923,,23.1355,20.726,,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,461.07,23,5,26.9384,,,,,17.7119,20.851,19.1862,15.3125,,,
28,MS,STY_1,STY_1,STY,pure,2,,246.91,19,5,36.4658,,,,19.5821,20.6392,,10.1575,,,,13.1555
29,MO,STY_1,STY_1,STY,pure,2,,570.3,21,5,40.1295,,10.1511,,14.2272,20.9854,14.5067,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,161.14,22,5,23.8314,,,24.6547,12.2746,17.7234,21.5158,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,175.62,22,5,27.9926,,13.405,,,26.712,14.8185,17.0719,,,,
32,NV,STY_1,STY_1,STY,pure,2,,430.65,21,5,32.0302,,,,10.173,20.7561,22.2539,14.7868,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,167.18,22,5,21.9033,,13.4569,,,35.9816,,,14.7025,,,13.9558
34,NJ,LBR_1,LBR_1,LBR,pure,1,,731.46,22,5,24.9745,,10.1443,,,21.9145,27.6611,15.3056,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,245.1,21,5,28.6123,,14.9813,,10.494,26.3198,19.5926,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1427.32,23,5,22.9034,,,,,27.1615,23.2914,16.4185,,,,10.2252
37,NC,STY_1,STY_1,STY,pure,2,,894.12,23,5,38.0461,,,,10.0076,17.5758,20.291,14.0794,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,67.51,22,5,30.3847,,15.2539,,,21.5455,18.1279,14.6879,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1052.5,22,5,36.9752,,12.5112,,,20.6005,16.3013,13.6119,,,,
40,OK,CON_1,CON_1,CON,pure,0,,370.99,23,5,25.3876,,15.6909,18.8335,,28.8777,,11.2104,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,566.03,23,5,22.11,,,17.3527,,24.1281,18.2166,,18.1926,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1382.94,22,5,28.2852,,,10.7873,,23.4601,27.2849,10.1825,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,102.59,24,5,26.8888,,,,6.8886,23.6468,32.2078,10.368,,,,
45,SC,POP_1,POP_1,POP,pure,5,,439.73,21,5,29.1792,,,14.5003,,29.3749,14.0936,12.852,,,,
46,SD,STY_1,STY_1,STY,pure,2,,84.77,22,5,20.8079,,19.9781,15.6991,15.4235,28.0913,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,702.26,20,5,39.1235,0.0,15.2018,19.3766,,26.2981,,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2081.81,22,5,25.7067,,16.1468,11.6767,17.5221,28.9477,,,,,,
