district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,335.9821,92.1036,0.0,0
01-02,1,6,231.4383,64.052,0.0,0
02-01,2,2,101.6053,67.508,28.2461,0
04-01,4,7,472.2548,114.8584,0.0,0
04-02,4,7,460.4163,91.0843,0.0,0
04-03,4,5,932.6711,329.3775,0.0,0
05-01,5,4,172.5453,68.936,0.0,0
05-02,5,4,154.0548,72.7866,0.0,0
06-01,6,7,783.5729,197.1596,0.0,0
06-02,6,7,234.0779,49.4925,0.0,0
06-03,6,7,196.2497,35.5234,0.0,0
06-04,6,7,500.1273,108.5305,0.0,0
06-05,6,7,207.0534,54.229,0.0,0
06-06,6,7,274.7468,51.3139,0.0,0
06-07,6,7,259.1328,83.2779,0.0,0
06-08,6,7,206.5485,45.863,0.0,0
06-09,6,7,270.3756,41.575,0.0,0
06-10,6,7,77.0188,9.2109,0.0,2
06-11,6,7,90.0099,12.5329,0.0,2
06-12,6,7,8.4863,0.0,0.0,5
06-13,6,7,21.1145,1.9157,0.0,5
06-14,6,7,11.9091,0.1819,0.0,4
06-15,6,6,3141.4007,886.3616,0.0,0
08-01,8,5,306.6729,93.0765,0.0,0
08-02,8,5,295.5135,121.0438,0.0,0
08-03,8,5,65.354,23.7395,0.0,0
09-01,9,5,251.8154,70.7945,0.0,0
09-02,9,4,140.2424,66.3425,0.0,0
10-01,10,3,173.3305,77.4355,3.4898,0
11-01,11,2,95.6245,50.5752,33.2013,0
12-01,12,7,429.4098,89.4243,0.0,0
12-02,12,7,270.4002,40.9227,0.0,0
12-03,12,7,368.7709,81.5895,0.0,0
12-04,12,7,438.8266,86.8732,0.0,0
12-05,12,7,509.6112,84.5689,0.0,0
12-06,12,7,308.9315,62.8398,0.0,0
12-07,12,5,133.7586,49.2109,0.0,0
12-08,12,5,29.4545,5.0693,0.0,2
12-09,12,5,2489.1637,778.1949,0.0,0
13-01,13,7,429.092,93.4744,0.0,0
13-02,13,7,337.1833,91.9506,0.0,0
13-03,13,7,336.8066,66.1229,0.0,0
13-04,13,7,57.2854,6.5389,0.0,2
15-01,15,4,163.4135,54.6346,0.0,0
16-01,16,5,260.2424,71.021,0.0,0
17-01,17,7,462.7855,141.5361,0.0,0
17-02,17,7,100.524,12.4805,0.0,0
17-03,17,7,218.4945,30.5746,0.0,0
17-04,17,7,297.8698,65.861,0.0,0
17-05,17,6,94.1816,20.3612,0.0,1
18-01,18,7,411.6277,85.302,0.0,0
18-02,18,6,299.3027,76.1739,0.0,0
18-03,18,5,79.785,30.1995,0.0,0
19-01,19,4,217.3292,103.7248,0.0,0
19-02,19,4,138.0308,52.8978,3.5069,0
20-01,20,4,146.3042,69.6267,0.0,0
20-02,20,4,150.8566,51.7126,0.0,0
21-01,21,7,336.7854,80.5701,0.0,0
21-02,21,5,228.099,69.8335,0.0,0
22-01,22,7,259.1957,46.4546,0.0,0
22-02,22,5,141.2669,32.649,0.0,1
23-01,23,4,195.8958,81.0321,0.0,0
24-01,24,6,301.6984,98.32,0.0,0
24-02,24,5,185.9325,67.7946,0.0,0
24-03,24,5,135.8169,47.6636,0.0,0
25-01,25,7,287.228,42.7163,0.0,0
25-02,25,6,258.2228,73.9451,0.0,0
25-03,25,5,93.7846,23.9092,0.0,0
26-01,26,7,349.0134,77.9987,0.0,1
26-02,26,7,377.0118,88.9821,0.0,0
26-03,26,7,319.6784,63.5524,0.0,0
26-04,26,6,24.0726,1.2424,0.0,3
27-01,27,5,247.3432,73.0923,0.0,0
27-02,27,5,222.4817,93.5627,0.0,0
27-03,27,5,111.0586,31.1513,0.0,0
28-01,28,4,192.5305,73.3353,0.0,0
28-02,28,4,147.859,37.7869,0.0,0
29-01,29,6,310.6204,87.2986,0.0,0
29-02,29,5,264.4053,102.1038,0.0,0
29-03,29,5,175.4785,44.891,0.0,0
30-01,30,3,206.7291,102.5984,16.5164,0
31-01,31,5,232.6017,77.341,0.0,0
32-01,32,4,445.0665,187.134,0.0,0
32-02,32,4,116.7408,45.8015,0.0,0
33-01,33,4,213.3765,115.7311,0.0,0
34-01,34,7,431.0749,69.8496,0.0,0
34-02,34,7,264.6523,64.2568,0.0,0
34-03,34,5,123.4862,54.6014,0.0,1
34-04,34,5,116.2845,25.4842,0.0,0
35-01,35,6,325.6248,86.0604,0.0,0
36-01,36,7,333.3467,104.8045,0.0,0
36-02,36,7,360.079,51.3049,0.0,0
36-03,36,7,237.4187,46.7879,0.0,0
36-04,36,7,343.9023,85.7439,0.0,0
36-05,36,7,297.3777,83.4207,0.0,0
36-06,36,7,218.3649,38.2206,0.0,0
36-07,36,6,37.331,4.1925,0.0,2
36-08,36,5,19.7129,2.802,0.0,2
37-01,37,7,413.0547,97.4709,0.0,0
37-02,37,7,326.7378,54.3052,0.0,0
37-03,37,7,412.1742,100.1811,0.0,0
37-04,37,6,8.0018,0.0058,0.0,4
38-01,38,2,88.5927,53.7416,29.8125,0
39-01,39,7,318.3348,56.5778,0.0,0
39-02,39,7,465.6386,66.35,0.0,0
39-03,39,7,371.7535,68.0485,0.0,0
39-04,39,5,210.3547,68.6102,0.0,0
39-05,39,5,5.985,1.0723,0.0,4
40-01,40,5,268.3465,95.9095,0.0,0
40-02,40,5,214.0607,56.4287,0.0,0
41-01,41,6,481.0057,132.4415,0.0,0
41-02,41,5,225.0925,50.7323,0.0,0
42-01,42,7,402.3866,110.9203,0.0,0
42-02,42,7,447.9025,124.1612,0.0,0
42-03,42,7,459.9525,89.3148,0.0,0
42-04,42,7,429.3231,110.0473,0.0,0
42-05,42,6,25.4447,4.5789,0.0,3
44-01,44,3,131.3582,67.2952,3.181,0
45-01,45,7,329.2381,83.0494,0.0,0
45-02,45,6,248.122,63.2803,0.0,0
46-01,46,2,111.6315,78.6766,45.9976,0
47-01,47,7,294.4178,77.1793,0.0,0
47-02,47,6,408.4425,104.9674,0.0,0
47-03,47,5,208.3696,52.4342,0.0,0
48-01,48,7,395.8316,98.9403,0.0,0
48-02,48,7,403.8833,105.4344,0.0,0
48-03,48,7,357.496,90.6364,0.0,0
48-04,48,7,353.6385,88.0573,0.0,2
48-05,48,7,336.3456,48.1308,0.0,0
48-06,48,7,300.2289,61.1015,0.0,0
48-07,48,7,291.6302,64.8455,0.0,0
48-08,48,7,296.456,44.3505,0.0,0
48-09,48,7,2779.671,710.8181,0.0,0
48-10,48,7,24.0446,2.5078,0.0,3
48-11,48,7,11.8787,0.5195,0.0,4
49-01,49,5,231.7205,80.8456,0.0,0
49-02,49,4,129.5716,41.9882,0.0,0
50-01,50,2,89.1327,68.4694,38.3896,0
51-01,51,7,421.7477,70.3657,0.0,0
51-02,51,6,314.8149,91.1424,0.0,0
51-03,51,5,301.7935,116.901,0.0,1
51-04,51,5,23.8555,6.975,0.0,2
53-01,53,7,413.6389,81.8972,0.0,0
53-02,53,7,348.3016,64.4259,0.0,0
53-03,53,6,225.1974,71.0439,0.0,0
54-01,54,5,280.7734,84.9273,0.0,0
55-01,55,6,342.6072,100.3193,0.0,0
55-02,55,5,255.0518,74.8984,0.0,0
55-03,55,5,179.9498,69.7393,0.0,0
56-01,56,2,78.4478,48.3207,23.2526,0
