state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_LBR_1_pct,finalist_STY_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_DSA_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,580.92,19,5,42.6732,0.0,13.099,20.3105,23.9173,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,104.17,20,5,24.2884,,18.7667,22.724,21.2264,12.9945,,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,953.31,23,5,26.2205,,,20.9028,17.6384,17.0308,18.2075,,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,334.29,22,5,33.6658,,13.656,31.8497,9.0745,,,11.754,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3215.74,22,5,26.5293,,8.8861,21.909,19.932,22.7436,,,,,,,
8,CO,STY_1,STY_1,STY,pure,2,,682.39,21,5,29.9609,,,21.4669,7.9002,24.2281,,16.4438,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,400.67,22,5,24.4344,,8.5943,21.8647,,27.1457,,17.9609,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,177.33,20,5,34.6914,0.0,,31.9281,10.2447,23.1357,,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,97.71,19,5,,,,33.7406,,29.4224,,23.974,0.0,12.8629,,,
12,FL,STY_1,STY_1,STY,pure,2,,2549.69,23,5,30.2342,,17.4001,27.5841,15.5385,,,9.2431,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1188.35,20,5,30.6603,,14.7052,32.333,12.6743,,,9.6272,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,167.2,20,5,28.7725,,,31.082,,26.1527,,13.9928,,,0.0,,
16,ID,POP_1,POP_1,POP,pure,5,,266.18,20,5,22.8039,,13.165,32.1553,,,14.4941,17.3817,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1199.9,22,5,26.6032,,15.0119,23.5827,,21.697,,13.1052,,,,,
18,IN,STY_1,STY_1,STY,pure,2,,808.95,22,5,36.2135,,15.1195,17.7849,16.1555,14.7266,,,,,,,
19,IA,STY_1,STY_1,STY,pure,2,,363.55,23,5,22.899,,15.5473,29.8961,17.6685,,13.9892,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,303.92,20,5,42.5995,0.0,,17.7309,19.5809,20.0887,,,,,,,
21,KY,STY_1,STY_1,STY,pure,2,,578.36,22,5,33.2313,,15.1737,25.8877,13.4213,,,12.2861,,,,,
22,LA,STY_1,STY_1,STY,pure,2,,409.89,19,5,24.7242,,19.0261,22.6128,18.4013,,15.2357,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,200.27,24,5,23.8654,,,21.2292,7.5161,29.4072,,17.9821,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,638.0,22,5,24.5512,,,26.4984,11.696,23.5182,,13.7363,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,653.18,23,5,27.7912,,,25.7837,8.7081,28.3508,,9.3661,,,,,
26,MI,STY_1,STY_1,STY,pure,2,,1093.6,20,5,36.6655,,,21.2783,9.6508,18.773,,13.6323,,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,593.36,23,5,26.8825,,,19.8224,,19.2266,,20.733,,13.3355,,,
