state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_PRG
1,AL,CON_1,CON,24.86,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,0.0,8.02,3.7,0.83,1.36,1.99,3.34,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.41,0.0,0.0,1.65,2.42,0.0,6.82,0.0,0.59,0.0,0.0
1,AL,LBR_1,LBR,6.55,0.0,0.0,0.62,0.0,3.05,0.0,0.0,2.79,12.64,0.0
1,AL,STY_1,STY,16.02,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.06,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,18.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,11.14,13.03,0.0,0.0,2.23,0.0,0.64,0.0,0.0,0.6,1.26
2,AK,STY_1,STY,14.69,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,4.26,0.0
4,AZ,CON_1,CON,20.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.61,0.0,0.0,1.36,0.0,0.0,0.0,3.49,0.0,6.45,0.0
4,AZ,LIB_1,LIB,8.54,0.0,0.0,0.9,0.0,0.0,1.54,0.53,0.0,2.66,4.44
4,AZ,NAT_1,NAT,16.69,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,8.87,0.0,0.0,0.0,6.58,0.0,3.65,2.09,1.85,1.84,0.0
5,AR,CON_1,CON,21.7,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,9.29,0.0,1.02,3.42,0.0,0.0,0.0,0.0,10.85,0.0,0.0
5,AR,LBR_1,LBR,16.82,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,11.28,0.0,1.05,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0
5,AR,STY_1,STY,7.5,0.0,1.61,1.14,0.0,0.0,0.0,0.0,0.0,7.17,0.0
6,CA,CON_1,CON,12.82,9.76,0.0,2.82,6.55,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,CUP_1,CUP,6.71,0.0,3.39,2.08,0.78,0.0,0.0,0.0,7.03,0.0,0.0
6,CA,LBR_1,LBR,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,LIB_1,LIB,13.39,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,8.24
6,CA,STY_1,STY,14.04,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0
8,CO,CON_1,CON,21.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,4.22,0.0
8,CO,LIB_1,LIB,12.68,0.0,0.0,2.6,0.0,6.2,0.65,0.0,0.0,0.0,9.76
8,CO,POP_1,POP,11.45,9.43,3.53,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0
8,CO,STY_1,STY,6.48,0.0,0.51,4.04,8.27,0.0,2.36,0.95,0.0,0.0,0.0
9,CT,CON_1,CON,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.45,9.97,0.0,2.35,1.13,1.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,14.14,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,2.53,0.77
9,CT,LIB_1,LIB,15.7,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,9.76
9,CT,POP_1,POP,9.6,0.0,0.87,0.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,5.82,7.24,5.31,1.38,1.13,0.0,1.12,0.0,0.0,0.0
10,DE,LBR_1,LBR,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,9.58,0.0,0.0,9.31,0.0,0.59,0.55,1.73,0.0,0.0,4.43
10,DE,STY_1,STY,6.73,0.0,0.0,0.0,2.77,0.0,4.08,5.37,0.0,0.0,0.0
11,DC,LBR_1,LBR,19.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,27.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.75,1.33,0.0,0.0,0.0,1.6,10.27,3.27,0.0
11,DC,POP_1,POP,11.1,0.0,11.24,0.0,0.0,3.85,0.0,1.77,0.0,0.0,0.0
11,DC,PRG_1,PRG,12.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0
12,FL,CON_1,CON,21.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.85,0.0,1.82,3.89,0.0,0.0,0.0,0.0,2.95,0.0,0.0
12,FL,LBR_1,LBR,13.61,0.0,0.0,1.04,0.0,0.0,0.0,0.0,8.24,4.94,0.0
12,FL,POP_1,POP,8.82,8.95,1.27,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
12,FL,STY_1,STY,14.06,0.0,0.58,0.0,0.0,0.0,2.56,0.0,0.0,1.48,0.0
13,GA,CON_1,CON,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,9.85,3.89,1.85,2.69,0.0,0.0,0.0,0.0,2.62,0.0,0.0
13,GA,LBR_1,LBR,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,2.54,0.0
13,GA,POP_1,POP,8.54,5.91,1.37,0.0,0.0,0.66,0.0,0.69,0.0,0.0,0.0
13,GA,STY_1,STY,12.2,0.0,0.0,1.71,0.0,0.0,1.76,0.85,0.0,0.0,0.0
15,HI,CON_1,CON,20.98,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,23.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,0.0,1.41,4.58,6.35,0.0,0.0,1.9,2.9
15,HI,LIB_1,LIB,17.7,0.0,0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,9.54,2.28,4.18,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0
16,ID,CON_1,CON,22.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,10.78,0.0,2.29,1.43,0.0,0.0,1.55,0.0,15.68,0.0,0.0
16,ID,LBR_1,LBR,9.86,0.0,1.14,1.37,0.0,3.05,0.0,0.0,0.0,6.03,0.0
16,ID,NAT_1,NAT,14.49,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,15.59,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.31,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,10.0,0.83,0.69,4.16,2.9,1.39,0.0,0.0,4.89,0.0,0.0
17,IL,LBR_1,LBR,13.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,4.58,0.0
17,IL,LIB_1,LIB,12.11,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,9.15
17,IL,POP_1,POP,8.24,7.47,1.49,0.0,0.0,6.14,0.0,0.0,0.0,0.0,0.0
18,IN,CON_1,CON,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,10.54,0.0,0.61,3.47,1.73,2.38,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,12.35,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,4.16,0.0
18,IN,LIB_1,LIB,8.07,16.11,0.0,1.42,0.0,0.0,0.0,1.15,0.0,0.0,5.09
18,IN,STY_1,STY,10.42,0.0,0.0,0.0,7.02,0.0,1.72,0.0,0.0,0.58,0.0
19,IA,CON_1,CON,19.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,9.09,0.0,1.22,4.03,0.0,3.65,0.0,0.0,2.43,0.0,0.0
