district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,251.6738,42.4349,0.0,0
01-02,1,6,172.8378,49.0737,0.0,1
02-01,2,2,75.4755,49.4802,21.3763,0
04-01,4,7,369.3189,85.3706,0.0,0
04-02,4,7,358.6615,73.9946,0.0,0
04-03,4,5,727.9804,226.1246,0.0,0
05-01,5,4,132.2895,53.4151,0.0,0
05-02,5,4,117.287,60.017,0.0,1
06-01,6,7,586.3359,159.7068,0.0,1
06-02,6,7,175.7389,21.135,0.0,0
06-03,6,7,152.9649,28.5968,0.0,0
06-04,6,7,377.9592,91.9147,0.0,0
06-05,6,7,164.3666,32.1515,0.0,1
06-06,6,7,213.9563,53.3983,0.0,0
06-07,6,7,203.2353,63.9842,0.0,1
06-08,6,7,156.3808,36.6048,0.0,1
06-09,6,7,208.479,32.54,0.0,0
06-10,6,7,61.4935,3.1611,0.0,2
06-11,6,7,67.8101,11.3015,0.0,2
06-12,6,7,5.3367,0.0,0.0,6
06-13,6,7,16.5306,1.1426,0.0,4
06-14,6,7,7.8602,0.0,0.0,5
06-15,6,6,2399.1758,666.9002,0.0,0
08-01,8,5,240.1574,56.7037,0.0,0
08-02,8,5,231.0104,94.4993,0.0,0
08-03,8,5,52.6022,14.0967,0.0,1
09-01,9,5,197.5126,69.1088,0.0,0
09-02,9,4,111.6583,45.9688,0.6548,0
10-01,10,3,134.0728,53.8873,10.7436,0
11-01,11,2,76.065,39.1849,25.4173,0
12-01,12,7,321.341,74.3596,0.0,0
12-02,12,7,201.8266,27.1902,0.0,0
12-03,12,7,278.9111,66.9198,0.0,0
12-04,12,7,325.4434,71.1077,0.0,1
12-05,12,7,385.294,69.7658,0.0,0
12-06,12,7,232.903,53.7429,0.0,2
12-07,12,5,94.9841,28.1322,0.0,0
12-08,12,5,22.9876,3.9277,0.0,3
12-09,12,5,1863.6911,649.5881,0.0,0
13-01,13,7,327.0974,78.9315,0.0,0
13-02,13,7,251.696,55.0172,0.0,0
13-03,13,7,257.0023,43.822,0.0,0
13-04,13,7,43.7504,4.5413,0.0,2
15-01,15,4,127.6533,35.3721,0.0,0
16-01,16,5,201.6674,57.3359,0.0,0
17-01,17,7,358.7082,99.8231,0.0,0
17-02,17,7,78.7562,9.8891,0.0,1
17-03,17,7,173.2405,24.2388,0.0,2
17-04,17,7,231.4546,53.4395,0.0,1
17-05,17,6,73.8669,14.1038,0.0,1
18-01,18,7,318.2821,69.4837,0.0,0
18-02,18,6,226.6748,54.0563,0.0,0
18-03,18,5,61.9119,23.724,0.0,0
19-01,19,4,167.1766,81.6438,0.0,0
19-02,19,4,105.8953,38.5602,3.1328,0
20-01,20,4,116.0614,48.4178,0.0,0
20-02,20,4,113.1144,32.8223,0.0,0
21-01,21,7,253.506,53.3881,0.0,0
21-02,21,5,173.6417,69.8527,0.0,0
22-01,22,7,196.714,51.1032,0.0,0
22-02,22,5,106.597,25.3458,0.0,0
23-01,23,4,153.3597,62.8167,0.0,0
24-01,24,6,234.2645,74.9616,0.0,1
24-02,24,5,142.2336,47.5155,0.0,0
24-03,24,5,104.1275,35.5482,0.0,0
25-01,25,7,229.2318,34.8785,0.0,0
25-02,25,6,202.2803,51.7789,0.0,0
25-03,25,5,71.1642,19.9462,0.0,0
26-01,26,7,268.353,54.4867,0.0,0
26-02,26,7,295.5129,71.4201,0.0,0
26-03,26,7,253.1221,57.7696,0.0,1
26-04,26,6,18.961,0.9361,0.0,4
27-01,27,5,200.714,57.1446,0.0,0
27-02,27,5,172.6791,70.9744,0.0,0
27-03,27,5,87.6722,22.5213,0.0,0
28-01,28,4,140.9263,55.0398,0.0,0
28-02,28,4,105.9886,30.9355,0.0,0
29-01,29,6,232.6541,62.4522,0.0,0
29-02,29,5,202.7628,79.6586,0.0,1
29-03,29,5,134.884,33.8783,0.0,1
30-01,30,3,161.1423,76.4184,13.3466,0
31-01,31,5,175.6248,63.0774,0.0,0
32-01,32,4,338.2603,137.3604,0.0,0
32-02,32,4,92.3921,30.6717,0.0,0
33-01,33,4,167.1837,85.6559,0.0,0
34-01,34,7,334.4811,57.7447,0.0,0
34-02,34,7,208.5323,44.6164,0.0,0
34-03,34,5,95.8404,42.4711,0.0,0
34-04,34,5,92.6013,20.2637,0.0,0
35-01,35,6,245.0994,70.4746,0.0,0
36-01,36,7,252.6324,60.1713,0.0,0
36-02,36,7,266.3693,39.2882,0.0,0
36-03,36,7,184.4352,38.6215,0.0,1
36-04,36,7,273.9798,59.9887,0.0,0
36-05,36,7,233.2979,54.4171,0.0,1
36-06,36,7,173.4612,29.8291,0.0,0
36-07,36,6,27.7794,3.3033,0.0,3
36-08,36,5,15.3652,2.1671,0.0,2
37-01,37,7,313.371,82.2038,0.0,0
37-02,37,7,256.7226,41.7234,0.0,0
37-03,37,7,317.7142,69.2534,0.0,0
37-04,37,6,6.3135,0.0042,0.0,5
38-01,38,2,67.5089,40.563,22.5824,0
39-01,39,7,245.2929,44.9752,0.0,0
39-02,39,7,354.3018,54.3736,0.0,0
39-03,39,7,285.1354,54.3287,0.0,0
39-04,39,5,163.1364,53.8693,0.0,0
39-05,39,5,4.629,0.345,0.0,4
40-01,40,5,206.1872,72.7473,0.0,0
40-02,40,5,164.8035,43.7557,0.0,0
41-01,41,6,383.4279,75.6183,0.0,0
41-02,41,5,182.6056,40.2064,0.0,0
42-01,42,7,310.0123,79.6356,0.0,1
42-02,42,7,351.2082,82.834,0.0,0
42-03,42,7,363.6381,91.8507,0.0,0
42-04,42,7,338.7689,64.7597,0.0,1
42-05,42,6,19.3172,1.9199,0.0,3
44-01,44,3,102.5895,51.1579,2.2848,0
45-01,45,7,250.4579,54.0967,0.0,0
45-02,45,6,189.2676,49.5893,0.0,0
46-01,46,2,84.7681,59.1945,32.7666,0
47-01,47,7,223.7284,50.9247,0.0,0
47-02,47,6,317.4202,78.7852,0.0,0
47-03,47,5,161.1063,50.5125,0.0,0
48-01,48,7,288.5752,53.1806,0.0,0
48-02,48,7,300.3641,90.1374,0.0,0
48-03,48,7,270.2067,38.2823,0.0,0
48-04,48,7,271.194,55.6303,0.0,0
48-05,48,7,255.9478,61.1379,0.0,0
48-06,48,7,224.7156,49.7859,0.0,0
48-07,48,7,214.6242,40.4596,0.0,0
48-08,48,7,222.0805,36.6085,0.0,0
48-09,48,7,2081.8098,491.3266,0.0,0
48-10,48,7,19.3441,1.9316,0.0,3
48-11,48,7,8.4041,0.383,0.0,5
49-01,49,5,173.831,64.8317,0.0,0
49-02,49,4,96.6977,34.2868,0.0,1
50-01,50,2,72.4493,42.3072,28.3611,1
51-01,51,7,328.6171,54.0009,0.0,0
51-02,51,6,243.0249,67.3495,0.0,0
51-03,51,5,233.1209,77.2292,0.0,0
51-04,51,5,19.3952,5.5305,0.0,2
53-01,53,7,324.0737,62.8697,0.0,0
53-02,53,7,272.8675,42.276,0.0,0
53-03,53,6,179.0224,55.4083,0.0,0
54-01,54,5,209.2362,71.3634,0.0,0
55-01,55,6,271.0688,63.477,0.0,0
55-02,55,5,193.9914,61.9557,0.0,0
55-03,55,5,139.9276,54.1861,0.0,0
56-01,56,2,60.5824,31.9588,22.4718,0
