state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_CON_2_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,424.51,19,5,31.5012,12.4207,12.7863,15.6369,21.0319,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,75.48,20,5,24.8019,17.6308,,,16.8295,22.6037,15.5077,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,727.98,23,5,22.6263,,,18.6801,,18.381,16.0056,10.4316,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,249.58,22,5,24.9045,12.4289,,12.103,,28.7719,,12.9708,,,,,
6,CA,LIB_1,LIB_1,LIB,pure,4,,2399.22,22,5,18.8677,,,12.2071,16.3239,22.2421,23.4035,,,,,,
8,CO,CON_1,CON_1,CON,pure,0,,523.77,21,5,30.837,,,,,21.8761,15.9904,17.7228,11.8201,,,,
9,CT,CON_1,CON_1,CON,pure,0,,309.17,22,5,25.4851,,,,,18.8971,19.2475,18.9238,12.194,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,134.07,20,5,32.548,,,,,26.5742,17.6214,,,0.0,14.5847,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,76.06,19,5,,,,,,27.9177,32.3181,13.4043,14.6885,,,0.0,
12,FL,CON_1,CON_1,CON,pure,0,,1863.69,23,5,34.2554,16.169,,,16.5644,19.1383,11.842,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,879.55,20,5,34.8138,11.8352,,,14.633,19.5782,17.4908,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,127.65,20,5,24.2631,,,,,26.5501,22.6945,12.6492,,,11.7916,,
16,ID,CON_1,CON_1,CON,pure,0,,201.67,20,5,25.796,,,16.3473,,18.6203,11.7373,18.9409,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,916.03,22,5,28.7535,14.1625,,,,19.7182,15.6064,,10.4714,,,,
18,IN,CON_1,CON_1,CON,pure,0,,606.87,22,5,22.9401,14.1135,,16.0419,,17.2021,14.429,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,273.07,23,5,23.6405,12.3757,,15.9133,,19.06,12.6007,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,229.18,20,5,27.9371,,,12.1463,,16.8671,21.1184,10.1888,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,427.15,22,5,24.8098,13.0306,,14.6827,,16.5003,12.3776,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,303.31,19,5,25.9321,18.2567,,17.5924,14.0601,17.2796,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,153.36,24,5,23.5307,,,,,21.025,23.8796,18.7467,10.4856,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,480.63,22,5,23.1712,,,,,24.384,14.3866,13.323,13.5769,,,,
25,MA,CON_1,CON_1,CON,pure,0,,502.68,23,5,21.7249,,,9.2393,,26.2401,18.3312,,13.4161,,,,
26,MI,CON_1,CON_1,CON,pure,0,,835.95,20,5,24.4663,,,16.0273,,20.8302,17.9789,12.0301,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,461.07,23,5,25.2408,,,,,15.3781,19.9677,18.8766,15.3125,,,,
28,MS,CON_1,CON_1,CON,pure,0,,246.91,19,5,26.0755,,,12.9763,25.4278,20.262,,,,,13.1555,,
29,MO,CON_1,CON_1,CON,pure,0,,570.3,21,5,29.0444,,,13.5454,15.79,21.5816,12.9423,,,,,,
30,MT,NAT_1,NAT_1,NAT,pure,3,,161.14,22,5,20.071,9.4178,,24.6547,,15.3051,21.0782,,,,,,
31,NE,CON_1,CON_1,CON,pure,0,,175.62,22,5,23.3746,17.4607,,11.3351,,21.1957,13.6567,,,,,,
32,NV,CON_1,CON_1,CON,pure,0,,430.65,21,5,27.664,,,12.9739,14.2277,20.0378,20.2673,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,167.18,22,5,19.4947,,11.2637,,,28.3096,,,13.5275,,13.9558,,
34,NJ,CON_1,CON_1,CON,pure,0,,731.46,22,5,25.8725,,,11.9593,,22.8536,17.6727,,10.8475,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,245.1,21,5,23.5732,14.9813,,,10.494,26.2068,14.573,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1427.32,23,5,23.7622,,,,,21.8679,13.7821,,10.0203,,10.2252,,
37,NC,CON_1,CON_1,CON,pure,0,,894.12,23,5,26.4806,,,13.2028,,17.1158,15.5769,10.5042,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,67.51,22,5,30.3847,15.2539,,,,21.5455,18.1279,14.6879,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1052.5,22,5,27.7595,13.095,,13.6846,,16.3039,15.2828,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,370.99,23,5,25.3876,13.5932,,18.8335,,10.313,12.7489,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,566.03,23,5,17.8791,,,17.3514,,21.9561,17.91,,18.1926,,,,
42,PA,CON_1,CON_1,CON,pure,0,,1382.94,22,5,26.5051,,,10.7873,,21.2351,23.6279,9.8636,,,,,
44,RI,LIB_1,LIB_1,LIB,pure,4,,102.59,24,5,24.2028,,,,,21.9745,20.8469,10.368,11.5901,,,,
45,SC,CON_1,CON_1,CON,pure,0,,439.73,21,5,27.2444,,,14.5003,,20.1458,11.7888,10.9154,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,84.77,22,5,20.8079,18.3709,,15.6991,15.4235,20.5039,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,702.26,20,5,34.2178,13.3197,,18.9784,,,8.8249,,,0.0,,,
48,TX,CON_1,CON_1,CON,pure,0,,2081.81,22,5,25.7067,15.6122,,11.6767,17.5221,24.3308,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,270.53,22,5,21.5884,,11.9096,11.6733,,24.6751,,12.3331,,,,,
50,VT,PRG_1,PRG_1,PRG,pure,9,,72.45,23,5,27.5187,,,,,19.4176,14.5749,,31.6022,,,,0.0
51,VA,CON_1,CON_1,CON,pure,0,,824.16,22,5,25.1879,,,12.7468,,21.1336,11.9238,,11.7899,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,775.96,22,5,19.0528,,,11.9979,,25.9508,16.5784,,14.085,,,,
54,WV,CON_1,CON_1,CON,pure,0,,209.24,21,5,26.925,18.761,,12.3592,18.1894,19.9166,,,,,,,
55,WI,CON_1,CON_1,CON,pure,0,,604.99,22,5,26.7808,,,11.8278,,21.2403,17.0303,12.4718,,,,,
56,WY,CON_1,CON_1,CON,pure,0,,60.58,21,5,40.6485,,,,,13.421,16.0229,19.5284,,0.0,,,
