state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1,r1_pct_STY_1
1,AL,CON_1,NAT_1,CON_1,661,3,36.52,15.13,9.25,15.64,23.46
2,AK,LBR_1,STY_1,STY_1,105,4,24.91,23.44,16.29,12.26,23.11
4,AZ,CON_1,NAT_1,STY_1,1159,4,26.24,20.13,19.34,20.07,14.22
5,AR,CON_1,STY_1,STY_1,390,4,31.34,23.4,12.07,12.35,20.84
6,CA,LBR_1,LIB_1,LBR_1,3626,4,20.74,23.0,26.77,12.21,17.28
8,CO,LBR_1,LIB_1,LBR_1,785,4,28.54,20.55,27.34,10.65,12.93
9,CT,CON_1,LBR_1,LBR_1,465,4,26.1,19.3,31.58,10.37,12.65
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.52,30.63,25.39,6.58,7.88
11,DC,LBR_1,STY_1,LBR_1,122,4,11.69,27.18,46.25,0.0,14.88
12,FL,CON_1,STY_1,STY_1,3350,4,33.43,21.44,14.19,9.56,21.38
13,GA,LBR_1,STY_1,STY_1,1489,4,31.36,20.8,18.17,10.9,18.77
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.09,25.23,28.91,4.85,12.92
16,ID,CON_1,STY_1,STY_1,244,4,29.79,17.27,14.88,16.49,21.58
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.37,25.05,25.73,9.79,13.06
18,IN,CON_1,STY_1,CON_1,978,3,30.31,18.25,18.49,16.04,16.91
19,IA,CON_1,STY_1,STY_1,490,4,28.89,22.29,15.67,15.91,17.24
20,KS,CON_1,STY_1,STY_1,385,3,32.16,17.08,23.01,12.68,15.07
21,KY,CON_1,NAT_1,CON_1,674,3,36.66,17.98,12.89,15.39,17.08
22,LA,CON_1,STY_1,CON_1,493,4,30.96,18.88,13.49,17.59,19.07
23,ME,LIB_1,LBR_1,LBR_1,236,4,24.03,20.42,32.94,8.59,14.01
24,MD,LBR_1,LIB_1,LBR_1,791,4,23.34,25.96,27.09,8.8,14.82
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.88,24.56,31.73,9.24,11.6
26,MI,CON_1,NAT_1,STY_1,1531,3,27.62,20.39,21.17,16.49,14.34
27,MN,LIB_1,LBR_1,LBR_1,811,4,24.39,16.82,34.84,11.08,12.87
28,MS,STY_1,LBR_1,STY_1,349,4,30.0,20.75,9.68,12.98,26.59
29,MO,CON_1,STY_1,STY_1,1047,4,30.45,22.48,15.05,13.55,18.48
30,MT,CON_1,NAT_1,CON_1,185,4,23.83,17.72,21.52,24.65,12.27
31,NE,LBR_1,STY_1,STY_1,286,4,30.56,23.52,14.82,11.34,19.77
32,NV,LBR_1,LIB_1,STY_1,573,4,28.81,20.82,22.25,12.97,15.14
33,NH,LBR_1,LIB_1,LBR_1,252,4,26.45,31.16,24.68,7.3,10.4
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,27.28,22.3,28.32,11.96,10.14
35,NM,LBR_1,LIB_1,LBR_1,309,4,29.43,31.86,20.14,7.72,10.85
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.06,25.86,25.41,9.44,16.23
37,NC,STY_1,LIB_1,STY_1,1444,4,30.24,17.6,20.29,14.1,17.77
38,ND,CON_1,STY_1,STY_1,90,4,35.89,22.69,18.13,4.33,18.96
39,OH,CON_1,STY_1,STY_1,1978,4,31.7,19.47,17.26,13.68,17.88
40,OK,CON_1,NAT_1,CON_1,537,4,33.21,11.19,13.62,19.12,22.86
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.35,21.93,34.78,17.35,7.59
42,PA,CON_1,LBR_1,LBR_1,2418,4,30.19,19.75,27.24,11.8,11.03
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.02,23.65,32.21,6.8,14.32
45,SC,CON_1,STY_1,STY_1,736,4,30.37,22.0,14.03,14.5,19.1
46,SD,CON_1,STY_1,STY_1,137,4,28.81,17.42,15.16,15.7,22.91
47,TN,CON_1,NAT_1,CON_1,1065,4,40.8,13.49,9.74,18.98,16.99
48,TX,CON_1,STY_1,STY_1,3392,4,31.86,21.18,13.02,11.68,22.26
49,UT,LBR_1,STY_1,STY_1,387,4,24.13,26.54,12.86,11.91,24.56
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.37,17.2,47.3,5.19,6.95
51,VA,LBR_1,LIB_1,STY_1,1234,4,27.67,23.23,22.7,12.75,13.66
53,WA,LIB_1,LBR_1,LBR_1,1112,4,20.45,26.02,30.64,12.0,10.89
54,WV,STY_1,LBR_1,STY_1,335,4,34.56,16.55,9.33,12.36,27.21
55,WI,LBR_1,LIB_1,STY_1,1088,4,30.22,22.5,22.3,12.3,12.68
56,WY,STY_1,LIB_1,STY_1,70,4,31.88,17.19,18.44,10.37,22.12
