winnowing_point,candidate_code,candidate_name,party_code,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size,first_choice_total,first_choice_pct
Initial_Slate,CON_1,CON_1,CON,5705.2418,20.45,surviving,0.0,27900.5171,,
Initial_Slate,LBR_1,LBR_1,LBR,3670.0707,13.15,surviving,0.0,27900.5171,,
Initial_Slate,NAT_1,NAT_1,NAT,3370.3614,12.08,surviving,0.0,27900.5171,,
Initial_Slate,LIB_1,LIB_1,LIB,3220.4536,11.54,surviving,0.0,27900.5171,,
Initial_Slate,POP_1,POP_1,POP,2264.0046,8.11,surviving,0.0,27900.5171,,
Initial_Slate,PRG_1,PRG_1,PRG,2102.1212,7.53,surviving,0.0,27900.5171,,
Initial_Slate,CUP_1,CUP_1,CUP,2029.3365,7.27,surviving,0.0,27900.5171,,
Initial_Slate,STY_1,STY_1,STY,2027.742,7.27,surviving,0.0,27900.5171,,
Initial_Slate,OAO_1,OAO_1,OAO,1846.2433,6.62,surviving,0.0,27900.5171,,
Initial_Slate,DSA_1,DSA_1,DSA,1664.9422,5.97,surviving,0.0,27900.5171,,
Initial_Slate,CON_2,CON_2,CON,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,CON_3,CON_3,CON,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,CUP_2,CUP_2,CUP,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,CUP_3,CUP_3,CUP,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,DSA_2,DSA_2,DSA,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,DSA_3,DSA_3,DSA,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,LBR_2,LBR_2,LBR,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,LBR_3,LBR_3,LBR,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,LIB_2,LIB_2,LIB,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,LIB_3,LIB_3,LIB,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,NAT_2,NAT_2,NAT,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,NAT_3,NAT_3,NAT,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,POP_2,POP_2,POP,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,POP_3,POP_3,POP,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,PRG_2,PRG_2,PRG,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,PRG_3,PRG_3,PRG,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,STY_2,STY_2,STY,0.0,0.0,surviving,0.0,27900.5171,,
Initial_Slate,STY_3,STY_3,STY,0.0,0.0,surviving,0.0,27900.5171,,
After_Retail,CON_1,CON_1,CON,2146.1936,7.69,surviving,2146.1936,27900.5171,5705.2418,20.45
After_Retail,CON_2,CON_2,CON,2146.1936,7.69,surviving,2146.1936,27900.5171,0.0,0.0
After_Retail,CON_3,CON_3,CON,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,CUP_1,CUP_1,CUP,2146.1936,7.69,surviving,2146.1936,27900.5171,2029.3365,7.27
After_Retail,CUP_2,CUP_2,CUP,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,CUP_3,CUP_3,CUP,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,DSA_1,DSA_1,DSA,2146.1936,7.69,surviving,2146.1936,27900.5171,1664.9422,5.97
After_Retail,DSA_2,DSA_2,DSA,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,DSA_3,DSA_3,DSA,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,LBR_1,LBR_1,LBR,2146.1936,7.69,surviving,2146.1936,27900.5171,3670.0707,13.15
After_Retail,LBR_2,LBR_2,LBR,2146.1936,7.69,surviving,2146.1936,27900.5171,0.0,0.0
After_Retail,LBR_3,LBR_3,LBR,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,LIB_1,LIB_1,LIB,2146.1936,7.69,surviving,2146.1936,27900.5171,3220.4536,11.54
After_Retail,LIB_2,LIB_2,LIB,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
After_Retail,LIB_3,LIB_3,LIB,0.0,0.0,eliminated_this_round,2146.1936,27900.5171,0.0,0.0
