state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_NAT,inc_PRG,inc_DSA
1,AL,CON_1,CON,26.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.68,3.98,0.8,0.61,0.55,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.78,0.0,1.79,2.32,6.22,0.0,0.69,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,11.44,0.0,0.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.17,0.0,0.0,0.0,0.0,0.0,0.0,0.73,12.06,0.0,0.0
2,AK,CUP_1,CUP,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,13.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.74
2,AK,STY_1,STY,10.58,0.0,0.0,5.03,0.86,0.0,0.0,0.0,0.0,0.0,4.43
4,AZ,CON_1,CON,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,9.94,1.24,2.34,0.0,0.0,1.28,0.0,2.13,0.0,0.0,0.0
4,AZ,LIB_1,LIB,9.61,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0.0
4,AZ,NAT_1,NAT,18.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.24,3.96,0.0,0.0,0.0,0.0,0.0,3.62,0.98,0.0,0.0
5,AR,CON_1,CON,22.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.42,1.22,3.88,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.13,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0
5,AR,NAT_1,NAT,12.1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.59,2.38,0.0,0.0,0.59,0.0,0.0,2.38,0.0,0.0,0.0
6,CA,CON_1,CON,13.43,0.0,4.88,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
6,CA,LIB_1,LIB,15.42,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,11.16,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,9.83,0.7,0.0,7.22,1.67,2.54,0.0,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.05,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,4.15
8,CO,LIB_1,LIB,14.2,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,10.46,3.77,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0
8,CO,PRG_1,PRG,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
9,CT,CON_1,CON,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.11,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,2.6
9,CT,LIB_1,LIB,17.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,8.72,0.94,0.0,0.0,1.25,3.2,0.0,1.98,8.7,0.0,0.0
9,CT,PRG_1,PRG,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.88,0.0,1.28,0.0,1.0,0.0,3.31,6.58,0.0,0.0
10,DE,LBR_1,LBR,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.88,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,5.74,0.0
10,DE,OAO_1,OAO,14.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.62,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0
11,DC,LIB_1,LIB,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.35,0.0,0.0,0.0,12.88,0.0,0.0,0.66,0.0
11,DC,POP_1,POP,9.99,9.08,0.0,0.0,0.0,1.54,0.0,1.3,0.0,0.0,0.0
11,DC,PRG_1,PRG,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94
12,FL,CON_1,CON,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.03,2.37,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.32,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13
12,FL,LIB_1,LIB,8.61,0.0,1.24,0.0,0.53,0.0,0.0,0.0,0.0,1.65,1.63
12,FL,STY_1,STY,10.04,0.76,0.0,8.29,2.45,0.0,0.0,0.0,0.0,0.0,1.53
13,GA,CON_1,CON,22.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,9.0,2.86,3.28,0.0,0.0,0.0,0.0,0.59,4.51,0.0,0.0
13,GA,LBR_1,LBR,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46
13,GA,LIB_1,LIB,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0
13,GA,STY_1,STY,8.61,3.99,0.0,5.54,1.16,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,2.37,0.0,4.69,2.46,2.29,1.61,0.0,3.55,1.53
15,HI,LIB_1,LIB,19.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,8.76,2.6,0.0,0.0,0.0,0.0,0.0,1.34,4.82,0.0,0.0
