district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,7,394,13,CON,STY,NAT,CON,STY,CUP,LIB
01-02,1,AL,SUBURBAN,6,267,13,CON,POP,CON,STY,LBR,CUP,
02-01,2,AK,SUBURBAN,2,105,10,LBR,CON,,,,,
04-01,4,AZ,URBAN,7,613,13,CON,NAT,LBR,DSA,LIB,CON,POP
04-02,4,AZ,URBAN,7,546,14,CON,NAT,LBR,STY,POP,CON,LIB
04-03,4,AZ,SUBURBAN,5,1159,11,CON,LBR,STY,LIB,NAT,,
05-01,5,AR,URBAN,4,211,11,CON,LBR,POP,CON,,,
05-02,5,AR,SUBURBAN,4,179,10,LBR,STY,CUP,CON,,,
06-01,6,CA,URBAN,7,874,12,STY,LBR,LIB,STY,CUP,CON,POP
06-02,6,CA,URBAN,7,303,12,STY,CON,LBR,STY,LIB,POP,NAT
06-03,6,CA,URBAN,7,268,12,LBR,OAO,LIB,STY,CON,CUP,NAT
06-04,6,CA,URBAN,7,475,13,LBR,CON,STY,POP,LIB,LBR,CUP
06-05,6,CA,URBAN,7,251,13,LBR,LIB,PRG,CON,STY,LBR,OAO
06-06,6,CA,URBAN,7,346,14,CON,LIB,LBR,NAT,STY,LIB,POP
06-07,6,CA,URBAN,7,310,12,LBR,LIB,LBR,STY,CON,OAO,LIB
06-08,6,CA,URBAN,7,281,13,STY,LBR,LIB,CON,POP,LBR,PRG
06-09,6,CA,URBAN,7,306,14,CON,NAT,STY,LBR,LIB,OAO,POP
06-10,6,CA,URBAN,7,84,14,CUP,LIB,CON,LBR,CUP,NAT,PRG
06-11,6,CA,SUBURBAN,7,75,13,POP,NAT,POP,STY,LBR,CON,CUP
06-12,6,CA,SUBURBAN,7,10,15,STY,STY,LBR,CUP,LBR,PRG,STY
06-13,6,CA,SUBURBAN,7,27,14,NAT,POP,CON,LIB,NAT,POP,STY
06-14,6,CA,SUBURBAN,7,12,15,STY,STY,LBR,LIB,NAT,POP,STY
06-15,6,CA,RURAL,6,3625,12,LBR,STY,LIB,CON,CUP,POP,
08-01,8,CO,URBAN,5,356,11,LBR,CON,LIB,POP,STY,,
08-02,8,CO,URBAN,5,338,11,CON,LBR,LIB,POP,CUP,,
08-03,8,CO,SUBURBAN,5,91,11,CON,LIB,LBR,CON,STY,,
09-01,9,CT,URBAN,5,327,11,CON,LIB,LBR,STY,POP,,
09-02,9,CT,SUBURBAN,4,138,10,LBR,POP,LIB,CUP,,,
10-01,10,DE,URBAN,3,164,10,CON,LBR,STY,,,,
11-01,11,DC,URBAN,2,122,10,LBR,LIB,,,,,
12-01,12,FL,URBAN,7,477,13,CON,LBR,STY,POP,CUP,LIB,CON
12-02,12,FL,URBAN,7,422,13,STY,CON,LIB,CUP,STY,LBR,DSA
12-03,12,FL,URBAN,7,505,13,CON,LBR,CON,STY,CUP,LIB,POP
12-04,12,FL,URBAN,7,591,13,CON,STY,CUP,LBR,CON,STY,LIB
12-05,12,FL,URBAN,7,686,13,CON,CUP,LBR,STY,POP,CON,NAT
12-06,12,FL,URBAN,7,458,14,CON,LBR,POP,CUP,LBR,STY,CON
12-07,12,FL,SUBURBAN,5,171,11,STY,CON,CUP,STY,LBR,,
12-08,12,FL,SUBURBAN,5,38,12,CON,POP,CON,LBR,NAT,,
12-09,12,FL,SUBURBAN,5,3350,12,CON,LBR,STY,CUP,POP,,
13-01,13,GA,URBAN,7,548,13,LBR,CON,LIB,STY,LBR,CUP,POP
13-02,13,GA,URBAN,7,417,14,CON,STY,LBR,CUP,LIB,STY,CON
13-03,13,GA,SUBURBAN,7,451,14,CON,CON,LBR,CUP,STY,LIB,POP
13-04,13,GA,RURAL,7,73,14,CON,POP,CON,LBR,CUP,NAT,POP
15-01,15,HI,URBAN,4,153,11,LBR,CON,LIB,STY,,,
16-01,16,ID,SUBURBAN,5,244,12,CON,POP,LBR,LIB,CUP,,
17-01,17,IL,URBAN,7,708,12,CON,LBR,POP,CUP,CON,LIB,PRG
17-02,17,IL,URBAN,7,135,14,LBR,LIB,OAO,PRG,STY,LBR,CON
17-03,17,IL,URBAN,7,377,13,CON,LIB,LBR,POP,CUP,OAO,NAT
17-04,17,IL,SUBURBAN,7,386,12,CON,LBR,POP,CUP,LIB,CON,DSA
17-05,17,IL,SUBURBAN,6,152,12,CON,CON,LBR,POP,LIB,NAT,
18-01,18,IN,URBAN,7,502,13,CON,LBR,NAT,STY,LIB,CUP,CON
18-02,18,IN,SUBURBAN,6,355,14,CON,LBR,STY,POP,CUP,LIB,
18-03,18,IN,RURAL,5,121,11,CON,CUP,STY,CON,OAO,,
19-01,19,IA,URBAN,4,308,10,LBR,CON,CUP,STY,,,
19-02,19,IA,SUBURBAN,4,182,11,CON,CUP,STY,POP,,,
20-01,20,KS,URBAN,4,216,11,CON,STY,LBR,LIB,,,
20-02,20,KS,SUBURBAN,4,169,12,CON,STY,POP,LBR,,,
21-01,21,KY,URBAN,7,431,13,CON,STY,LBR,CUP,LIB,POP,CON
21-02,21,KY,SUBURBAN,5,243,11,CON,LBR,CUP,NAT,STY,,
22-01,22,LA,URBAN,7,324,12,CON,STY,LBR,CUP,LIB,POP,NAT
22-02,22,LA,SUBURBAN,5,169,13,CON,NAT,CUP,STY,CON,,
23-01,23,ME,RURAL,4,236,10,LIB,LBR,CON,POP,,,
24-01,24,MD,URBAN,6,382,11,LBR,CON,POP,LIB,LBR,STY,
24-02,24,MD,URBAN,5,204,11,LBR,POP,CON,STY,LIB,,
24-03,24,MD,SUBURBAN,5,205,10,LBR,CON,STY,LIB,POP,,
25-01,25,MA,URBAN,7,384,13,CON,LIB,PRG,LBR,STY,CON,DSA
25-02,25,MA,URBAN,6,393,12,LBR,CON,LIB,LBR,STY,POP,
25-03,25,MA,SUBURBAN,5,129,11,STY,CON,LBR,LIB,DSA,,
26-01,26,MI,URBAN,7,458,12,CON,LBR,LIB,STY,POP,CUP,DSA
26-02,26,MI,URBAN,7,549,12,CON,NAT,LIB,LBR,STY,CON,CUP
26-03,26,MI,SUBURBAN,7,490,13,CON,NAT,LBR,CON,POP,LIB,STY
26-04,26,MI,RURAL,6,34,12,POP,LIB,CON,CUP,LBR,NAT,
27-01,27,MN,URBAN,5,372,11,PRG,LBR,LIB,POP,CON,,
27-02,27,MN,SUBURBAN,5,288,11,CON,LIB,POP,STY,LBR,,
27-03,27,MN,RURAL,5,151,10,LIB,POP,CON,LBR,NAT,,
28-01,28,MS,SUBURBAN,4,199,11,STY,LBR,CON,POP,,,
28-02,28,MS,RURAL,4,150,12,STY,CON,CUP,LBR,,,
29-01,29,MO,URBAN,6,373,13,CON,STY,LBR,CON,POP,DSA,
29-02,29,MO,SUBURBAN,5,390,11,CON,STY,LBR,CON,LIB,,
29-03,29,MO,RURAL,5,284,11,CON,LBR,CUP,POP,NAT,,
30-01,30,MT,SUBURBAN,3,185,10,LBR,CON,NAT,,,,
31-01,31,NE,SUBURBAN,5,286,11,CON,POP,CUP,LBR,STY,,
32-01,32,NV,URBAN,4,415,10,LBR,CON,LIB,POP,,,
32-02,32,NV,SUBURBAN,4,158,11,NAT,CON,LBR,POP,,,
33-01,33,NH,SUBURBAN,4,252,10,LBR,DSA,CON,CUP,,,
34-01,34,NJ,URBAN,7,500,13,CON,LBR,LIB,STY,POP,CUP,PRG
34-02,34,NJ,URBAN,7,446,13,CON,LIB,LBR,POP,NAT,LIB,CUP
34-03,34,NJ,URBAN,5,164,11,CON,CUP,CON,DSA,LBR,,
34-04,34,NJ,SUBURBAN,5,131,12,LBR,CON,NAT,DSA,OAO,,
35-01,35,NM,URBAN,6,309,13,LBR,CON,LIB,CUP,STY,LBR,
36-01,36,NY,URBAN,7,434,12,LBR,STY,LIB,CON,POP,CUP,OAO
36-02,36,NY,URBAN,7,409,12,STY,LBR,CON,OAO,POP,CUP,LIB
36-03,36,NY,URBAN,7,336,13,CON,LBR,LIB,POP,STY,CUP,DSA
36-04,36,NY,URBAN,7,487,13,CON,LBR,NAT,LIB,STY,CON,PRG
36-05,36,NY,URBAN,7,487,13,CON,LBR,LIB,CUP,CON,POP,STY
36-06,36,NY,SUBURBAN,7,338,13,PRG,LBR,CON,LIB,POP,STY,DSA
36-07,36,NY,SUBURBAN,6,73,13,CUP,OAO,CON,CUP,LBR,STY,
36-08,36,NY,RURAL,5,21,12,LBR,LBR,CON,NAT,POP,,
37-01,37,NC,URBAN,7,468,14,CON,CON,LBR,STY,CUP,LIB,POP
37-02,37,NC,SUBURBAN,7,424,11,PRG,NAT,STY,CON,LIB,LBR,POP
37-03,37,NC,RURAL,7,540,12,CON,CON,LBR,STY,LIB,CUP,NAT
37-04,37,NC,RURAL,6,12,13,DSA,NAT,CON,CUP,DSA,STY,
38-01,38,ND,SUBURBAN,2,90,10,CON,LBR,,,,,
39-01,39,OH,URBAN,7,529,13,CON,LIB,STY,LBR,DSA,CUP,NAT
39-02,39,OH,URBAN,7,669,14,CON,LBR,STY,POP,LIB,CUP,CON
39-03,39,OH,SUBURBAN,7,482,13,CON,CON,CUP,STY,LIB,LBR,POP
39-04,39,OH,SUBURBAN,5,280,12,CON,POP,CON,CUP,LBR,,
39-05,39,OH,RURAL,5,18,11,CON,CON,LBR,POP,STY,,
40-01,40,OK,URBAN,5,337,11,CON,LBR,POP,CUP,LIB,,
40-02,40,OK,SUBURBAN,5,200,11,CON,NAT,CUP,STY,CON,,
41-01,41,OR,URBAN,6,540,10,PRG,DSA,LIB,LBR,CON,POP,
