round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CON_1,CON_1,13310.1238,32.4913,False,False
1,LBR_1,LBR_1,9026.4721,22.0345,False,False
1,LIB_1,LIB_1,7252.3558,17.7037,False,False
1,POP_1,POP_1,5472.1336,13.358,True,False
1,STY_1,STY_1,5904.103,14.4125,False,False
2,CON_1,CON_1,15583.5702,38.041,False,False
2,LBR_1,LBR_1,9118.1316,22.2582,False,False
2,LIB_1,LIB_1,7252.3558,17.7037,True,False
2,STY_1,STY_1,9011.1307,21.997,False,False
3,CON_1,CON_1,15665.1286,38.2401,False,False
3,LBR_1,LBR_1,16210.8577,39.5723,False,False
3,STY_1,STY_1,9089.202,22.1876,True,False
4,CON_1,CON_1,18770.9878,45.8218,False,False
4,LBR_1,LBR_1,22194.2005,54.1782,False,True
