state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1,r1_pct_STY_1
1,AL,STY_1,LBR_1,STY_1,661,4,43.58,15.13,7.84,12.94,20.51
2,AK,LBR_1,STY_1,STY_1,105,4,31.44,23.61,12.91,14.31,17.73
4,AZ,CON_1,POP_1,STY_1,1159,4,30.54,21.15,16.26,20.0,12.04
5,AR,CON_1,POP_1,STY_1,390,4,39.48,24.17,9.89,16.48,9.98
6,CA,LBR_1,STY_1,STY_1,3626,4,20.5,23.61,21.97,15.58,18.34
8,CO,LBR_1,LIB_1,STY_1,785,4,29.73,21.81,23.19,16.6,8.66
9,CT,LBR_1,LIB_1,LBR_1,465,4,25.59,19.42,27.02,17.86,10.12
10,DE,LBR_1,LIB_1,LBR_1,164,4,31.48,30.88,22.41,7.02,8.21
11,DC,LBR_1,POP_1,LBR_1,122,4,11.91,29.63,39.89,11.46,7.11
12,FL,LBR_1,STY_1,STY_1,3350,4,36.53,21.42,11.67,10.58,19.79
13,GA,LBR_1,STY_1,STY_1,1489,4,35.8,21.4,14.86,10.86,17.08
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.56,27.02,25.25,11.97,7.2
16,ID,CON_1,POP_1,POP_1,244,4,38.75,17.78,12.46,20.66,10.34
17,IL,LBR_1,LIB_1,LBR_1,1758,4,28.37,25.54,21.91,13.57,10.61
18,IN,CON_1,STY_1,STY_1,978,4,39.23,18.92,15.61,12.32,13.91
19,IA,LBR_1,STY_1,STY_1,490,4,38.44,23.35,13.22,11.61,13.37
20,KS,STY_1,LIB_1,STY_1,385,4,36.54,17.93,19.13,12.81,13.59
21,KY,CON_1,STY_1,STY_1,674,4,42.5,18.25,10.55,13.21,15.48
22,LA,CON_1,STY_1,STY_1,493,4,40.78,19.51,10.8,8.62,20.29
23,ME,LBR_1,LIB_1,LBR_1,236,4,23.72,21.48,28.23,18.29,8.27
24,MD,LBR_1,LIB_1,LBR_1,791,4,24.27,26.71,22.37,13.85,12.81
25,MA,LBR_1,LIB_1,LBR_1,906,4,27.54,26.18,27.22,9.46,9.59
26,MI,CON_1,POP_1,STY_1,1531,4,36.14,21.57,17.97,13.79,10.54
27,MN,CON_1,LBR_1,LBR_1,811,4,26.5,18.16,30.16,17.83,7.35
28,MS,STY_1,LBR_1,STY_1,349,4,34.7,19.72,7.81,10.12,27.66
29,MO,LBR_1,STY_1,STY_1,1047,4,36.9,22.76,12.29,11.55,16.5
30,MT,LBR_1,LIB_1,STY_1,185,4,36.3,19.16,18.17,12.21,14.16
31,NE,LBR_1,STY_1,STY_1,286,4,32.73,24.09,12.23,15.16,15.8
32,NV,LBR_1,STY_1,STY_1,573,4,30.05,21.74,18.63,14.6,14.98
33,NH,LBR_1,LIB_1,LBR_1,252,4,26.44,33.2,20.93,11.11,8.32
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,28.26,23.73,24.08,13.84,10.1
35,NM,LBR_1,LIB_1,LBR_1,309,4,27.33,29.65,16.25,13.14,13.64
36,NY,LBR_1,LIB_1,LBR_1,2585,4,25.52,26.86,21.3,12.59,13.74
37,NC,CON_1,POP_1,STY_1,1444,4,35.6,18.24,16.99,14.6,14.57
38,ND,CON_1,POP_1,POP_1,90,4,29.28,23.67,15.03,23.78,8.24
39,OH,CON_1,STY_1,STY_1,1978,4,37.61,20.22,14.45,13.62,14.1
40,OK,STY_1,POP_1,STY_1,537,4,44.67,11.46,11.5,15.06,17.31
41,OR,LIB_1,LBR_1,LBR_1,810,4,23.04,23.83,30.22,16.54,6.36
42,PA,LBR_1,LIB_1,STY_1,2418,4,33.15,21.05,23.19,13.37,9.24
44,RI,LBR_1,LIB_1,LBR_1,176,4,25.88,25.23,27.4,11.03,10.47
45,SC,LBR_1,STY_1,STY_1,736,4,37.25,21.0,11.74,14.23,15.77
46,SD,CON_1,STY_1,STY_1,137,4,39.24,17.62,12.46,10.39,20.28
47,TN,CON_1,none,CON_1,1065,1,53.29,14.12,8.2,10.23,14.16
48,TX,LBR_1,STY_1,STY_1,3392,4,35.57,21.13,10.62,11.39,21.3
49,UT,LBR_1,STY_1,STY_1,387,4,28.37,26.59,10.25,15.58,19.2
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.15,19.67,41.17,5.73,5.28
51,VA,LBR_1,LIB_1,STY_1,1234,4,34.22,24.51,18.87,10.72,11.68
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.43,27.97,26.08,14.76,9.76
54,WV,STY_1,LBR_1,STY_1,335,4,40.98,16.65,7.38,13.26,21.74
55,WI,LBR_1,POP_1,STY_1,1088,4,33.67,23.27,18.71,13.8,10.55
56,WY,CON_1,POP_1,POP_1,70,4,39.41,18.34,15.73,20.09,6.43
