state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,47.47,11.52,13.69,8.87,18.45
2,AK,LBR_1,CUP_1,STY_1,105,4,27.66,17.46,22.6,15.88,16.4
4,AZ,CON_1,STY_1,STY_1,1159,3,43.58,6.14,17.39,19.2,13.69
5,AR,CON_1,STY_1,STY_1,390,4,37.3,12.59,22.81,11.96,15.35
6,CA,LBR_1,LIB_1,LBR_1,3626,4,28.63,8.28,21.31,26.9,14.89
8,CO,CON_1,LBR_1,LBR_1,785,4,35.85,6.24,18.68,27.13,12.11
9,CT,CON_1,LBR_1,LBR_1,465,4,33.4,9.79,16.6,31.02,9.2
10,DE,LBR_1,LIB_1,LBR_1,164,4,33.57,10.59,24.99,23.97,6.89
11,DC,LBR_1,STY_1,LBR_1,122,4,9.69,7.94,26.75,46.79,8.83
12,FL,CON_1,CUP_1,STY_1,3350,4,35.09,16.07,19.36,13.41,16.06
13,GA,LBR_1,LIB_1,STY_1,1489,4,36.67,11.73,19.53,17.85,14.23
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.1,10.65,24.6,26.06,10.58
16,ID,CON_1,CUP_1,CON_1,244,4,42.62,15.41,16.47,14.86,10.64
17,IL,LBR_1,LIB_1,LBR_1,1758,4,32.55,13.43,18.92,24.96,10.14
18,IN,CON_1,CUP_1,CON_1,978,4,39.37,13.97,17.23,17.28,12.15
19,IA,CON_1,STY_1,STY_1,490,4,39.93,12.27,18.98,14.73,14.09
20,KS,CON_1,STY_1,STY_1,385,3,41.77,6.35,15.01,22.95,13.92
21,KY,CON_1,CUP_1,CON_1,674,4,42.05,14.07,16.48,12.64,14.76
22,LA,CON_1,CUP_1,CON_1,493,4,44.04,16.07,13.08,13.38,13.43
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.94,6.42,19.31,33.36,12.97
24,MD,LBR_1,LIB_1,LBR_1,791,4,27.38,8.02,24.67,27.47,12.45
25,MA,LIB_1,LBR_1,LBR_1,906,4,29.54,7.69,23.19,30.86,8.71
26,MI,CON_1,STY_1,STY_1,1531,3,40.9,8.08,18.84,21.06,11.12
27,MN,LIB_1,LBR_1,LBR_1,811,4,30.44,8.03,14.92,34.41,12.2
28,MS,STY_1,LBR_1,STY_1,349,4,37.06,14.91,18.07,6.32,23.64
29,MO,CON_1,STY_1,STY_1,1047,4,40.55,10.05,20.94,14.81,13.64
30,MT,CON_1,CUP_1,CON_1,185,3,45.11,9.26,15.2,21.77,8.66
31,NE,LBR_1,CUP_1,STY_1,286,4,35.09,17.27,21.17,15.1,11.37
32,NV,LBR_1,LIB_1,STY_1,573,4,37.74,6.4,19.94,21.73,14.19
33,NH,LBR_1,LIB_1,LBR_1,252,4,30.31,11.66,26.29,24.97,6.77
34,NJ,CON_1,LBR_1,LBR_1,1241,4,33.84,8.72,19.73,28.11,9.6
35,NM,LBR_1,LIB_1,LBR_1,309,4,28.92,14.84,26.27,20.02,9.96
36,NY,LBR_1,LIB_1,LBR_1,2585,4,29.14,9.82,23.24,24.9,12.9
37,NC,STY_1,LIB_1,STY_1,1444,4,40.01,9.97,16.55,19.63,13.83
38,ND,CON_1,CUP_1,STY_1,90,4,36.88,16.23,18.92,18.46,9.51
39,OH,CON_1,CUP_1,CON_1,1978,3,41.54,13.18,16.45,16.6,12.23
40,OK,CON_1,CUP_1,CON_1,537,3,44.12,14.06,10.34,13.84,17.64
41,OR,LIB_1,LBR_1,LBR_1,810,4,32.02,4.75,20.45,34.9,7.88
42,PA,CON_1,LBR_1,LBR_1,2418,4,36.93,8.63,18.22,26.69,9.54
44,RI,LBR_1,LIB_1,LBR_1,176,4,26.41,8.05,21.41,31.81,12.31
45,SC,CON_1,STY_1,STY_1,736,4,40.81,10.6,19.76,12.73,16.11
46,SD,CON_1,CUP_1,STY_1,137,4,36.96,17.85,15.25,15.08,14.85
47,TN,CON_1,none,CON_1,1065,1,53.56,12.57,11.81,8.59,13.47
48,TX,CON_1,STY_1,STY_1,3392,4,37.54,14.5,18.67,12.38,16.91
49,UT,LBR_1,STY_1,STY_1,387,4,32.12,11.1,25.36,12.89,18.53
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.33,7.38,14.64,46.78,5.87
51,VA,LBR_1,LIB_1,STY_1,1234,4,36.53,8.85,21.47,22.57,10.58
53,WA,LIB_1,LBR_1,LBR_1,1112,4,29.33,9.77,22.13,30.17,8.59
54,WV,CON_1,CUP_1,STY_1,335,4,39.8,17.62,15.55,9.46,17.58
55,WI,LBR_1,LIB_1,STY_1,1088,4,39.52,9.86,18.36,22.14,10.12
56,WY,STY_1,LIB_1,CON_1,70,4,41.07,13.55,12.59,16.3,16.5
