district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,242.3062,43.5073,0.0,3
01-02,1,6,166.3266,40.6587,2.8861,2
02-01,2,2,72.5722,47.4771,20.613,0
04-01,4,7,357.8815,82.0942,0.0,1
04-02,4,7,347.3554,38.535,0.0,2
04-03,4,5,705.237,217.0619,0.0583,0
05-01,5,4,127.8166,51.6906,4.8401,2
05-02,5,4,113.2017,46.863,9.1988,1
06-01,6,7,564.4207,93.1122,0.0,3
06-02,6,7,169.2567,20.3698,0.0,3
06-03,6,7,148.1554,22.6598,0.0,2
06-04,6,7,364.385,76.7394,0.0,2
06-05,6,7,159.6237,27.7348,0.0,3
06-06,6,7,207.2018,26.2698,0.0,3
06-07,6,7,197.0244,62.0093,0.0,3
06-08,6,7,150.8066,20.8959,0.0,3
06-09,6,7,201.6016,31.5361,0.0,2
06-10,6,7,59.7684,6.7839,0.0,3
06-11,6,7,65.3434,10.6424,0.5272,4
06-12,6,7,4.9868,0.0,0.0,6
06-13,6,7,16.0213,1.0549,0.0,4
06-14,6,7,7.4103,0.0,0.0,5
06-15,6,6,2316.7064,565.5808,0.0,2
08-01,8,5,232.7668,54.3462,0.2825,1
08-02,8,5,223.8434,62.4802,0.0,1
08-03,8,5,51.1853,13.5531,1.4373,2
09-01,9,5,191.4789,66.7789,0.3051,2
09-02,9,4,108.4822,44.5395,4.1532,1
10-01,10,3,129.7108,56.4379,1.7107,0
11-01,11,2,73.8917,37.9193,24.5525,0
12-01,12,7,309.3334,72.6858,0.0,2
12-02,12,7,194.2073,26.3073,0.0,2
12-03,12,7,268.9267,62.088,0.0,2
12-04,12,7,312.8452,69.356,0.0,2
12-05,12,7,371.481,68.121,6.5707,2
12-06,12,7,224.4554,43.5111,2.1598,3
12-07,12,5,90.6758,31.7979,0.0,2
12-08,12,5,22.269,3.8009,1.038,4
12-09,12,5,1794.1941,631.4462,0.0,1
13-01,13,7,315.7647,73.6976,0.0,2
13-02,13,7,242.1974,44.5264,0.0,2
13-03,13,7,248.1352,42.4448,0.0,2
13-04,13,7,42.2466,4.3194,0.0,4
15-01,15,4,123.6799,34.1794,0.0,1
16-01,16,5,195.1591,54.9516,0.0,1
17-01,17,7,347.144,95.9062,0.0,2
17-02,17,7,76.3376,9.6011,0.0,2
17-03,17,7,168.2123,23.5348,0.0,4
17-04,17,7,224.0752,52.0593,0.0,1
17-05,17,6,71.6097,13.1233,0.0,2
18-01,18,7,307.9104,67.7261,0.0,2
18-02,18,6,218.6051,51.3619,0.8736,1
18-03,18,5,59.9261,23.0414,5.6414,2
19-01,19,4,161.6041,79.1903,0.0017,1
19-02,19,4,102.3247,31.2707,13.0335,2
20-01,20,4,112.7011,43.6486,0.5529,1
20-02,20,4,108.9208,31.8696,0.4226,1
21-01,21,7,244.2527,51.8042,0.0,2
21-02,21,5,167.5909,58.9805,4.9865,1
22-01,22,7,189.7716,49.7126,0.0,1
22-02,22,5,102.7448,24.5343,4.0443,1
23-01,23,4,148.6334,60.7928,0.0,0
24-01,24,6,226.7718,44.5125,0.0,3
24-02,24,5,137.3782,46.2617,2.354,1
