state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1,r1_pct_STY_1
1,AL,CON_1,NAT_1,CON_1,661,3,36.78,15.13,9.41,15.97,22.71
2,AK,LBR_1,STY_1,STY_1,105,4,24.96,23.42,16.67,12.54,22.41
4,AZ,CON_1,NAT_1,STY_1,1159,4,26.24,20.03,19.66,20.33,13.74
5,AR,CON_1,STY_1,STY_1,390,4,31.44,23.32,12.31,12.57,20.36
6,CA,LBR_1,LIB_1,LBR_1,3626,4,20.8,22.91,27.29,12.4,16.59
8,CO,CON_1,LBR_1,LBR_1,785,4,28.54,20.39,27.76,10.77,12.53
9,CT,CON_1,LBR_1,LBR_1,465,4,26.08,19.12,32.05,10.5,12.25
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.61,30.45,25.71,6.69,7.55
11,DC,LBR_1,STY_1,LBR_1,122,4,11.67,26.93,46.9,0.0,14.5
12,FL,CON_1,STY_1,STY_1,3350,4,33.62,21.43,14.47,9.76,20.71
13,GA,LBR_1,LIB_1,STY_1,1489,4,31.48,20.74,18.53,11.1,18.15
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.15,25.05,29.29,4.91,12.6
16,ID,CON_1,STY_1,CON_1,244,4,29.81,17.2,15.13,16.75,21.12
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.41,24.88,26.13,9.91,12.68
18,IN,CON_1,STY_1,CON_1,978,3,30.36,18.18,18.8,16.31,16.35
19,IA,CON_1,STY_1,STY_1,490,4,28.96,22.18,15.93,16.19,16.75
20,KS,CON_1,STY_1,STY_1,385,3,32.22,16.99,23.42,12.88,14.49
21,KY,CON_1,NAT_1,CON_1,674,3,36.79,17.94,13.15,15.67,16.45
22,LA,CON_1,STY_1,CON_1,493,4,31.11,18.79,13.79,17.93,18.38
23,ME,LIB_1,LBR_1,LBR_1,236,4,23.95,20.31,33.43,8.71,13.6
24,MD,LBR_1,LIB_1,LBR_1,791,4,23.34,25.85,27.59,8.94,14.28
25,MA,LIB_1,LBR_1,LBR_1,906,4,22.89,24.39,32.19,9.36,11.17
26,MI,CON_1,NAT_1,STY_1,1531,3,27.64,20.26,21.5,16.72,13.88
27,MN,LIB_1,LBR_1,LBR_1,811,4,24.33,16.69,35.31,11.21,12.46
28,MS,STY_1,LBR_1,STY_1,349,4,30.33,20.87,9.9,13.3,25.61
29,MO,CON_1,STY_1,STY_1,1047,4,30.58,22.43,15.35,13.8,17.84
30,MT,CON_1,NAT_1,CON_1,185,4,23.79,17.57,21.87,25.02,11.75
31,NE,LBR_1,STY_1,STY_1,286,4,30.64,23.46,15.1,11.56,19.24
32,NV,LBR_1,LIB_1,STY_1,573,4,28.88,20.71,22.64,13.19,14.58
33,NH,LBR_1,LIB_1,LBR_1,252,4,26.44,30.95,25.07,7.41,10.13
34,NJ,CON_1,LBR_1,LBR_1,1241,4,27.25,22.15,28.76,12.11,9.72
35,NM,LBR_1,LIB_1,LBR_1,309,4,29.5,31.74,20.57,7.87,10.31
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.11,25.75,25.85,9.58,15.72
37,NC,STY_1,LIB_1,STY_1,1444,4,30.32,17.53,20.64,14.31,17.2
38,ND,CON_1,STY_1,STY_1,90,4,35.98,22.58,18.46,4.42,18.55
39,OH,CON_1,STY_1,CON_1,1978,3,31.79,19.39,17.56,13.92,17.35
40,OK,CON_1,NAT_1,CON_1,537,4,33.31,11.13,13.84,19.44,22.27
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.24,21.73,35.24,17.5,7.29
42,PA,CON_1,LBR_1,LBR_1,2418,4,30.17,19.6,27.66,11.94,10.63
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.05,23.48,32.71,6.9,13.86
45,SC,CON_1,STY_1,STY_1,736,4,30.51,21.91,14.27,14.77,18.53
46,SD,CON_1,STY_1,STY_1,137,4,28.9,17.4,15.46,16.0,22.24
47,TN,CON_1,NAT_1,CON_1,1065,4,40.89,13.42,9.91,19.29,16.48
48,TX,CON_1,STY_1,STY_1,3392,4,32.07,21.17,13.29,11.92,21.55
49,UT,LBR_1,STY_1,STY_1,387,4,24.27,26.52,13.15,12.16,23.9
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.25,16.95,47.9,5.24,6.66
51,VA,LBR_1,LIB_1,STY_1,1234,4,27.69,23.09,23.1,12.94,13.18
53,WA,LIB_1,LBR_1,LBR_1,1112,4,20.44,25.81,31.11,12.14,10.49
54,WV,STY_1,LBR_1,STY_1,335,4,34.79,16.54,9.54,12.63,26.49
55,WI,LBR_1,LIB_1,STY_1,1088,4,30.26,22.36,22.68,12.47,12.23
56,WY,STY_1,LIB_1,STY_1,70,4,31.99,17.07,18.73,10.54,21.67
