winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,161.79,surplus
After_Retail,LBR_1,LBR_1,LBR_2,LBR_2,97.18,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,63.26,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,56.08,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,22.42,surplus
After_Retail,OAO_1,OAO_1,CUP_1,CUP_1,5.15,surplus
After_Retail,OAO_1,OAO_1,LIB_2,LIB_2,3.72,surplus
After_Retail,OAO_1,OAO_1,CON_3,CON_3,3.08,surplus
After_Retail,OAO_1,OAO_1,LBR_2,LBR_2,1.84,surplus
After_Retail,STY_1,STY_1,STY_2,STY_2,4.94,surplus
After_Retail,LBR_2,LBR_2,LBR_3,LBR_3,0.49,surplus
After_Retail,LBR_3,LBR_3,STY_2,STY_2,0.3,elimination
After_Retail,LBR_3,LBR_3,CUP_1,CUP_1,0.07,elimination
After_Retail,LBR_3,LBR_3,LIB_2,LIB_2,0.06,elimination
After_Retail,LBR_3,LBR_3,DSA_1,DSA_1,0.04,elimination
After_Retail,LBR_3,LBR_3,PRG_1,PRG_1,0.0,elimination
After_Retail,LBR_3,LBR_3,POP_1,POP_1,0.0,elimination
After_Retail,STY_2,STY_2,POP_1,POP_1,2.15,elimination
After_Retail,STY_2,STY_2,DSA_1,DSA_1,0.22,elimination
After_Retail,STY_2,STY_2,CUP_1,CUP_1,0.19,elimination
After_Retail,LIB_2,LIB_2,CUP_1,CUP_1,5.68,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,2.25,elimination
After_Retail,LIB_2,LIB_2,PRG_1,PRG_1,1.89,elimination
After_Retail,CUP_1,CUP_1,POP_1,POP_1,0.49,surplus
After_Retail,NAT_2,NAT_2,POP_1,POP_1,14.4,elimination
After_Pod_A,CON_1,CON_1,CON_2,CON_2,715.43,surplus
After_Pod_A,LBR_1,LBR_1,LBR_2,LBR_2,301.99,surplus
After_Pod_A,LIB_1,LIB_1,LBR_2,LBR_2,60.36,surplus
After_Pod_A,LIB_1,LIB_1,CUP_1,CUP_1,13.97,surplus
After_Pod_A,LIB_1,LIB_1,PRG_1,PRG_1,8.15,surplus
After_Pod_A,LIB_1,LIB_1,DSA_1,DSA_1,7.51,surplus
After_Pod_A,LIB_1,LIB_1,OAO_1,OAO_1,3.19,surplus
After_Pod_A,LIB_1,LIB_1,STY_1,STY_1,0.04,surplus
After_Pod_A,NAT_1,NAT_1,CON_2,CON_2,48.18,surplus
After_Pod_A,NAT_1,NAT_1,POP_1,POP_1,21.16,surplus
After_Pod_A,NAT_1,NAT_1,CUP_1,CUP_1,0.52,surplus
After_Pod_A,CON_2,CON_2,POP_1,POP_1,20.53,surplus
After_Pod_A,CON_2,CON_2,CUP_1,CUP_1,14.53,surplus
After_Pod_A,CON_2,CON_2,STY_1,STY_1,6.04,surplus
After_Pod_A,CON_2,CON_2,OAO_1,OAO_1,3.71,surplus
After_Pod_A,CON_2,CON_2,LBR_2,LBR_2,2.97,surplus
After_Pod_A,LBR_2,LBR_2,STY_1,STY_1,191.03,elimination
After_Pod_A,LBR_2,LBR_2,CUP_1,CUP_1,25.55,elimination
After_Pod_A,LBR_2,LBR_2,DSA_1,DSA_1,20.66,elimination
After_Pod_A,LBR_2,LBR_2,OAO_1,OAO_1,4.94,elimination
After_Pod_A,LBR_2,LBR_2,PRG_1,PRG_1,2.57,elimination
After_Pod_A,LBR_2,LBR_2,POP_1,POP_1,1.35,elimination
After_Pod_A,DSA_1,DSA_1,STY_1,STY_1,84.3,elimination
After_Pod_A,DSA_1,DSA_1,PRG_1,PRG_1,32.11,elimination
After_Pod_A,STY_1,STY_1,POP_1,POP_1,17.72,surplus
After_Pod_A,STY_1,STY_1,CUP_1,CUP_1,3.69,surplus
After_Pod_A,OAO_1,OAO_1,CUP_1,CUP_1,342.12,elimination
After_Pod_A,OAO_1,OAO_1,POP_1,POP_1,0.32,elimination
After_Pod_C,CON_1,CON_1,CON_2,CON_2,1152.28,surplus
After_Pod_C,LBR_1,LBR_1,STY_1,STY_1,367.71,surplus
After_Pod_C,LBR_1,LBR_1,LIB_1,LIB_1,94.28,surplus
After_Pod_C,LBR_1,LBR_1,CUP_1,CUP_1,57.57,surplus
After_Pod_C,LBR_1,LBR_1,CON_2,CON_2,18.43,surplus
After_Pod_C,LBR_1,LBR_1,PRG_1,PRG_1,5.11,surplus
After_Pod_C,LBR_1,LBR_1,POP_1,POP_1,2.27,surplus
After_Pod_C,LIB_1,LIB_1,CUP_1,CUP_1,42.34,surplus
After_Pod_C,LIB_1,LIB_1,PRG_1,PRG_1,13.89,surplus
After_Pod_C,LIB_1,LIB_1,STY_1,STY_1,0.04,surplus
After_Pod_C,POP_1,POP_1,STY_1,STY_1,607.25,elimination
After_Pod_C,POP_1,POP_1,CON_2,CON_2,216.33,elimination
After_Pod_C,POP_1,POP_1,CUP_1,CUP_1,103.77,elimination
After_Pod_C,POP_1,POP_1,NAT_1,NAT_1,52.63,elimination
After_Pod_C,STY_1,STY_1,CUP_1,CUP_1,13.8,surplus
After_Pod_C,STY_1,STY_1,CON_2,CON_2,7.45,surplus
After_Pod_BD,CON_1,CON_1,CON_2,CON_2,1930.63,surplus
