state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LIB,inc_LBR,inc_STY,inc_NAT,inc_PRG,inc_DSA,inc_CUP
1,AL,CON_1,CON,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.93,4.29,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.69,0.55,1.74,2.88,3.09,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,10.77,0.0,0.0,0.0,2.73,3.61,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.33,0.0,0.0,0.0,0.0,0.0,0.56,12.33,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.24,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.76,0.0
2,AK,STY_1,STY,9.97,0.0,0.0,5.0,0.0,0.81,0.0,0.0,0.0,4.45,0.0
4,AZ,CON_1,CON,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,9.85,1.24,2.35,0.0,0.0,0.0,1.99,0.0,0.0,0.0,1.26
4,AZ,LIB_1,LIB,9.76,0.0,1.2,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0
4,AZ,NAT_1,NAT,18.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.11,4.13,0.0,0.0,0.0,0.0,3.4,1.12,0.0,0.0,0.0
5,AR,CON_1,CON,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.29,1.24,3.91,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.04,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0
5,AR,NAT_1,NAT,12.32,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.49,2.42,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0
6,CA,CON_1,CON,13.51,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52
6,CA,LBR_1,LBR,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
6,CA,LIB_1,LIB,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
6,CA,NAT_1,NAT,11.36,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,9.22,0.72,0.0,7.18,0.0,1.61,0.0,0.0,0.0,0.0,2.5
8,CO,CON_1,CON,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
