respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
0,JR,CO,MW,ZN,LK,MRJ,RH,DH,BE
1,MW,CO,LK,JR,MRJ,ZN,RH,DH,BE
2,ZN,MW,JR,CO,MRJ,LK,RH,DH,BE
3,MW,MRJ,ZN,CO,JR,LK,RH,DH,BE
4,LK,MRJ,RH,MW,DH,CO,BE,ZN,JR
5,JR,CO,ZN,MW,MRJ,LK,RH,DH,BE
6,JR,CO,ZN,MW,MRJ,LK,RH,DH,BE
7,DH,BE,RH,CO,ZN,LK,MRJ,JR,MW
8,BE,DH,RH,MRJ,LK,MW,CO,ZN,JR
9,MRJ,MW,LK,CO,ZN,RH,DH,JR,BE
10,DH,MRJ,RH,BE,LK,MW,ZN,CO,JR
11,BE,DH,RH,LK,MRJ,CO,ZN,JR,MW
12,BE,RH,DH,LK,MRJ,MW,CO,ZN,JR
13,RH,DH,BE,MRJ,LK,MW,ZN,CO,JR
14,DH,RH,LK,BE,MRJ,MW,CO,ZN,JR
15,RH,BE,LK,DH,MW,MRJ,CO,JR,ZN
16,LK,RH,DH,MW,MRJ,BE,CO,ZN,JR
17,RH,LK,MW,MRJ,CO,DH,BE,JR,ZN
18,RH,LK,MRJ,MW,DH,CO,BE,ZN,JR
19,CO,JR,MW,ZN,LK,MRJ,BE,DH,RH
20,MW,MRJ,CO,LK,RH,ZN,JR,DH,BE
21,JR,ZN,CO,MW,MRJ,LK,DH,RH,BE
22,MRJ,DH,MW,ZN,RH,LK,CO,BE,JR
23,DH,BE,RH,LK,MRJ,ZN,CO,JR,MW
24,RH,MRJ,LK,DH,MW,BE,CO,ZN,JR
25,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
26,ZN,MW,JR,CO,MRJ,LK,RH,DH,BE
27,CO,MW,JR,ZN,MRJ,LK,DH,RH,BE
28,LK,RH,BE,DH,MW,MRJ,CO,JR,ZN
29,ZN,MRJ,MW,JR,CO,DH,LK,RH,BE
30,MRJ,DH,ZN,MW,RH,LK,BE,JR,CO
31,LK,CO,MW,RH,MRJ,JR,DH,ZN,BE
32,MW,CO,LK,JR,RH,MRJ,ZN,DH,BE
33,LK,CO,MW,RH,MRJ,JR,DH,BE,ZN
34,CO,MW,LK,JR,ZN,MRJ,RH,DH,BE
35,DH,RH,LK,BE,MRJ,MW,ZN,CO,JR
36,LK,CO,MW,RH,MRJ,JR,ZN,DH,BE
37,DH,MRJ,BE,LK,RH,MW,ZN,JR,CO
38,DH,BE,MRJ,RH,ZN,MW,LK,JR,CO
39,JR,ZN,CO,MW,MRJ,LK,DH,BE,RH
40,ZN,JR,MW,MRJ,CO,LK,RH,DH,BE
41,BE,RH,DH,LK,MRJ,MW,CO,JR,ZN
42,JR,MW,CO,ZN,MRJ,LK,RH,BE,DH
43,JR,CO,MW,ZN,MRJ,LK,DH,RH,BE
44,JR,CO,ZN,MW,MRJ,LK,DH,BE,RH
45,JR,ZN,MW,CO,MRJ,LK,RH,DH,BE
46,JR,CO,ZN,MW,MRJ,LK,BE,RH,DH
