diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
trajectories,After_Retail_Six,RH,CON,352.1077,16.9264,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MW,SD,312.7122,15.0326,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MRJ,STY,274.1984,13.1812,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,BE,NAT,215.176,10.3439,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CO,LIB,178.5562,8.5835,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,DH,REF,194.5729,9.3534,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,LK,CTR,325.6678,15.6554,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,JR,PRG,227.2372,10.9237,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,RH,CON,2328.71,19.5592,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MW,SD,1660.2961,13.9451,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MRJ,STY,1609.4827,13.5183,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CO,LIB,1207.5359,10.1423,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,DH,REF,1730.3099,14.5331,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,LK,CTR,1968.7346,16.5357,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,JR,PRG,1400.8994,11.7664,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,RH,CON,4057.2192,19.2418,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MW,SD,3579.2998,16.9752,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MRJ,STY,2733.0998,12.962,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
