winnowing_point,candidate_code,candidate_name,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size
After_Retail_Six,RH,CON,4.9204,0.2365,surviving,232.1365,2080.2284
After_Retail_Six,MW,SD,33.1545,1.5938,surviving,232.1365,2080.2284
After_Retail_Six,MRJ,STY,65.2164,3.1351,surviving,232.1365,2080.2284
After_Retail_Six,BE,NAT,5.1433,0.2472,surviving,232.1365,2080.2284
After_Retail_Six,CO,LIB,11.5178,0.5537,surviving,232.1365,2080.2284
After_Retail_Six,DH,REF,26.6527,1.2812,surviving,232.1365,2080.2284
After_Retail_Six,LK,CTR,1.6151,0.0776,surviving,232.1365,2080.2284
After_Retail_Six,ZN,DSA,0.0,0.0,eliminated_this_round,232.1365,2080.2284
After_Retail_Six,JR,PRG,74.9162,3.6013,surviving,232.1365,2080.2284
After_Pod_A,RH,CON,533.9295,4.4846,surviving,1489.2461,11905.9686
After_Pod_A,MW,SD,0.6309,0.0053,surviving,1489.2461,11905.9686
After_Pod_A,MRJ,STY,1.6239,0.0136,surviving,1489.2461,11905.9686
After_Pod_A,BE,NAT,0.0,0.0,eliminated_this_round,1489.2461,11905.9686
After_Pod_A,CO,LIB,33.0004,0.2772,surviving,1489.2461,11905.9686
After_Pod_A,DH,REF,888.1657,7.4598,surviving,1489.2461,11905.9686
After_Pod_A,LK,CTR,18.3839,0.1544,surviving,1489.2461,11905.9686
After_Pod_A,ZN,DSA,0.0,0.0,previously_eliminated,1489.2461,11905.9686
After_Pod_A,JR,PRG,5.5118,0.0463,surviving,1489.2461,11905.9686
After_Pod_C,RH,CON,3.2599,0.0155,surviving,3013.2141,21085.4989
After_Pod_C,MW,SD,998.1046,4.7336,surviving,3013.2141,21085.4989
After_Pod_C,MRJ,STY,169.6778,0.8047,surviving,3013.2141,21085.4989
After_Pod_C,BE,NAT,0.0,0.0,previously_eliminated,3013.2141,21085.4989
After_Pod_C,CO,LIB,1772.1438,8.4046,surviving,3013.2141,21085.4989
After_Pod_C,DH,REF,36.8354,0.1747,surviving,3013.2141,21085.4989
After_Pod_C,LK,CTR,26.1926,0.1242,surviving,3013.2141,21085.4989
After_Pod_C,ZN,DSA,0.0,0.0,previously_eliminated,3013.2141,21085.4989
After_Pod_C,JR,PRG,0.0,0.0,eliminated_this_round,3013.2141,21085.4989
After_Pod_BD,RH,CON,553.5088,1.213,surviving,7606.1904,45631.1423
After_Pod_BD,MW,SD,4312.6235,9.4511,surviving,7606.1904,45631.1423
After_Pod_BD,MRJ,STY,0.0,0.0,eliminated_this_round,7606.1904,45631.1423
After_Pod_BD,BE,NAT,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,CO,LIB,192.607,0.4221,surviving,7606.1904,45631.1423
After_Pod_BD,DH,REF,1521.1555,3.3336,surviving,7606.1904,45631.1423
After_Pod_BD,LK,CTR,1020.2956,2.236,surviving,7606.1904,45631.1423
After_Pod_BD,ZN,DSA,0.0,0.0,previously_eliminated,7606.1904,45631.1423
After_Pod_BD,JR,PRG,0.0,0.0,previously_eliminated,7606.1904,45631.1423
