state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,726.21,8,5,0.6547,1.4025,,15.2198,1.7844,,,,13.721
2,AK,SD,SD,pure,1,,130.64,8,5,5.8625,,,12.5091,2.6311,,,9.1955,0.0732
4,AZ,CON,CON,pure,0,,1160.11,9,5,4.5551,,,,0.0223,25.2971,0.0538,,3.0602
5,AR,CTR,CTR,pure,6,,412.18,9,5,8.8512,1.4179,,3.4146,,,17.3543,1.3249,
6,CA,STY,STY,pure,2,,3966.17,9,5,13.8745,0.4996,,0.1427,,0.8666,,,1.1572
8,CO,SD,SD,pure,1,,827.29,9,5,3.9279,,,0.1337,,0.1186,11.3153,0.5666,
9,CT,SD,SD,pure,1,,484.15,9,5,0.0116,0.1777,,11.2814,,,0.1342,4.029,
10,DE,CTR,CTR,pure,6,,216.95,9,5,0.0379,1.2465,,8.7431,,,0.1431,4.1913,
11,DC,LIB,LIB,pure,4,,117.36,8,5,,12.3923,6.5945,1.2934,,6.5221,,3.1227,
12,FL,CTR,CTR,pure,6,,3184.13,9,5,0.1678,2.1621,,,0.0514,,,13.1596,0.9687
13,GA,CTR,CTR,pure,6,,1472.39,9,5,0.0812,1.8029,,,,,0.1001,13.9294,0.4134
15,HI,SD,SD,pure,1,,203.15,9,5,0.0029,0.0387,,3.6219,,,0.0066,10.5354,
16,ID,CON,CON,pure,0,,325.33,9,5,0.8838,5.9196,8.2748,,0.0056,,0.046,,
17,IL,SD,SD,pure,1,,1460.33,9,5,0.3921,2.8105,,,,3.1935,1.3319,8.5962,
18,IN,CTR,CTR,pure,6,,994.99,9,5,3.9786,1.811,,,5.9278,1.9313,,2.5153,
19,IA,CTR,CTR,pure,6,,446.79,9,5,8.9737,2.694,3.9298,0.8111,16.0296,,,,
20,KS,CTR,CTR,pure,6,,372.7,9,5,2.1277,11.5452,,10.8613,2.114,,,,5.6118
21,KY,CON,CON,pure,0,,717.93,9,5,0.8725,1.8959,,,0.9688,,13.797,15.242,
22,LA,CON,CON,pure,0,,508.41,9,5,6.3564,0.0417,,,,,8.4342,0.7573,0.0937
23,ME,SD,SD,pure,1,,243.16,9,5,0.0333,0.7502,,24.9121,,,0.0363,5.9565,
24,MD,SD,SD,pure,1,,782.14,9,5,0.0604,2.1098,,,,5.5393,0.1109,8.2071,
25,MA,SD,SD,pure,1,,790.97,9,5,6.2562,,,2.7008,,0.4231,0.6566,5.9979,
26,MI,CTR,CTR,pure,6,,1329.58,9,5,4.9642,0.4778,,,,0.0919,10.5939,0.1628,
27,MN,CTR,CTR,pure,6,,714.01,9,5,1.587,1.8115,,7.7622,,3.9076,0.898,,
28,MS,CON,CON,pure,0,,444.25,8,5,0.3042,5.9426,,,,,0.7096,7.8218,0.7629
29,MO,CON,CON,pure,0,,950.73,9,5,0.8298,0.742,,,0.2735,,,14.4703,16.5969
30,MT,CON,CON,pure,0,,257.38,9,5,0.4934,,,12.0319,0.3921,,0.2442,,1.5624
31,NE,CTR,CTR,pure,6,,295.91,9,5,0.8293,1.0119,,24.2883,2.1461,,,,20.7106
32,NV,SD,SD,pure,1,,707.53,9,5,9.1693,,,,,16.2344,0.7214,6.5173,0.1256
33,NH,CTR,CTR,pure,6,,264.7,9,5,13.0026,0.2795,0.08,0.1039,,,,1.3118,
34,NJ,CTR,CTR,pure,6,,1162.21,9,5,0.0132,0.0331,,10.4285,,,0.0889,5.6727,
35,NM,CTR,CTR,pure,6,,415.1,9,5,13.7328,0.7645,0.1363,0.0019,,,,0.8266,
36,NY,STY,STY,pure,2,,2314.44,9,5,12.5308,0.3997,,0.0248,,0.0777,,,3.4176
37,NC,CTR,CTR,pure,6,,1455.35,9,5,3.7141,0.3383,,,,0.9518,11.1368,0.1821,
38,ND,CTR,CTR,pure,6,,112.02,9,5,1.1548,0.3737,,,0.0929,,14.5105,13.6306,
39,OH,CTR,CTR,pure,6,,1727.15,9,5,6.931,0.2531,,0.9982,,,7.9367,0.2581,
40,OK,CTR,CTR,pure,6,,606.2,8,5,1.4971,1.1817,,,0.5048,,13.6141,15.8757,
41,OR,SD,SD,pure,1,,861.73,9,5,1.0073,,,12.8767,0.7973,8.4325,,9.7554,
42,PA,CTR,CTR,pure,6,,2189.53,9,5,4.3396,1.6647,,,0.4484,1.0052,,8.9804,
44,RI,SD,SD,pure,1,,163.32,9,5,,3.0427,,0.8464,,15.6683,27.3617,1.244,
45,SC,CON,CON,pure,0,,730.29,9,5,0.2188,0.9622,,3.1719,1.0878,,,10.5413,
46,SD,CTR,CTR,pure,6,,141.48,9,5,0.1243,1.395,,23.5011,1.7393,,,,3.7464
47,TN,CON,CON,pure,0,,1143.42,9,5,4.9525,0.8581,,0.1962,6.464,,,,3.7586
48,TX,CTR,CTR,pure,6,,3555.07,8,5,0.0694,0.1283,,,0.0323,,,10.4641,5.8318
49,UT,SD,SD,pure,1,,462.14,9,5,0.1544,3.5916,18.1631,,,,0.2136,10.345,
50,VT,SD,SD,pure,1,,107.67,9,5,21.0311,2.1423,,3.3442,,1.4861,,1.6145,
51,VA,SD,SD,pure,1,,1326.72,9,5,0.0211,0.235,,10.6859,0.3221,,,5.0257,
53,WA,SD,SD,pure,1,,1221.78,9,5,,6.8439,,0.2605,,0.0595,7.6133,1.4803,
54,WV,CON,CON,pure,0,,360.26,8,5,0.0598,1.7295,,,0.1846,,,11.9171,1.3879
55,WI,CTR,CTR,pure,6,,969.41,9,5,4.0532,0.1333,,,,0.1685,11.6974,0.0984,
56,WY,CON,CON,pure,0,,98.3,7,5,0.2298,0.8911,,,0.0408,,5.2767,5.1416,
