state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,CTR,CTR,pure,6,,4,726.21,8,5,0.1,0.0661,,2.8617,0.4985,,,,13.1404
2,AK,SD,SD,pure,1,,STY,STY,pure,2,,3,130.64,8,5,0.044,0.0398,,,0.1496,,,16.1367,0.2967
4,AZ,LIB,LIB,pure,4,,CON,CON,pure,0,,4,1160.11,9,5,0.0011,,,15.5753,0.0176,,0.0493,,1.0233
5,AR,CON,CON,pure,0,,CTR,CTR,pure,6,,4,412.18,9,5,7.5234,0.1465,,0.8528,,,7.9598,0.1842,
6,CA,LIB,LIB,pure,4,,STY,STY,pure,2,,4,3966.17,9,5,13.9464,0.5167,,0.1465,,0.8904,,,1.1667
8,CO,CON,CON,pure,0,,REF,REF,pure,5,,4,827.29,9,5,4.0238,,,0.166,,0.1418,11.6476,0.6874,
9,CT,SD,SD,pure,1,,LIB,LIB,pure,4,,4,484.15,9,5,0.0055,0.0404,,12.2264,,,0.2032,4.1912,
10,DE,CTR,CTR,pure,6,,REF,REF,pure,5,,4,216.95,9,5,1.1181,2.0066,,5.0729,,,1.8709,6.5981,
11,DC,PRG,PRG,pure,9,,LIB,LIB,pure,4,,4,117.36,8,5,,13.1753,0.8062,0.2973,,0.8938,,1.4941,
12,FL,CON,CON,pure,0,,CTR,CTR,pure,6,,4,3184.13,9,5,0.1746,2.1754,,,0.0562,,,13.2681,0.9924
13,GA,SD,SD,pure,1,,STY,STY,pure,2,,4,1472.39,9,5,0.092,1.8126,,,,,0.1165,14.1684,0.4771
15,HI,SD,SD,pure,1,,LIB,LIB,pure,4,,4,203.15,9,5,0.0115,0.1384,,5.4662,,,0.0042,11.0464,
16,ID,CTR,CTR,pure,6,,DSA,DSA,pure,8,,4,325.33,9,5,0.9844,6.8293,8.7298,,0.017,,0.1062,,
17,IL,SD,SD,pure,1,,CTR,CTR,pure,6,,4,1460.33,9,5,0.4274,2.8368,,,,3.2534,1.4762,8.6728,
18,IN,CON,CON,pure,0,,NAT,NAT,pure,3,,4,994.99,9,5,4.031,1.8772,,,6.0958,2.0169,,2.6457,
19,IA,CON,CON,pure,0,,CTR,CTR,pure,6,,4,446.79,9,5,8.1253,2.7954,2.5548,0.7551,2.436,,,,
20,KS,CON,CON,pure,0,,NAT,NAT,pure,3,,4,372.7,9,5,0.0091,0.0112,,11.3161,0.0152,,,,5.3151
21,KY,CON,CON,pure,0,,NAT,NAT,pure,3,,4,717.93,9,5,0.0256,1.6883,,,0.0129,,0.1583,14.7816,
22,LA,CON,CON,pure,0,,REF,REF,pure,5,,4,508.41,9,5,6.4747,0.0762,,,,,8.8998,0.8972,0.3187
23,ME,LIB,LIB,pure,4,,CTR,CTR,pure,6,,4,243.16,9,5,0.0298,0.1473,,10.7851,,,0.0447,5.6598,
24,MD,SD,SD,pure,1,,CTR,CTR,pure,6,,4,782.14,9,5,0.0959,2.4355,,,,5.7063,0.129,8.3001,
25,MA,SD,SD,pure,1,,PRG,PRG,pure,9,,4,790.97,9,5,6.3245,,,2.782,,0.4745,0.8888,6.1969,
26,MI,CON,CON,pure,0,,REF,REF,pure,5,,4,1329.58,9,5,5.0259,0.5495,,,,0.1026,10.7908,0.1979,
27,MN,LIB,LIB,pure,4,,PRG,PRG,pure,9,,4,714.01,9,5,1.6907,1.9773,,8.0702,,3.9859,0.9425,,
28,MS,SD,SD,pure,1,,STY,STY,pure,2,,4,444.25,8,5,0.444,6.38,,,,,0.9498,8.0543,0.8386
29,MO,CON,CON,pure,0,,NAT,NAT,pure,3,,4,950.73,9,5,0.013,0.0225,,,0.0378,,,12.7769,3.8164
30,MT,CON,CON,pure,0,,NAT,NAT,pure,3,,4,257.38,9,5,0.9863,,,12.6182,0.7874,,0.4592,,1.8156
31,NE,CON,CON,pure,0,,STY,STY,pure,2,,4,295.91,9,5,0.0097,0.0098,,8.6904,0.1546,,,,7.8023
32,NV,SD,SD,pure,1,,STY,STY,pure,2,,3,707.53,9,5,9.358,,,,,0.0901,0.7163,6.3414,0.1608
33,NH,LIB,LIB,pure,4,,CTR,CTR,pure,6,,4,264.7,9,5,13.4492,0.518,0.1781,0.272,,,,2.2493,
34,NJ,LIB,LIB,pure,4,,SD,SD,pure,1,,4,1162.21,9,5,0.0173,0.0535,,10.728,,,0.0969,5.771,
35,NM,SD,SD,pure,1,,CTR,CTR,pure,6,,4,415.1,9,5,13.9728,0.8303,0.8897,0.0329,,,,0.941,
36,NY,LIB,LIB,pure,4,,STY,STY,pure,2,,4,2314.44,9,5,12.5907,0.4089,,0.0288,,0.0871,,,3.5512
37,NC,CON,CON,pure,0,,REF,REF,pure,5,,4,1455.35,9,5,3.7564,0.3732,,,,1.0235,11.3033,0.2102,
38,ND,CON,CON,pure,0,,CTR,CTR,pure,6,,4,112.02,9,5,0.0833,0.7692,,,0.014,,0.4651,15.335,
39,OH,CON,CON,pure,0,,CTR,CTR,pure,6,,4,1727.15,9,5,6.9686,0.2673,,1.0542,,,8.0811,0.2955,
40,OK,CTR,CTR,pure,6,,SD,SD,pure,1,,4,606.2,8,5,0.0516,0.3208,,,0.023,,0.4304,15.8409,
41,OR,SD,SD,pure,1,,PRG,PRG,pure,9,,4,861.73,9,5,0.095,,,0.4127,0.3998,7.6148,,8.1444,
42,PA,SD,SD,pure,1,,PRG,PRG,pure,9,,4,2189.53,9,5,4.3859,1.8092,,,0.3973,1.0716,,9.0027,
44,RI,LIB,LIB,pure,4,,CTR,CTR,pure,6,,4,163.32,9,5,,3.7574,,0.0063,,0.4734,11.2489,1.1807,
45,SC,CON,CON,pure,0,,NAT,NAT,pure,3,,4,730.29,9,5,0.2807,1.1029,,3.4798,1.1775,,,10.6258,
46,SD,CTR,CTR,pure,6,,LIB,LIB,pure,4,,4,141.48,9,5,0.0886,0.2084,,10.763,1.6634,,,,3.9433
47,TN,CON,CON,pure,0,,NAT,NAT,pure,3,,4,1143.42,9,5,5.0134,0.9059,,0.2331,6.5657,,,,3.9486
48,TX,SD,SD,pure,1,,CTR,CTR,pure,6,,4,3555.07,8,5,0.0751,0.1339,,,0.0406,,,10.4965,5.9205
49,UT,SD,SD,pure,1,,LIB,LIB,pure,4,,3,462.14,9,5,0.013,0.0307,,2.9499,,,0.0783,13.5948,
50,VT,SD,SD,pure,1,,PRG,PRG,pure,9,,4,107.67,9,5,11.7704,0.4529,,1.273,,1.4248,,1.7455,
51,VA,SD,SD,pure,1,,LIB,LIB,pure,4,,4,1326.72,9,5,0.0307,0.3004,,10.8869,0.3543,,,5.0944,
53,WA,SD,SD,pure,1,,PRG,PRG,pure,9,,4,1221.78,9,5,,7.0782,,0.3152,,0.0761,7.6885,1.5087,
54,WV,CON,CON,pure,0,,NAT,NAT,pure,3,,3,360.26,8,5,0.1066,1.865,,,0.2818,,,12.4481,1.9651
55,WI,CON,CON,pure,0,,REF,REF,pure,5,,4,969.41,9,5,4.1711,0.1649,,,,0.1911,12.0214,0.1182,
56,WY,CON,CON,pure,0,,REF,REF,pure,5,,4,98.3,7,5,0.4076,0.6957,,,0.1972,,6.1756,9.1906,
