candidate_a,candidate_b,euclidean_dist
CON,CON,0.0
CON,SD,1.6514
CON,STY,1.4815
CON,NAT,1.226
CON,LIB,2.0738
CON,POP,1.1567
CON,CUP,1.0644
CON,DSA,2.5821
CON,PRG,2.646
CON,SD/STY,1.5272
CON,CON/CUP,0.4044
CON,CON/SD,0.7431
CON,CON/STY,0.6223
CON,STY/POP,1.1831
CON,SD/CON,0.8587
CON,STY/SD,1.4878
CON,POP/STY,1.1267
CON,CON/POP,0.3586
CON,SD/LIB,1.8237
CON,SD/CUP,1.2711
CON,CON/NAT,0.6007
CON,LIB/CUP,1.6185
CON,STY/CON,0.8444
SD,CON,1.6514
SD,SD,0.0
SD,STY,0.9949
SD,NAT,2.5633
SD,LIB,0.8303
SD,POP,1.9372
SD,CUP,1.3179
SD,DSA,1.0844
SD,PRG,1.1614
SD,SD/STY,0.3283
SD,CON/CUP,1.4436
SD,CON/SD,0.9083
SD,CON/STY,1.2094
SD,STY/POP,1.3504
SD,SD/CON,0.7927
SD,STY/SD,0.4974
SD,POP/STY,1.5313
SD,CON/POP,1.661
SD,SD/LIB,0.4069
SD,SD/CUP,0.5667
SD,CON/NAT,2.0579
SD,LIB/CUP,0.8333
SD,STY/CON,1.0949
STY,CON,1.4815
STY,SD,0.9949
STY,STY,0.0
STY,NAT,2.0313
STY,LIB,1.743
STY,POP,1.2861
STY,CUP,1.6694
STY,DSA,1.3134
STY,PRG,1.9002
STY,SD/STY,0.6666
STY,CON/CUP,1.4672
STY,CON/SD,0.9888
STY,CON/STY,0.8592
STY,STY/POP,0.5787
STY,SD/CON,0.9421
STY,STY/SD,0.4975
STY,POP/STY,0.8102
STY,CON/POP,1.3195
STY,SD/LIB,1.3495
STY,SD/CUP,1.1562
STY,CON/NAT,1.663
STY,LIB/CUP,1.5886
STY,STY/CON,0.637
NAT,CON,1.226
NAT,SD,2.5633
NAT,STY,2.0313
NAT,NAT,0.0
NAT,LIB,3.0795
NAT,POP,0.8728
NAT,CUP,2.0109
NAT,DSA,3.2626
NAT,PRG,3.4751
NAT,SD/STY,2.3548
NAT,CON/CUP,1.4837
NAT,CON/SD,1.7631
NAT,CON/STY,1.4388
NAT,STY/POP,1.4842
NAT,SD/CON,1.8594
NAT,STY/SD,2.2585
NAT,POP/STY,1.2732
NAT,CON/POP,0.9935
NAT,SD/LIB,2.7975
NAT,SD/CUP,2.2491
NAT,CON/NAT,0.6253
NAT,LIB/CUP,2.6256
NAT,STY/CON,1.5685
LIB,CON,2.0738
LIB,SD,0.8303
LIB,STY,1.743
LIB,NAT,3.0795
LIB,LIB,0.0
LIB,POP,2.5883
LIB,CUP,1.3133
LIB,DSA,1.5167
LIB,PRG,0.8176
LIB,SD/STY,1.1161
LIB,CON/CUP,1.7479
LIB,CON/SD,1.4144
LIB,CON/STY,1.7987
LIB,STY/POP,2.0679
LIB,SD/CON,1.3199
LIB,STY/SD,1.2713
LIB,POP/STY,2.2269
LIB,CON/POP,2.1813
LIB,SD/LIB,0.4235
LIB,SD/CUP,0.842
LIB,CON/NAT,2.5426
LIB,LIB/CUP,0.5253
LIB,STY/CON,1.7444
POP,CON,1.1567
POP,SD,1.9372
POP,STY,1.2861
POP,NAT,0.8728
POP,LIB,2.5883
POP,POP,0.0
POP,CUP,1.8424
POP,DSA,2.4845
POP,PRG,2.8785
POP,SD/STY,1.6856
POP,CON/CUP,1.361
POP,CON/SD,1.3228
POP,CON/STY,0.9675
POP,STY/POP,0.7074
POP,SD/CON,1.3831
POP,STY/SD,1.5672
POP,POP/STY,0.4759
POP,CON/POP,0.7981
POP,SD/LIB,2.2415
POP,SD/CUP,1.7813
POP,CON/NAT,0.8246
POP,LIB/CUP,2.2278
POP,STY/CON,0.99
CUP,CON,1.0644
CUP,SD,1.3179
CUP,STY,1.6694
CUP,NAT,2.0109
CUP,LIB,1.3133
CUP,POP,1.8424
CUP,CUP,0.0
CUP,DSA,2.3171
CUP,PRG,1.9203
CUP,SD/STY,1.3654
CUP,CON/CUP,0.66
CUP,CON/SD,0.8542
CUP,CON/STY,1.1371
