state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CUP_pct,finalist_CON/LBR_pct,finalist_CON/NAT_pct,finalist_CON/POP_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CUP/LBR_pct,finalist_CUP_pct,finalist_DSA/PRG_pct,finalist_DSA_pct,finalist_LBR/CON_pct,finalist_LBR/DSA_pct,finalist_LBR/LIB_pct,finalist_LBR/STY_pct,finalist_LBR_pct,finalist_LIB/LBR_pct,finalist_LIB/PRG_pct,finalist_LIB_pct,finalist_NAT/POP_pct,finalist_NAT_pct,finalist_OAO/LIB_pct,finalist_OAO_pct,finalist_POP/CON_pct,finalist_POP/CUP_pct,finalist_POP/NAT_pct,finalist_POP/STY_pct,finalist_POP_pct,finalist_PRG/DSA_pct,finalist_PRG_pct,finalist_STY/CON_pct,finalist_STY/LBR_pct,finalist_STY/POP_pct,finalist_STY_pct
1,AL,CON/STY,CON/STY,wildcard,0,2.0,726.21,15,5,0.6935,,0.1415,,4.7219,,,3.0409,,7.3804,,,,,,,,,,,,,,,,,,,,,,,
2,AK,CUP,CUP,pure,6,,130.64,13,5,,,1.7076,,,,,0.3816,,,,,2.144,,9.7559,,,,,16.2824,,,,,,,,,,,,,
4,AZ,STY/LBR,STY/LBR,cooc,2,1.0,1160.11,15,5,,,,,,0.0199,,,,,,,,,,,,10.6329,0.1194,,,,,,,,0.3901,,,,5.0734,,
5,AR,CON/STY,CON/STY,cooc,0,2.0,412.18,16,5,5.4261,,0.1443,,1.8531,,,,,,,,,0.8247,,,,7.2054,,,,,,,,,,,,,,,
6,CA,LBR/STY,LBR/STY,cooc,1,2.0,3966.17,15,5,,,,,,,,0.2761,,,,,,1.5637,,,,13.5058,,,,,,,0.249,,,,,,,,0.9459
8,CO,LBR,LBR,pure,1,,827.29,15,5,,,,,,7.6316,,,,,,,,,2.2873,,0.1507,0.9438,,5.049,,,,,,,,,,,,,
9,CT,LBR/STY,LBR/STY,cooc,1,2.0,484.15,15,5,,,,0.509,,,,0.0774,,,,,,1.0138,,,13.3699,,,,,,,,,,,,,,,,0.6638
10,DE,LBR/CON,LBR/CON,wildcard,1,0.0,216.95,15,5,,,,13.7774,,,,,,,0.9115,,,,3.4628,,,12.0563,,,1.2816,,,,,,,,,,,,
11,DC,LBR/LIB,LBR/LIB,cooc,1,4.0,117.36,14,5,,,,,,,,0.0619,,,,,1.1205,,,,,0.0849,,,,,,,,,,,12.5962,,,16.0615,
12,FL,CON/CUP,CON/CUP,cooc,0,6.0,3184.13,16,5,0.2937,,0.0817,,,,,4.2489,,,,,,,11.3836,,,,,,,,,,,,,,,,,,0.5018
13,GA,CON/CUP,CON/CUP,cooc,0,6.0,1472.39,15,5,0.6593,,2.2212,,,,,0.5237,,,,,,,,,,0.667,,,,,,,,,,,,,12.2559,,
15,HI,LBR/STY,LBR/STY,cooc,1,2.0,203.15,15,5,,,,,,1.5518,,,,,,,4.313,6.3717,,,,,,,,6.6658,,,,,12.4621,,,,,,
16,ID,POP/CUP,POP/CUP,cooc,5,6.0,325.33,14,5,,,,1.726,,,,7.1099,,22.4182,,,,,,,,,,0.3138,,,,0.5359,,,,,,,,,
17,IL,LBR,LBR,pure,1,,1460.33,16,5,,,,,,1.9815,,6.7068,,,,,,,7.0309,,,,,,,,,,,,0.1092,,0.4959,,,,
18,IN,CON/CUP,CON/CUP,cooc,0,6.0,994.99,15,5,7.8869,,0.4136,0.3487,,,,,,,,,,3.4381,,,,4.0768,,,,,,,,,,,,,,,
19,IA,CUP,CUP,pure,6,,446.79,15,5,,,0.2433,1.2375,,,,7.043,,,,,,,,,,4.7415,,,,,,,,,,,,,,,2.2823
20,KS,CON/CUP,CON/CUP,cooc,0,6.0,372.7,14,5,0.1389,,,0.0428,,,,,,,,,,,12.5318,1.5093,,,,1.1023,,,,,,,,,,,,,
21,KY,CON/POP,CON/POP,cooc,0,5.0,717.93,14,5,,,5.406,4.5032,,,,1.2719,,,,,0.1797,,,,,,,,,,,,,,,,,,,,4.6094
22,LA,CON/POP,CON/POP,cooc,0,5.0,508.41,13,5,,,,3.0268,,,10.102,,,,,,,,0.2849,,,,,0.825,,,,,,,,,,,,1.4444,
23,ME,OAO,OAO,pure,7,,243.16,16,5,,,,,,,,,,,,,,,,,,1.5975,,,,20.1235,7.7142,,,1.4262,,,0.8269,,,,
24,MD,LBR/LIB,LBR/LIB,cooc,1,4.0,782.14,15,5,,,,11.5063,,,,,,,,,0.4712,,,,,,,,,0.1967,,,,,,,0.9782,,,,2.875
25,MA,LBR/CON,LBR/CON,wildcard,1,0.0,790.97,17,5,,,,0.8412,,,,,,,5.2663,,,,,,3.1827,,,,,0.4623,,,,,,,6.2821,,,,
26,MI,CON/CUP,CON/CUP,cooc,0,6.0,1329.58,14,5,0.7749,,,,,0.8167,,,,,,,,,6.2762,,,22.7492,,2.4155,,,,,,,,,,,,,
27,MN,LBR,LBR,pure,1,,714.01,15,5,,,,,,0.1887,,,,,,,,,1.57,,13.5899,,,,,0.1907,,,,,0.4271,,,,,,
28,MS,CON/CUP,CON/CUP,cooc,0,6.0,444.25,14,5,1.1373,,8.4496,,,,,,,,,,,,1.8937,,,,,,,0.1058,,,,,,,,,,,3.9548
29,MO,CON/CUP,CON/CUP,cooc,0,6.0,950.73,15,5,0.107,,,,,0.1186,,,,,,,,,,,,7.2752,,0.2271,,,,,,,,,,,,,8.4129
30,MT,CON,CON,pure,0,,257.38,14,5,,,15.5831,,,14.0701,,,,,,,,,2.4938,,,3.679,,,,,,,,,,,,,,13.0084,
31,NE,CON/LBR,CON/LBR,wildcard,0,1.0,295.91,15,5,,0.1286,,,,,,0.3257,,,,,,,,,,8.0072,,0.2691,,,,,,,,,,,,,6.2463
32,NV,LBR/STY,LBR/STY,cooc,1,2.0,707.53,16,5,,,,,,1.4269,,,,,,,13.1425,0.3957,,,,,,0.1146,,,,,,,,,,,,0.8804,
33,NH,LBR/LIB,LBR/LIB,cooc,1,4.0,264.7,16,5,,,,,,10.9192,,1.8217,0.7014,,,,0.0806,,,,,,,,,1.2548,,,,,,,,,,,
34,NJ,CON/LBR,CON/LBR,wildcard,0,1.0,1162.21,17,5,,8.1318,,0.4499,,,,,,,,0.9591,,,,,,7.7125,,,,,,,,,15.7359,,,,,,
35,NM,LBR/CON,LBR/CON,wildcard,1,0.0,415.1,16,5,,,0.2502,,,,,0.0865,,,0.5927,,,,10.9922,,,3.5405,,,,,,,,,,,,,,,
36,NY,LBR/LIB,LBR/LIB,cooc,1,4.0,2314.44,16,5,,,0.9636,,,,,6.4469,,,,,6.1222,,,,,,,,,,,,,,,,0.1339,,,,2.7841
37,NC,STY/LBR,STY/LBR,cooc,2,1.0,1455.35,16,5,,,1.0854,,,,,8.3999,,,,,,,,,,,,0.2402,,,,,,,,,0.5806,,6.017,,
38,ND,POP/CUP,POP/CUP,cooc,5,6.0,112.02,16,5,10.1523,,,,,,,0.4548,,,,,,,1.8086,,,,,,,0.0593,,17.2875,,,,,,,,,
39,OH,CON/CUP,CON/CUP,cooc,0,6.0,1727.15,14,5,1.3668,,5.6904,,,,,1.3503,,,,,1.217,,,,,,,,,,,,,,,,,,,,6.7527
40,OK,CON,CON,pure,0,,606.2,15,5,,,10.9239,,,0.9627,,0.5257,,,,,0.2291,,,,,,,,,,,,,,,,,,,3.2005,
41,OR,LBR,LBR,pure,1,,861.73,15,5,,,,,,,,13.9659,,,,,,,3.098,,,1.6822,13.5129,,,,,,,,,,0.6101,,,,
42,PA,CON/LBR,CON/LBR,wildcard,0,1.0,2189.53,17,5,,1.6807,11.2293,,,,,,,,,,,0.6868,,,,,,,,2.3693,,,,,,,0.4722,,,,
44,RI,LBR/CON,LBR/CON,cooc,1,0.0,163.32,16,5,,,,0.9784,,,,,,,2.1072,16.672,,,,,,27.464,,,,0.9415,,,,,,,,,,,
45,SC,CON/CUP,CON/CUP,cooc,0,6.0,730.29,15,5,2.9769,,,11.3127,,,,0.2724,,,,,,,,,,0.1111,,,,,,,,,,,,,,,1.3089
46,SD,CON/STY,CON/STY,wildcard,0,2.0,141.48,16,5,,,0.4899,,1.6593,,,3.7847,,,,7.1091,,,,,,,,,,17.463,,,,,,,,,,,
47,TN,CON/CUP,CON/CUP,cooc,0,6.0,1143.42,13,5,0.7547,,0.5425,,4.9602,,,1.5156,,,,,,,8.4564,,,,,,,,,,,,,,,,,,
48,TX,STY/CON,STY/CON,wildcard,2,0.0,3555.07,16,5,10.3753,,,,,,,1.2109,,,,,,,,,,0.122,,,,,,,,,,,,4.4417,0.3761,,
49,UT,STY/LBR,STY/LBR,cooc,2,1.0,462.14,14,5,5.5745,,,,,,,0.6948,,,,,,,,,,0.0946,,,,,,,,,,,,,0.4649,8.7559,
50,VT,LIB,LIB,pure,4,,107.67,15,5,,,,,,8.8095,,,,,,,,,,,,3.2716,,,,17.4286,,,,,,0.1066,0.002,,,,
51,VA,CON/LBR,CON/LBR,wildcard,0,1.0,1326.72,16,5,,6.7628,3.7146,,,,,0.1751,,,,,3.9838,,,,,,,,,,,,,,,,1.6535,,,,
53,WA,LBR,LBR,pure,1,,1221.78,16,5,,,,,,,,,,,,,,,3.6125,,,2.7858,,,,17.632,,,8.5338,,,,0.4418,,,,
54,WV,CON/CUP,CON/CUP,cooc,0,6.0,360.26,16,5,8.4426,,0.0472,,,,,,,,,,,,6.4313,,,,,,,,,0.1642,,,,,,,,,0.1934
55,WI,CON,CON,pure,0,,969.41,16,5,,,,,,9.6327,,0.6518,,,,,,,0.5419,,,0.4131,,,,,,,,,4.9113,,,,,,
56,WY,CON/CUP,CON/CUP,cooc,0,6.0,98.3,14,5,8.3611,,1.8927,,,,,,,,,,6.3806,,,,,,,,,,,,,1.051,,,,,11.5787,,
