group,seats,LawOrd,ElecDis,GovtDis,ReligSC,CultTrad,scenario
CHAMBER,51,-0.027,0.169,0.064,0.008,-0.005,Condorcet
CON,19,0.368,-0.032,0.071,0.107,0.18,Condorcet
SD,18,-0.295,0.051,0.084,-0.174,-0.364,Condorcet
STY,11,-0.288,0.554,0.071,0.094,0.061,Condorcet
POP,3,0.042,0.734,-0.122,0.151,0.731,Condorcet
CHAMBER,51,0.013,0.081,0.063,-0.019,-0.043,IRV
CON,22,0.439,0.04,0.066,0.139,0.297,IRV
SD,19,-0.35,-0.003,0.075,-0.215,-0.452,IRV
STY,8,-0.298,0.417,0.081,0.006,-0.074,IRV
LIB,1,-0.171,-0.773,-0.121,-0.142,-0.554,IRV
POP,1,0.202,0.759,-0.206,0.147,0.99,IRV
