state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CUP_pct,finalist_CON/LBR_pct,finalist_CON/NAT_pct,finalist_CON/POP_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CUP/LBR_pct,finalist_CUP_pct,finalist_DSA/PRG_pct,finalist_DSA_pct,finalist_LBR/CON_pct,finalist_LBR/DSA_pct,finalist_LBR/LIB_pct,finalist_LBR/STY_pct,finalist_LBR_pct,finalist_LIB/LBR_pct,finalist_LIB/PRG_pct,finalist_LIB_pct,finalist_NAT/POP_pct,finalist_NAT_pct,finalist_OAO/LIB_pct,finalist_OAO_pct,finalist_POP/CON_pct,finalist_POP/CUP_pct,finalist_POP/NAT_pct,finalist_POP/STY_pct,finalist_POP_pct,finalist_PRG/DSA_pct,finalist_PRG_pct,finalist_STY/CON_pct,finalist_STY/LBR_pct,finalist_STY/POP_pct,finalist_STY_pct
1,AL,CON/STY,CON/STY,wildcard,0,2.0,DSA,DSA,pure,8,,4,726.21,15,5,0.7682,,0.176,,4.8288,,,3.4042,,7.4895,,,,,,,,,,,,,,,,,,,,,,,
2,AK,LBR,LBR,pure,1,,CUP,CUP,pure,6,,4,130.64,13,5,,,2.8775,,,,,0.6763,,,,,3.1191,,9.427,,,,,0.5668,,,,,,,,,,,,,
4,AZ,STY/LBR,STY/LBR,cooc,2,1.0,LIB,LIB,pure,4,,4,1160.11,15,5,,,,,,0.0262,,,,,,,,,,,,10.8831,0.1367,,,,,,,,0.4388,,,,5.1819,,
5,AR,CON/STY,CON/STY,cooc,0,2.0,CON/NAT,CON/NAT,cooc,0,3.0,4,412.18,16,5,5.6757,,0.1943,,1.9873,,,,,,,,,0.9864,,,,7.823,,,,,,,,,,,,,,,
6,CA,LBR/STY,LBR/STY,cooc,1,2.0,POP/NAT,POP/NAT,cooc,5,3.0,4,3966.17,15,5,,,,,,,,0.2832,,,,,,1.5793,,,,13.5282,,,,,,,0.2604,,,,,,,,1.0156
8,CO,LBR,LBR,pure,1,,LIB/PRG,LIB/PRG,cooc,4,9.0,4,827.29,15,5,,,,,,8.3496,,,,,,,,,2.0549,,0.1386,0.8272,,5.2962,,,,,,,,,,,,,
9,CT,CON/POP,CON/POP,cooc,0,5.0,LBR/STY,LBR/STY,cooc,1,2.0,4,484.15,15,5,,,,0.6887,,,,0.1374,,,,,,1.0606,,,13.9094,,,,,,,,,,,,,,,,0.8706
10,DE,LBR,LBR,pure,1,,OAO/LIB,OAO/LIB,cooc,7,4.0,4,216.95,15,5,,,,13.9862,,,,,,,0.7775,,,,0.493,,,1.0422,,,0.3677,,,,,,,,,,,,
11,DC,PRG,PRG,pure,9,,LBR/LIB,LBR/LIB,cooc,1,4.0,4,117.36,14,5,,,,,,,,0.2401,,,,,2.1228,,,,,0.065,,,,,,,,,,,13.1695,,,1.0693,
12,FL,LBR,LBR,pure,1,,CUP,CUP,pure,6,,4,3184.13,16,5,0.3075,,0.0841,,,,,4.3292,,,,,,,11.432,,,,,,,,,,,,,,,,,,0.5139
