state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,0.0,0.0,121.03,eliminated,AL
1,AL,CON/CUP,CON/CUP,cooc,0,6.0,5.58,0.7682,121.03,surviving,AL
1,AL,CON/NAT,CON/NAT,cooc,0,3.0,1.28,0.176,121.03,surviving,AL
1,AL,CON/OAO,CON/OAO,cooc,0,7.0,0.0,0.0,121.03,eliminated,AL
1,AL,CON/POP,CON/POP,cooc,0,5.0,0.0,0.0,121.03,eliminated,AL
1,AL,CON/STY,CON/STY,wildcard,0,2.0,35.07,4.8288,121.03,surviving,AL
1,AL,CUP,CUP,pure,6,,24.72,3.4042,121.03,surviving,AL
1,AL,DSA,DSA,pure,8,,54.39,7.4895,121.03,surviving,AL
1,AL,LBR,LBR,pure,1,,0.0,0.0,121.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,121.03,eliminated,AL
1,AL,OAO,OAO,pure,7,,0.0,0.0,121.03,eliminated,AL
1,AL,POP,POP,pure,5,,0.0,0.0,121.03,eliminated,AL
1,AL,STY,STY,pure,2,,0.0,0.0,121.03,eliminated,AL
1,AL,STY/LBR,STY/LBR,cooc,2,1.0,0.0,0.0,121.03,eliminated,AL
1,AL,STY/POP,STY/POP,cooc,2,5.0,0.0,0.0,121.03,eliminated,AL
2,AK,CON,CON,pure,0,,0.0,0.0,21.77,eliminated,AK
2,AK,CON/NAT,CON/NAT,cooc,0,3.0,3.76,2.8775,21.77,surviving,AK
2,AK,CUP,CUP,pure,6,,0.88,0.6763,21.77,surviving,AK
2,AK,CUP/CON,CUP/CON,cooc,6,0.0,0.0,0.0,21.77,eliminated,AK
2,AK,CUP/POP,CUP/POP,cooc,6,5.0,0.0,0.0,21.77,eliminated,AK
2,AK,LBR,LBR,pure,1,,12.32,9.427,21.77,surviving,AK
2,AK,LBR/LIB,LBR/LIB,cooc,1,4.0,4.07,3.1191,21.77,surviving,AK
2,AK,LBR/STY,LBR/STY,cooc,1,2.0,0.0,0.0,21.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,0.0,0.0,21.77,eliminated,AK
2,AK,NAT,NAT,pure,3,,0.74,0.5668,21.77,surviving,AK
2,AK,POP,POP,pure,5,,0.0,0.0,21.77,eliminated,AK
2,AK,STY,STY,pure,2,,0.0,0.0,21.77,eliminated,AK
2,AK,STY/POP,STY/POP,cooc,2,5.0,0.0,0.0,21.77,eliminated,AK
4,AZ,CON,CON,pure,0,,0.3,0.0262,193.35,surviving,AZ
4,AZ,CON/NAT,CON/NAT,cooc,0,3.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,CON/POP,CON/POP,cooc,0,5.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,CUP,CUP,pure,6,,0.0,0.0,193.35,eliminated,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,193.35,eliminated,AZ
4,AZ,LBR,LBR,pure,1,,0.0,0.0,193.35,eliminated,AZ
4,AZ,LBR/DSA,LBR/DSA,cooc,1,8.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,126.26,10.8831,193.35,surviving,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,193.35,eliminated,AZ
4,AZ,NAT/POP,NAT/POP,cooc,3,5.0,1.59,0.1367,193.35,surviving,AZ
4,AZ,POP,POP,pure,5,,5.09,0.4388,193.35,surviving,AZ
4,AZ,POP/STY,POP/STY,cooc,5,2.0,0.0,0.0,193.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,0.0,0.0,193.35,eliminated,AZ
4,AZ,STY,STY,pure,2,,0.0,0.0,193.35,eliminated,AZ
4,AZ,STY/LBR,STY/LBR,cooc,2,1.0,60.12,5.1819,193.35,surviving,AZ
5,AR,CON,CON,pure,0,,0.0,0.0,68.7,eliminated,AR
5,AR,CON/CUP,CON/CUP,cooc,0,6.0,23.39,5.6757,68.7,surviving,AR
5,AR,CON/LBR,CON/LBR,wildcard,0,1.0,0.0,0.0,68.7,eliminated,AR
5,AR,CON/NAT,CON/NAT,cooc,0,3.0,0.8,0.1943,68.7,surviving,AR
5,AR,CON/STY,CON/STY,cooc,0,2.0,8.19,1.9873,68.7,surviving,AR
5,AR,CUP,CUP,pure,6,,0.0,0.0,68.7,eliminated,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,68.7,eliminated,AR
5,AR,LBR,LBR,pure,1,,0.0,0.0,68.7,eliminated,AR
5,AR,LBR/LIB,LBR/LIB,cooc,1,4.0,0.0,0.0,68.7,eliminated,AR
5,AR,LBR/STY,LBR/STY,cooc,1,2.0,4.07,0.9864,68.7,surviving,AR
5,AR,LIB,LIB,pure,4,,32.25,7.823,68.7,surviving,AR
5,AR,NAT,NAT,pure,3,,0.0,0.0,68.7,eliminated,AR
5,AR,OAO,OAO,pure,7,,0.0,0.0,68.7,eliminated,AR
5,AR,POP,POP,pure,5,,0.0,0.0,68.7,eliminated,AR
5,AR,POP/STY,POP/STY,cooc,5,2.0,0.0,0.0,68.7,eliminated,AR
5,AR,STY,STY,pure,2,,0.0,0.0,68.7,eliminated,AR
6,CA,CON,CON,pure,0,,0.0,0.0,661.03,eliminated,CA
6,CA,CON/POP,CON/POP,cooc,0,5.0,0.0,0.0,661.03,eliminated,CA
6,CA,CUP,CUP,pure,6,,11.23,0.2832,661.03,surviving,CA
6,CA,LBR,LBR,pure,1,,0.0,0.0,661.03,eliminated,CA
6,CA,LBR/LIB,LBR/LIB,cooc,1,4.0,0.0,0.0,661.03,eliminated,CA
6,CA,LBR/STY,LBR/STY,cooc,1,2.0,62.64,1.5793,661.03,surviving,CA
6,CA,LIB,LIB,pure,4,,536.55,13.5282,661.03,surviving,CA
6,CA,LIB/PRG,LIB/PRG,cooc,4,9.0,0.0,0.0,661.03,eliminated,CA
