state_fips,state_abbr,round,candidate_code,candidate_label,vote_total,vote_pct,eliminated,irv_winner
1,AL,1,CON/CTR,CON/CTR,91.9964,12.6681,True,STY
1,AL,1,CON/NAT,CON/NAT,169.7048,23.3686,False,STY
1,AL,1,CON/STY,CON/STY,106.989,14.7325,False,STY
1,AL,1,CTR,CTR,133.1526,18.3353,False,STY
1,AL,1,STY,STY,224.3653,30.8955,False,STY
1,AL,2,CON/NAT,CON/NAT,202.0124,27.8174,False,STY
1,AL,2,CON/STY,CON/STY,136.0555,18.7351,True,STY
1,AL,2,CTR,CTR,162.4847,22.3744,False,STY
1,AL,2,STY,STY,225.6555,31.0731,False,STY
1,AL,3,CON/NAT,CON/NAT,231.1468,31.8293,False,STY
1,AL,3,CTR,CTR,213.1612,29.3526,True,STY
1,AL,3,STY,STY,281.9001,38.8181,False,STY
1,AL,4,CON/NAT,CON/NAT,324.2141,44.6448,False,STY
1,AL,4,STY,STY,401.994,55.3552,False,STY
2,AK,1,CON,CON,16.7147,12.7946,True,CTR
2,AK,1,CTR,CTR,33.3821,25.5531,False,CTR
2,AK,1,NAT,NAT,26.093,19.9734,False,CTR
2,AK,1,SD,SD,22.7004,17.3765,False,CTR
2,AK,1,SD/LIB,SD/LIB,31.7482,24.3023,False,CTR
2,AK,2,CTR,CTR,37.3988,28.6277,False,CTR
2,AK,2,NAT,NAT,33.9094,25.9567,False,CTR
2,AK,2,SD,SD,24.4754,18.7352,True,CTR
2,AK,2,SD/LIB,SD/LIB,34.8548,26.6803,False,CTR
2,AK,3,CTR,CTR,39.3183,30.0971,False,CTR
2,AK,3,NAT,NAT,35.6844,27.3154,True,CTR
2,AK,3,SD/LIB,SD/LIB,55.6356,42.5875,False,CTR
2,AK,4,CTR,CTR,73.0114,55.8882,False,CTR
2,AK,4,SD/LIB,SD/LIB,57.6269,44.1118,False,CTR
4,AZ,1,CON/REF,CON/REF,178.8069,15.413,False,STY/SD
4,AZ,1,CTR,CTR,176.9899,15.2564,True,STY/SD
4,AZ,1,NAT/REF,NAT/REF,324.4593,27.9681,False,STY/SD
4,AZ,1,PRG,PRG,250.8749,21.6252,False,STY/SD
4,AZ,1,STY/SD,STY/SD,228.9743,19.7374,False,STY/SD
4,AZ,2,CON/REF,CON/REF,257.7782,22.2202,False,STY/SD
4,AZ,2,NAT/REF,NAT/REF,324.4593,27.9681,False,STY/SD
4,AZ,2,PRG,PRG,251.6888,21.6953,True,STY/SD
4,AZ,2,STY/SD,STY/SD,326.1789,28.1163,False,STY/SD
4,AZ,3,CON/REF,CON/REF,257.7782,22.2202,True,STY/SD
4,AZ,3,NAT/REF,NAT/REF,324.4593,27.9681,False,STY/SD
4,AZ,3,STY/SD,STY/SD,577.8677,49.8117,False,STY/SD
4,AZ,4,NAT/REF,NAT/REF,505.3713,43.5625,False,STY/SD
4,AZ,4,STY/SD,STY/SD,654.7339,56.4375,False,STY/SD
5,AR,1,CON/CTR,CON/CTR,63.8937,15.5013,False,CON/NAT
5,AR,1,CON/NAT,CON/NAT,116.6856,28.3092,False,CON/NAT
5,AR,1,CON/STY,CON/STY,71.8171,17.4236,False,CON/NAT
5,AR,1,DSA,DSA,63.1788,15.3279,True,CON/NAT
5,AR,1,SD/LIB,SD/LIB,96.6068,23.4379,False,CON/NAT
5,AR,2,CON/CTR,CON/CTR,63.8937,15.5013,True,CON/NAT
5,AR,2,CON/NAT,CON/NAT,116.6856,28.3092,False,CON/NAT
5,AR,2,CON/STY,CON/STY,74.7816,18.1429,False,CON/NAT
5,AR,2,SD/LIB,SD/LIB,156.8211,38.0466,False,CON/NAT
5,AR,3,CON/NAT,CON/NAT,130.4056,31.6379,False,CON/NAT
5,AR,3,CON/STY,CON/STY,119.5193,28.9967,True,CON/NAT
5,AR,3,SD/LIB,SD/LIB,162.2571,39.3654,False,CON/NAT
5,AR,4,CON/NAT,CON/NAT,210.3192,51.0258,False,CON/NAT
5,AR,4,SD/LIB,SD/LIB,201.8627,48.9742,False,CON/NAT
6,CA,1,CON/CTR,CON/CTR,814.1458,20.5272,False,SD
6,CA,1,REF/NAT,REF/NAT,747.8707,18.8562,False,SD
6,CA,1,SD,SD,791.4561,19.9552,False,SD
6,CA,1,SD/LIB,SD/LIB,1050.6379,26.49,False,SD
6,CA,1,STY,STY,562.0618,14.1714,True,SD
6,CA,2,CON/CTR,CON/CTR,910.9454,22.9679,False,SD
6,CA,2,REF/NAT,REF/NAT,791.1177,19.9466,True,SD
6,CA,2,SD,SD,1164.9903,29.3732,False,SD
6,CA,2,SD/LIB,SD/LIB,1099.1189,27.7123,False,SD
6,CA,3,CON/CTR,CON/CTR,1610.0505,40.5946,False,SD
6,CA,3,SD,SD,1229.837,31.0082,False,SD
6,CA,3,SD/LIB,SD/LIB,1126.2847,28.3973,True,SD
6,CA,4,CON/CTR,CON/CTR,1710.1841,43.1193,False,SD
6,CA,4,SD,SD,2255.9882,56.8807,False,SD
8,CO,1,CON/REF,CON/REF,219.1815,26.4941,False,SD
8,CO,1,LIB,LIB,120.8696,14.6104,True,SD
8,CO,1,PRG,PRG,161.1703,19.4818,False,SD
8,CO,1,REF,REF,182.8595,22.1036,False,SD
8,CO,1,SD,SD,143.2043,17.3101,False,SD
8,CO,2,CON/REF,CON/REF,219.1815,26.4941,False,SD
8,CO,2,PRG,PRG,195.6823,23.6535,False,SD
8,CO,2,REF,REF,182.8595,22.1036,True,SD
8,CO,2,SD,SD,229.562,27.7488,False,SD
8,CO,3,CON/REF,CON/REF,394.2112,47.6512,False,SD
8,CO,3,PRG,PRG,195.6823,23.6535,True,SD
8,CO,3,SD,SD,237.3918,28.6953,False,SD
8,CO,4,CON/REF,CON/REF,394.2112,47.6512,False,SD
8,CO,4,SD,SD,433.0741,52.3488,False,SD
9,CT,1,CON/REF,CON/REF,118.0661,24.386,False,CON/STY
9,CT,1,CON/STY,CON/STY,70.6982,14.6024,False,CON/STY
9,CT,1,CTR,CTR,66.7735,13.7918,True,CON/STY
9,CT,1,SD/LIB,SD/LIB,144.7875,29.9052,False,CON/STY
9,CT,1,SD/STY,SD/STY,83.8292,17.3146,False,CON/STY
9,CT,2,CON/REF,CON/REF,120.2849,24.8443,False,CON/STY
9,CT,2,CON/STY,CON/STY,106.947,22.0894,False,CON/STY
9,CT,2,SD/LIB,SD/LIB,160.2209,33.0929,False,CON/STY
9,CT,2,SD/STY,SD/STY,96.7017,19.9733,True,CON/STY
9,CT,3,CON/REF,CON/REF,123.4969,25.5078,True,CON/STY
9,CT,3,CON/STY,CON/STY,131.8665,27.2364,False,CON/STY
9,CT,3,SD/LIB,SD/LIB,228.7911,47.2558,False,CON/STY
9,CT,4,CON/STY,CON/STY,255.3634,52.7442,False,CON/STY
9,CT,4,SD/LIB,SD/LIB,228.7911,47.2558,False,CON/STY
10,DE,1,CON/NAT,CON/NAT,56.6779,26.1248,False,SD/CON
10,DE,1,CTR,CTR,19.8333,9.1419,True,SD/CON
10,DE,1,LIB,LIB,50.212,23.1445,False,SD/CON
10,DE,1,SD/CON,SD/CON,45.2385,20.852,False,SD/CON
10,DE,1,SD/CTR,SD/CTR,44.9886,20.7368,False,SD/CON
10,DE,2,CON/NAT,CON/NAT,58.3152,26.8795,False,SD/CON
10,DE,2,LIB,LIB,50.212,23.1445,False,SD/CON
10,DE,2,SD/CON,SD/CON,59.4002,27.3796,False,SD/CON
10,DE,2,SD/CTR,SD/CTR,49.0228,22.5964,True,SD/CON
10,DE,3,CON/NAT,CON/NAT,58.3152,26.8795,True,SD/CON
10,DE,3,LIB,LIB,64.1591,29.5732,False,SD/CON
10,DE,3,SD/CON,SD/CON,94.4759,43.5473,False,SD/CON
10,DE,4,LIB,LIB,64.1591,29.5732,False,SD/CON
10,DE,4,SD/CON,SD/CON,152.7911,70.4268,False,SD/CON
11,DC,1,CTR,CTR,32.6936,27.8582,False,DSA/PRG
11,DC,1,DSA/PRG,DSA/PRG,23.1755,19.7478,False,DSA/PRG
11,DC,1,LIB,LIB,19.9662,17.0132,False,DSA/PRG
11,DC,1,PRG,PRG,26.3266,22.4329,False,DSA/PRG
11,DC,1,SD,SD,15.1954,12.9479,True,DSA/PRG
11,DC,2,CTR,CTR,36.0669,30.7325,False,DSA/PRG
11,DC,2,DSA/PRG,DSA/PRG,26.3921,22.4887,False,DSA/PRG
11,DC,2,LIB,LIB,28.5717,24.3459,False,DSA/PRG
11,DC,2,PRG,PRG,26.3266,22.4329,True,DSA/PRG
11,DC,3,CTR,CTR,36.0669,30.7325,False,DSA/PRG
11,DC,3,DSA/PRG,DSA/PRG,45.5377,38.8026,False,DSA/PRG
11,DC,3,LIB,LIB,35.7527,30.4649,True,DSA/PRG
11,DC,4,CTR,CTR,46.202,39.3687,False,DSA/PRG
11,DC,4,DSA/PRG,DSA/PRG,71.1553,60.6313,False,DSA/PRG
12,FL,1,CON/CTR,CON/CTR,664.1725,20.8588,False,CON/CTR
12,FL,1,CON/NAT,CON/NAT,667.8499,20.9743,False,CON/CTR
12,FL,1,CON/STY,CON/STY,467.0912,14.6693,True,CON/CTR
12,FL,1,SD/LIB,SD/LIB,841.2886,26.4213,False,CON/CTR
12,FL,1,STY,STY,543.731,17.0763,False,CON/CTR
12,FL,2,CON/CTR,CON/CTR,894.6729,28.0978,False,CON/CTR
12,FL,2,CON/NAT,CON/NAT,744.2182,23.3727,False,CON/CTR
12,FL,2,SD/LIB,SD/LIB,873.9,27.4455,False,CON/CTR
12,FL,2,STY,STY,671.3423,21.084,True,CON/CTR
12,FL,3,CON/CTR,CON/CTR,1026.3581,32.2335,False,CON/CTR
12,FL,3,CON/NAT,CON/NAT,848.7175,26.6546,True,CON/CTR
12,FL,3,SD/LIB,SD/LIB,1309.0577,41.1119,False,CON/CTR
12,FL,4,CON/CTR,CON/CTR,1865.159,58.5767,False,CON/CTR
12,FL,4,SD/LIB,SD/LIB,1318.9743,41.4233,False,CON/CTR
13,GA,1,CON/CTR,CON/CTR,224.7156,15.262,True,SD/LIB
13,GA,1,CON/NAT,CON/NAT,321.9021,21.8625,False,SD/LIB
13,GA,1,CTR,CTR,234.3534,15.9165,False,SD/LIB
13,GA,1,SD/LIB,SD/LIB,428.12,29.0765,False,SD/LIB
13,GA,1,STY,STY,263.2997,17.8825,False,SD/LIB
13,GA,2,CON/NAT,CON/NAT,390.1559,26.4981,False,SD/LIB
13,GA,2,CTR,CTR,371.2039,25.211,False,SD/LIB
13,GA,2,SD/LIB,SD/LIB,430.9221,29.2668,False,SD/LIB
13,GA,2,STY,STY,280.1089,19.0241,True,SD/LIB
13,GA,3,CON/NAT,CON/NAT,440.9717,29.9494,False,SD/LIB
13,GA,3,CTR,CTR,410.2734,27.8644,True,SD/LIB
13,GA,3,SD/LIB,SD/LIB,621.1457,42.1862,False,SD/LIB
13,GA,4,CON/NAT,CON/NAT,603.8185,41.0094,False,SD/LIB
13,GA,4,SD/LIB,SD/LIB,868.5724,58.9906,False,SD/LIB
15,HI,1,CON/CTR,CON/CTR,41.2104,20.286,False,SD/LIB
15,HI,1,CON/LIB,CON/LIB,28.3627,13.9617,True,SD/LIB
15,HI,1,SD/LIB,SD/LIB,57.5788,28.3434,False,SD/LIB
15,HI,1,SD/STY,SD/STY,36.5076,17.971,False,SD/LIB
15,HI,1,STY/REF,STY/REF,39.4876,19.4379,False,SD/LIB
15,HI,2,CON/CTR,CON/CTR,53.8244,26.4953,False,SD/LIB
