state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,0.0,0.0,122.03,eliminated,AL
1,AL,CON/CUP,CON/CUP,cooc,0,6.0,5.04,0.6935,122.03,surviving,AL
1,AL,CON/NAT,CON/NAT,cooc,0,3.0,1.03,0.1415,122.03,surviving,AL
1,AL,CON/OAO,CON/OAO,cooc,0,7.0,0.0,0.0,122.03,eliminated,AL
1,AL,CON/POP,CON/POP,cooc,0,5.0,0.0,0.0,122.03,eliminated,AL
1,AL,CON/STY,CON/STY,wildcard,0,2.0,34.29,4.7219,122.03,surviving,AL
1,AL,CUP,CUP,pure,6,,22.08,3.0409,122.03,surviving,AL
1,AL,DSA,DSA,pure,8,,53.6,7.3804,122.03,surviving,AL
1,AL,LBR,LBR,pure,1,,0.0,0.0,122.03,eliminated,AL
1,AL,NAT,NAT,pure,3,,0.0,0.0,122.03,eliminated,AL
1,AL,OAO,OAO,pure,7,,0.0,0.0,122.03,eliminated,AL
1,AL,POP,POP,pure,5,,0.0,0.0,122.03,eliminated,AL
1,AL,STY,STY,pure,2,,0.0,0.0,122.03,eliminated,AL
1,AL,STY/LBR,STY/LBR,cooc,2,1.0,0.0,0.0,122.03,eliminated,AL
1,AL,STY/POP,STY/POP,cooc,2,5.0,0.0,0.0,122.03,eliminated,AL
2,AK,CON,CON,pure,0,,0.0,0.0,22.77,eliminated,AK
2,AK,CON/NAT,CON/NAT,cooc,0,3.0,2.23,1.7076,22.77,surviving,AK
2,AK,CUP,CUP,pure,6,,0.5,0.3816,22.77,surviving,AK
2,AK,CUP/CON,CUP/CON,cooc,6,0.0,0.0,0.0,22.77,eliminated,AK
2,AK,CUP/POP,CUP/POP,cooc,6,5.0,0.0,0.0,22.77,eliminated,AK
2,AK,LBR,LBR,pure,1,,12.74,9.7559,22.77,surviving,AK
2,AK,LBR/LIB,LBR/LIB,cooc,1,4.0,2.8,2.144,22.77,surviving,AK
2,AK,LBR/STY,LBR/STY,cooc,1,2.0,0.0,0.0,22.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,0.0,0.0,22.77,eliminated,AK
2,AK,NAT,NAT,pure,3,,21.27,16.2824,22.77,surviving,AK
2,AK,POP,POP,pure,5,,0.0,0.0,22.77,eliminated,AK
2,AK,STY,STY,pure,2,,0.0,0.0,22.77,eliminated,AK
2,AK,STY/POP,STY/POP,cooc,2,5.0,0.0,0.0,22.77,eliminated,AK
4,AZ,CON,CON,pure,0,,0.23,0.0199,194.35,surviving,AZ
4,AZ,CON/NAT,CON/NAT,cooc,0,3.0,0.0,0.0,194.35,eliminated,AZ
4,AZ,CON/POP,CON/POP,cooc,0,5.0,0.0,0.0,194.35,eliminated,AZ
4,AZ,CUP,CUP,pure,6,,0.0,0.0,194.35,eliminated,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,194.35,eliminated,AZ
4,AZ,LBR,LBR,pure,1,,0.0,0.0,194.35,eliminated,AZ
4,AZ,LBR/DSA,LBR/DSA,cooc,1,8.0,0.0,0.0,194.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,123.35,10.6329,194.35,surviving,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,194.35,eliminated,AZ
4,AZ,NAT/POP,NAT/POP,cooc,3,5.0,1.38,0.1194,194.35,surviving,AZ
4,AZ,POP,POP,pure,5,,4.53,0.3901,194.35,surviving,AZ
4,AZ,POP/STY,POP/STY,cooc,5,2.0,0.0,0.0,194.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,0.0,0.0,194.35,eliminated,AZ
4,AZ,STY,STY,pure,2,,0.0,0.0,194.35,eliminated,AZ
4,AZ,STY/LBR,STY/LBR,cooc,2,1.0,58.86,5.0734,194.35,surviving,AZ
5,AR,CON,CON,pure,0,,0.0,0.0,69.7,eliminated,AR
5,AR,CON/CUP,CON/CUP,cooc,0,6.0,22.37,5.4261,69.7,surviving,AR
