scenario,n_blocs,bloc,seats,pct_chamber,members,centroid_SecOrd,centroid_ElecSkep,centroid_GovtDis,centroid_ReligTrad,centroid_PopCons
Condorcet,3,1,7,13.7,STY/POP|POP/STY|POP,-0.07,0.717,-0.064,0.154,0.548
Condorcet,3,2,23,45.1,CON/SD|CON/CUP|CON/STY|SD/CON|CON/POP|STY/CON,0.327,-0.014,0.077,0.087,0.145
Condorcet,3,3,21,41.2,SD/STY|STY|STY/SD|SD/CUP|SD|SD/LIB,-0.4,0.186,0.093,-0.128,-0.354
Condorcet,4,1,7,13.7,STY/POP|POP/STY|POP,-0.07,0.717,-0.064,0.154,0.548
Condorcet,4,2,23,45.1,CON/SD|CON/CUP|CON/STY|SD/CON|CON/POP|STY/CON,0.327,-0.014,0.077,0.087,0.145
Condorcet,4,3,17,33.3,SD/STY|STY|STY/SD,-0.429,0.298,0.111,-0.101,-0.324
Condorcet,4,4,4,7.8,SD/CUP|SD|SD/LIB,-0.274,-0.288,0.013,-0.24,-0.482
Condorcet,5,1,7,13.7,STY/POP|POP/STY|POP,-0.07,0.717,-0.064,0.154,0.548
Condorcet,5,2,7,13.7,CON/CUP|CON/POP,0.579,-0.247,0.004,0.186,0.335
Condorcet,5,3,16,31.4,CON/SD|CON/STY|SD/CON|STY/CON,0.217,0.088,0.109,0.044,0.062
Condorcet,5,4,17,33.3,SD/STY|STY|STY/SD,-0.429,0.298,0.111,-0.101,-0.324
Condorcet,5,5,4,7.8,SD/CUP|SD|SD/LIB,-0.274,-0.288,0.013,-0.24,-0.482
IRV,3,1,9,17.6,CON/STY|STY/POP|STY/CON|POP,0.14,0.427,0.053,0.181,0.347
IRV,3,2,19,37.3,CON/SD|CON/POP|CON/CUP|SD/CON|CON|CON/NAT,0.457,-0.026,0.055,0.102,0.275
IRV,3,3,23,45.1,SD/STY|STY/SD|SD/LIB|SD|LIB/CUP|SD/CUP,-0.403,0.034,0.073,-0.197,-0.459
IRV,4,1,7,13.7,CON/POP|CON|CON/NAT,0.665,0.147,0.032,0.223,0.614
IRV,4,2,9,17.6,CON/STY|STY/POP|STY/CON|POP,0.14,0.427,0.053,0.181,0.347
IRV,4,3,12,23.5,CON/SD|CON/CUP|SD/CON,0.336,-0.127,0.069,0.032,0.078
IRV,4,4,23,45.1,SD/STY|STY/SD|SD/LIB|SD|LIB/CUP|SD/CUP,-0.403,0.034,0.073,-0.197,-0.459
IRV,5,1,7,13.7,CON/POP|CON|CON/NAT,0.665,0.147,0.032,0.223,0.614
IRV,5,2,9,17.6,CON/STY|STY/POP|STY/CON|POP,0.14,0.427,0.053,0.181,0.347
IRV,5,3,12,23.5,CON/SD|CON/CUP|SD/CON,0.336,-0.127,0.069,0.032,0.078
IRV,5,4,15,29.4,SD/STY|STY/SD,-0.426,0.235,0.108,-0.148,-0.37
IRV,5,5,8,15.7,SD/LIB|SD|LIB/CUP|SD/CUP,-0.359,-0.341,0.007,-0.289,-0.625
