state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
1,AL,CON,CON,0,,1.0,0.0,pure,0.214,,
1,AL,LBR,LBR,1,,1.0,0.0,pure,0.1045,,
1,AL,STY,STY,2,,1.0,0.0,pure,0.1867,,
1,AL,NAT,NAT,3,,1.0,0.0,pure,0.1033,,
1,AL,POP,POP,5,,1.0,0.0,pure,0.1122,,
1,AL,CUP,CUP,6,,1.0,0.0,pure,0.0954,,
1,AL,OAO,OAO,7,,1.0,0.0,pure,0.0513,,
1,AL,DSA,DSA,8,,1.0,0.0,pure,0.0809,,
1,AL,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.214,0.1033,0.1351
1,AL,STY/LBR,STY/LBR,2,1.0,0.7,0.3,cooc,0.1867,0.1045,0.1272
1,AL,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1867,0.1122,0.1139
1,AL,CON/CUP,CON/CUP,0,6.0,0.6203,0.3797,cooc,0.214,0.0954,0.0901
1,AL,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.214,0.1122,0.0792
1,AL,CON/OAO,CON/OAO,0,7.0,0.5,0.5,cooc,0.214,0.0513,0.0698
1,AL,CON/STY,CON/STY,0,2.0,0.55,0.45,wildcard,0.214,0.1867,
2,AK,CON,CON,0,,1.0,0.0,pure,0.1398,,
2,AK,LBR,LBR,1,,1.0,0.0,pure,0.2218,,
2,AK,STY,STY,2,,1.0,0.0,pure,0.1488,,
2,AK,NAT,NAT,3,,1.0,0.0,pure,0.0878,,
2,AK,LIB,LIB,4,,1.0,0.0,pure,0.0886,,
2,AK,POP,POP,5,,1.0,0.0,pure,0.1022,,
2,AK,CUP,CUP,6,,1.0,0.0,pure,0.1441,,
2,AK,LBR/STY,LBR/STY,1,2.0,0.5,0.5,cooc,0.2218,0.1488,0.2546
2,AK,CUP/CON,CUP/CON,6,0.0,0.6753,0.3247,cooc,0.1441,0.1398,0.1507
2,AK,LBR/LIB,LBR/LIB,1,4.0,0.5714,0.4286,cooc,0.2218,0.0886,0.105
2,AK,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1488,0.1022,0.0864
2,AK,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1398,0.0878,0.076
2,AK,CUP/POP,CUP/POP,6,5.0,0.7,0.3,cooc,0.1441,0.1022,0.0709
4,AZ,CON,CON,0,,1.0,0.0,pure,0.1724,,
4,AZ,LBR,LBR,1,,1.0,0.0,pure,0.1144,,
4,AZ,STY,STY,2,,1.0,0.0,pure,0.121,,
4,AZ,NAT,NAT,3,,1.0,0.0,pure,0.1434,,
4,AZ,LIB,LIB,4,,1.0,0.0,pure,0.0809,,
4,AZ,POP,POP,5,,1.0,0.0,pure,0.1398,,
4,AZ,CUP,CUP,6,,1.0,0.0,pure,0.0522,,
4,AZ,DSA,DSA,8,,1.0,0.0,pure,0.0846,,
4,AZ,PRG,PRG,9,,1.0,0.0,pure,0.0529,,
4,AZ,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1724,0.1398,0.1315
4,AZ,POP/STY,POP/STY,5,2.0,0.5621,0.4379,cooc,0.1398,0.121,0.1107
4,AZ,STY/LBR,STY/LBR,2,1.0,0.5,0.5,cooc,0.121,0.1144,0.1049
4,AZ,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1724,0.1434,0.0991
4,AZ,NAT/POP,NAT/POP,3,5.0,0.7,0.3,cooc,0.1434,0.1398,0.0964
4,AZ,LBR/DSA,LBR/DSA,1,8.0,0.5,0.5,cooc,0.1144,0.0846,0.0691
5,AR,CON,CON,0,,1.0,0.0,pure,0.2027,,
5,AR,LBR,LBR,1,,1.0,0.0,pure,0.164,,
5,AR,STY,STY,2,,1.0,0.0,pure,0.1139,,
5,AR,NAT,NAT,3,,1.0,0.0,pure,0.0841,,
5,AR,LIB,LIB,4,,1.0,0.0,pure,0.0541,,
5,AR,POP,POP,5,,1.0,0.0,pure,0.1351,,
5,AR,CUP,CUP,6,,1.0,0.0,pure,0.0987,,
5,AR,OAO,OAO,7,,1.0,0.0,pure,0.0537,,
5,AR,DSA,DSA,8,,1.0,0.0,pure,0.0668,,
5,AR,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.2027,0.0841,0.1342
5,AR,POP/STY,POP/STY,5,2.0,0.6953,0.3047,cooc,0.1351,0.1139,0.1322
5,AR,LBR/STY,LBR/STY,1,2.0,0.6624,0.3376,cooc,0.164,0.1139,0.116
5,AR,CON/CUP,CON/CUP,0,6.0,0.5778,0.4222,cooc,0.2027,0.0987,0.0787
5,AR,CON/STY,CON/STY,0,2.0,0.7,0.3,cooc,0.2027,0.1139,0.076
5,AR,LBR/LIB,LBR/LIB,1,4.0,0.5585,0.4415,cooc,0.164,0.0541,0.0703
5,AR,CON/LBR,CON/LBR,0,1.0,0.5528,0.4472,wildcard,0.2027,0.164,
6,CA,CON,CON,0,,1.0,0.0,pure,0.1218,,
6,CA,LBR,LBR,1,,1.0,0.0,pure,0.178,,
6,CA,STY,STY,2,,1.0,0.0,pure,0.1757,,
6,CA,NAT,NAT,3,,1.0,0.0,pure,0.0829,,
6,CA,LIB,LIB,4,,1.0,0.0,pure,0.1176,,
6,CA,POP,POP,5,,1.0,0.0,pure,0.0966,,
6,CA,CUP,CUP,6,,1.0,0.0,pure,0.0771,,
6,CA,OAO,OAO,7,,1.0,0.0,pure,0.0518,,
6,CA,PRG,PRG,9,,1.0,0.0,pure,0.0567,,
6,CA,LBR/STY,LBR/STY,1,2.0,0.5652,0.4348,cooc,0.178,0.1757,0.1799
6,CA,STY/POP,STY/POP,2,5.0,0.6012,0.3988,cooc,0.1757,0.0966,0.1122
6,CA,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.178,0.1176,0.1114
6,CA,POP/NAT,POP/NAT,5,3.0,0.5,0.5,cooc,0.0966,0.0829,0.0738
6,CA,CON/POP,CON/POP,0,5.0,0.6705,0.3295,cooc,0.1218,0.0966,0.0728
6,CA,LIB/PRG,LIB/PRG,4,9.0,0.5,0.5,cooc,0.1176,0.0567,0.054
8,CO,CON,CON,0,,1.0,0.0,pure,0.1891,,
8,CO,LBR,LBR,1,,1.0,0.0,pure,0.1552,,
8,CO,STY,STY,2,,1.0,0.0,pure,0.1047,,
8,CO,NAT,NAT,3,,1.0,0.0,pure,0.0788,,
8,CO,LIB,LIB,4,,1.0,0.0,pure,0.1121,,
8,CO,POP,POP,5,,1.0,0.0,pure,0.1325,,
8,CO,DSA,DSA,8,,1.0,0.0,pure,0.0581,,
8,CO,PRG,PRG,9,,1.0,0.0,pure,0.0762,,
8,CO,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1891,0.1325,0.1681
8,CO,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.1552,0.1047,0.1408
8,CO,POP/STY,POP/STY,5,2.0,0.7,0.3,cooc,0.1325,0.1047,0.1121
8,CO,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1552,0.1121,0.1024
8,CO,LIB/PRG,LIB/PRG,4,9.0,0.5,0.5,cooc,0.1121,0.0762,0.0601
8,CO,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1891,0.0788,0.059
8,CO,CON/LBR,CON/LBR,0,1.0,0.55,0.45,wildcard,0.1891,0.1552,
9,CT,CON,CON,0,,1.0,0.0,pure,0.1737,,
9,CT,LBR,LBR,1,,1.0,0.0,pure,0.1493,,
9,CT,STY,STY,2,,1.0,0.0,pure,0.1175,,
9,CT,NAT,NAT,3,,1.0,0.0,pure,0.0706,,
9,CT,LIB,LIB,4,,1.0,0.0,pure,0.1302,,
9,CT,POP,POP,5,,1.0,0.0,pure,0.1066,,
9,CT,CUP,CUP,6,,1.0,0.0,pure,0.0838,,
9,CT,OAO,OAO,7,,1.0,0.0,pure,0.0551,,
9,CT,PRG,PRG,9,,1.0,0.0,pure,0.0695,,
