county_fips5,state_fips,district_id,density_tier
01127,01,01-01,URBAN
01073,01,01-01,URBAN
01009,01,01-01,URBAN
01007,01,01-01,URBAN
01115,01,01-01,URBAN
01021,01,01-01,URBAN
01125,01,01-01,SUBURBAN
01117,01,01-01,URBAN
01015,01,01-01,SUBURBAN
01097,01,01-02,SUBURBAN
01031,01,01-02,RURAL
01085,01,01-02,SUBURBAN
01053,01,01-02,RURAL
01069,01,01-02,SUBURBAN
01039,01,01-02,RURAL
01067,01,01-02,SUBURBAN
01051,01,01-02,SUBURBAN
01061,01,01-02,SUBURBAN
01003,01,01-02,SUBURBAN
01101,01,01-02,SUBURBAN
01001,01,01-02,SUBURBAN
01109,01,01-02,RURAL
01055,01,01-02,SUBURBAN
01045,01,01-02,RURAL
01011,01,01-03,RURAL
01047,01,01-03,RURAL
01103,01,01-03,SUBURBAN
01099,01,01-03,RURAL
01095,01,01-03,RURAL
01087,01,01-03,RURAL
01071,01,01-03,RURAL
01123,01,01-03,RURAL
01081,01,01-03,SUBURBAN
01131,01,01-03,RURAL
01037,01,01-03,RURAL
01025,01,01-03,RURAL
01129,01,01-03,RURAL
01027,01,01-03,RURAL
01005,01,01-03,RURAL
01035,01,01-03,RURAL
01017,01,01-03,RURAL
01111,01,01-03,RURAL
01023,01,01-03,RURAL
01019,01,01-03,RURAL
01091,01,01-03,RURAL
01105,01,01-03,RURAL
01013,01,01-03,RURAL
01121,01,01-03,RURAL
01029,01,01-03,RURAL
01089,01,01-03,SUBURBAN
01049,01,01-03,RURAL
01063,01,01-03,RURAL
01041,01,01-03,RURAL
01119,01,01-03,RURAL
01033,01,01-04,SUBURBAN
01059,01,01-04,RURAL
01093,01,01-04,RURAL
01075,01,01-04,RURAL
01133,01,01-04,RURAL
01043,01,01-04,RURAL
01083,01,01-04,SUBURBAN
01057,01,01-04,RURAL
01077,01,01-04,SUBURBAN
01079,01,01-04,SUBURBAN
01107,01,01-04,SUBURBAN
01113,01,01-03,SUBURBAN
01065,01,01-03,SUBURBAN
02261,02,02-01,RURAL
02220,02,02-01,RURAL
02158,02,02-01,RURAL
02013,02,02-01,RURAL
02240,02,02-01,RURAL
02070,02,02-01,RURAL
02290,02,02-01,RURAL
02090,02,02-01,SUBURBAN
02164,02,02-01,RURAL
02195,02,02-01,RURAL
02170,02,02-01,SUBURBAN
02180,02,02-01,RURAL
02130,02,02-01,RURAL
02100,02,02-01,RURAL
02122,02,02-01,RURAL
02110,02,02-01,RURAL
02150,02,02-01,RURAL
02275,02,02-01,RURAL
02050,02,02-01,RURAL
02230,02,02-01,RURAL
02020,02,02-01,SUBURBAN
02105,02,02-01,RURAL
02060,02,02-01,RURAL
02198,02,02-01,RURAL
02068,02,02-01,RURAL
02188,02,02-01,RURAL
