county_fips5,state_fips,district_id,density_tier
01001,01,01-02,SUBURBAN
01003,01,01-02,SUBURBAN
01005,01,01-03,RURAL
01007,01,01-01,URBAN
01009,01,01-01,URBAN
01011,01,01-03,RURAL
01013,01,01-03,RURAL
01015,01,01-01,SUBURBAN
01017,01,01-03,RURAL
01019,01,01-03,RURAL
01021,01,01-01,URBAN
01023,01,01-03,RURAL
01025,01,01-03,RURAL
01027,01,01-03,RURAL
01029,01,01-03,RURAL
01031,01,01-02,RURAL
01033,01,01-01,SUBURBAN
01035,01,01-03,RURAL
01037,01,01-03,RURAL
01039,01,01-02,RURAL
01041,01,01-03,RURAL
01043,01,01-01,RURAL
01045,01,01-02,RURAL
01047,01,01-03,RURAL
01049,01,01-03,RURAL
01051,01,01-02,SUBURBAN
01053,01,01-02,RURAL
01055,01,01-02,SUBURBAN
01057,01,01-01,RURAL
01059,01,01-01,RURAL
01061,01,01-02,SUBURBAN
01063,01,01-03,RURAL
01065,01,01-03,SUBURBAN
01067,01,01-02,SUBURBAN
01069,01,01-02,SUBURBAN
01071,01,01-03,RURAL
01073,01,01-01,URBAN
01075,01,01-01,RURAL
01077,01,01-01,SUBURBAN
01079,01,01-01,SUBURBAN
01081,01,01-03,SUBURBAN
01083,01,01-01,SUBURBAN
01085,01,01-02,SUBURBAN
01087,01,01-03,RURAL
01089,01,01-03,SUBURBAN
01091,01,01-03,RURAL
01093,01,01-01,RURAL
01095,01,01-03,RURAL
01097,01,01-02,SUBURBAN
01099,01,01-03,RURAL
01101,01,01-02,SUBURBAN
01103,01,01-03,SUBURBAN
01105,01,01-03,RURAL
01107,01,01-01,SUBURBAN
01109,01,01-02,RURAL
01111,01,01-03,RURAL
01113,01,01-03,SUBURBAN
01115,01,01-01,URBAN
01117,01,01-01,URBAN
01119,01,01-03,RURAL
01121,01,01-03,RURAL
01123,01,01-03,RURAL
01125,01,01-01,SUBURBAN
01127,01,01-01,URBAN
01129,01,01-03,RURAL
01131,01,01-03,RURAL
01133,01,01-01,RURAL
02013,02,02-01,RURAL
02016,02,02-01,RURAL
02020,02,02-01,SUBURBAN
02050,02,02-01,RURAL
02060,02,02-01,RURAL
02068,02,02-01,RURAL
02070,02,02-01,RURAL
02090,02,02-01,SUBURBAN
02100,02,02-01,RURAL
02105,02,02-01,RURAL
02110,02,02-01,RURAL
02122,02,02-01,RURAL
02130,02,02-01,RURAL
02150,02,02-01,RURAL
02158,02,02-01,RURAL
02164,02,02-01,RURAL
