,caseid,countyfips,cd119
0,1853651564.0,42101,2
1,1853655732.0,36047,8
2,1852716424.0,42071,11
3,1853644254.0,06037,30
4,1853644132.0,30013,2
5,1853838260.0,48201,8
6,1853838902.0,26125,10
7,1853845114.0,45045,4
8,1853847090.0,41051,1
9,1853842346.0,26127,2
10,1853838800.0,47161,7
11,1853838438.0,45051,7
12,1853843016.0,00000,2
13,1853843336.0,09009,3
14,1853838562.0,36081,12
15,1853842874.0,28047,4
16,1853840102.0,20149,1
17,1853843180.0,12053,12
18,1852847580.0,21199,5
19,1853843920.0,37063,4
20,1853852538.0,19065,2
21,1853842654.0,34007,1
22,1852761258.0,22011,4
23,1854039704.0,06037,38
24,1853708950.0,39161,5
25,1850809946.0,17031,8
26,1854046792.0,13089,7
27,1854047448.0,55059,1
28,1854044678.0,47017,8
29,1854048136.0,19169,4
30,1854030044.0,32003,4
31,1852713680.0,08035,4
32,1854047118.0,25015,1
33,1854065536.0,32003,3
34,1854048194.0,39049,3
35,1854047964.0,13047,14
36,1854047850.0,36081,13
37,1854048292.0,47113,8
38,1854067818.0,42133,11
39,1854066006.0,50007,1
40,1854065604.0,05115,4
41,1854065720.0,45063,2
42,1850894632.0,26099,9
43,1854069640.0,42071,11
44,1854081932.0,04019,6
45,1854065960.0,04013,4
46,1854086042.0,41053,6
47,1854082492.0,47037,5
48,1854082148.0,11001,1
49,1854092130.0,21209,6
50,1854069814.0,01101,2
51,1853814032.0,32031,2
52,1854052198.0,48201,22
53,1852897972.0,06077,9
54,1854082012.0,39081,6
55,1850891770.0,28095,1
56,1854086266.0,39091,4
57,1854082102.0,40081,5
58,1854065108.0,28049,2
59,1854098590.0,39061,8
60,1854082430.0,48113,30
61,1852649164.0,26075,5
62,1854102482.0,30093,1
63,1854082200.0,18147,8
64,1854065264.0,06053,19
65,1854103284.0,39151,13
66,1854102954.0,36047,8
67,1852770940.0,12115,17
68,1854081810.0,06001,12
69,1854071360.0,22079,6
70,1853846670.0,42125,14
71,1854098580.0,48113,24
72,1854105932.0,04015,9
73,1854086038.0,06065,41
74,1854102638.0,12071,19
75,1854086300.0,21059,2
76,1854102738.0,48147,4
77,1852742910.0,39051,9
78,1854032436.0,01073,7
79,1854114428.0,48029,20
80,1852722720.0,29077,7
81,1850786920.0,46087,1
82,1852896288.0,35005,1
83,1855236284.0,51107,10
84,1855234492.0,37169,5
85,1855241034.0,53063,5
86,1855233832.0,01089,5
87,1855239396.0,29001,6
88,1854271656.0,41051,3
89,1855246260.0,24510,2
90,1855277614.0,48453,37
91,1855245724.0,53053,6
92,1855275802.0,12009,8
93,1855293694.0,49049,3
94,1855276470.0,36027,21
95,1855288570.0,26087,9
96,1854223200.0,06097,4
97,1855275794.0,48211,13
98,1855323974.0,48091,21
99,1854377364.0,06071,23
100,1855323968.0,13121,6
101,1855296934.0,36047,9
102,1855293894.0,22011,4
103,1855315490.0,33009,2
104,1855292326.0,13051,1
105,1855247904.0,06085,17
106,1855322050.0,23031,1
107,1855246188.0,06029,23
108,1854464080.0,04019,6
109,1855291076.0,13115,14
110,1854549892.0,31109,1
111,1855298160.0,09003,1
112,1855325276.0,42103,8
113,1855298198.0,24031,8
114,1855289482.0,36081,3
115,1855239606.0,34013,11
116,1855306844.0,36047,6
117,1855291142.0,13263,2
118,1854486686.0,26055,1
119,1855013634.0,26087,9
120,1855333442.0,48367,12
121,1854643124.0,50003,1
122,1854320954.0,06089,1
123,1850309040.0,19101,1
124,1853467986.0,12105,18
125,1855360482.0,36081,7
126,1855361930.0,48055,27
127,1854305482.0,35013,2
128,1854339084.0,01115,3
129,1855373476.0,18089,1
130,1853620884.0,24021,6
131,1854670744.0,42049,16
132,1854437438.0,36029,16
133,1854486194.0,27009,6
134,1855332216.0,36047,6
135,1855335904.0,45063,2
136,1849874440.0,08005,6
137,1854610436.0,26163,13
138,1855368768.0,12011,23
139,1855373322.0,39061,1
140,1855298252.0,40109,5
141,1854958094.0,11001,1
142,1855396188.0,48201,29
143,1855329874.0,28033,1
144,1855369004.0,06007,1
145,1855323032.0,55127,1
146,1855351644.0,54067,1
147,1855377626.0,37183,4
148,1855347244.0,55063,3
149,1855322472.0,29095,5
150,1855278488.0,48029,28
151,1854271238.0,42003,12
152,1851703938.0,51059,8
153,1853979326.0,06023,2
154,1854546772.0,48439,12
155,1842753510.0,02090,1
156,1854697284.0,09009,3
157,1854900392.0,48121,26
158,1855386880.0,42029,6
159,1854795780.0,04019,7
160,1855421754.0,22079,6
161,1855334748.0,42039,16
162,1855344772.0,54011,1
163,1855393478.0,32031,2
164,1855422434.0,48209,21
165,1855426574.0,53053,6
166,1854722890.0,19065,2
167,1855335628.0,08005,6
168,1855427364.0,36083,24
169,1854265844.0,29091,8
170,1854646474.0,55031,7
171,1854303936.0,25025,7
172,1854671690.0,20045,1
173,1854510844.0,04025,2
174,1855422018.0,37109,14
175,1855012578.0,41047,6
176,1855321672.0,09009,5
