code,api_mean,api_latest,spread_mean,spread_latest,latest_year,n_parties,n_elections
ALB,5.668,5.125,2.708,2.258,2017,6.611,2
ARG,4.347,4.347,1.579,1.579,2015,5.717,1
AUS,4.64,4.698,2.465,2.402,2019,4.751,5
AUT,4.243,4.346,2.349,2.221,2017,6.404,3
BEL,4.152,4.909,2.197,2.438,2019,5.672,5
BGR,6.476,6.917,2.816,2.533,2014,6.86,2
BLR,4.283,3.472,1.458,1.037,2008,4.688,2
BRA,4.521,5.127,1.982,2.048,2018,5.698,5
CAN,4.156,3.921,2.206,2.197,2019,4.461,6
CHE,4.364,4.159,2.535,2.607,2011,5.486,4
CHL,4.232,4.436,2.147,1.596,2017,5.76,4
CRI,3.688,3.688,1.995,1.995,2018,5.372,1
CZE,5.41,5.195,2.558,2.357,2021,6.674,7
DEU,4.08,4.305,2.449,2.676,2021,6.932,8
DNK,4.329,4.534,2.54,2.569,2019,7.631,4
ESP,4.897,4.946,2.201,2.279,2008,5.103,4
EST,4.511,4.511,2.456,2.456,2011,5.625,1
FIN,3.897,4.48,2.091,2.364,2019,7.791,5
FRA,4.481,4.653,2.464,2.589,2017,6.71,4
GBR,4.365,4.606,2.311,2.317,2019,4.145,5
GRC,5.435,6.361,2.395,2.5,2019,6.641,5
HKG,2.994,4.253,1.605,2.132,2016,5.438,6
HRV,4.507,4.507,2.072,2.072,2007,8.389,1
HUN,5.849,6.791,2.763,2.489,2018,5.434,3
IND,3.721,3.721,2.025,2.025,2019,3.169,1
IRL,4.524,4.671,2.298,2.484,2016,5.998,4
ISL,3.904,4.17,2.173,2.347,2017,5.894,7
ISR,4.622,5.018,2.471,2.501,2020,5.961,5
ITA,5.224,5.529,2.19,2.453,2018,5.796,2
JPN,3.503,3.577,1.737,1.612,2017,5.979,5
KEN,5.915,5.915,3.225,3.225,2013,5.331,1
KGZ,4.279,4.279,2.495,2.495,2005,5.188,1
KOR,3.76,2.954,1.741,1.492,2016,5.024,5
LTU,4.754,5.012,2.288,2.437,2020,6.412,3
LVA,4.934,5.141,2.34,2.269,2018,6.182,4
MEX,4.173,5.674,2.3,2.457,2018,6.502,8
MNE,4.824,6.315,2.506,2.507,2016,6.584,2
NLD,3.002,3.715,1.987,2.38,2021,8.265,6
NOR,4.209,4.63,2.287,2.522,2017,7.772,6
NZL,4.435,4.128,2.484,2.432,2020,7.02,7
PER,4.975,4.174,2.634,1.848,2021,6.17,6
PHL,2.388,2.077,1.444,1.123,2016,5.822,3
POL,4.732,5.233,2.531,2.572,2019,5.944,6
PRT,4.927,4.498,2.196,1.656,2019,5.464,5
ROU,4.711,5.152,2.264,2.191,2016,6.399,6
RUS,5.299,5.404,2.453,2.276,2004,5.493,3
SLV,4.603,4.603,2.65,2.65,2019,4.63,1
SRB,5.119,5.119,2.402,2.402,2012,6.866,1
SVK,5.596,6.083,2.465,2.463,2020,7.416,3
SVN,4.803,5.085,1.977,2.036,2011,6.992,4
SWE,4.452,5.088,2.51,2.908,2018,7.645,5
THA,5.152,4.632,2.454,2.336,2019,6.091,4
TUN,,,1.875,1.875,2019,5.254,1
TUR,6.88,6.445,3.089,3.132,2018,6.815,3
TWN,3.631,4.12,1.607,1.669,2020,3.823,7
UKR,5.982,5.982,2.604,2.604,1998,5.087,1
URY,5.47,5.622,2.9,3.009,2019,4.324,2
USA,4.73,6.173,2.177,2.724,2020,2.217,6
ZAF,5.568,5.366,2.5,2.423,2014,7.324,2
