code,year,election,affpol_api,n_api,affpol_spread,n_parties,n
ALB,2005,ALB_2005,6.212,716.0,3.159,7.853,1034.0
ALB,2017,ALB_2017,5.125,656.0,2.258,5.369,1193.0
ARG,2015,ARG_2015,4.347,660.0,1.579,5.717,1359.0
AUS,1996,AUS_1996,4.448,1349.0,2.438,4.946,1694.0
AUS,2004,AUS_2004,4.517,1344.0,2.465,5.935,1673.0
AUS,2007,AUS_2007,4.827,1468.0,2.582,3.935,1781.0
AUS,2013,AUS_2013,4.71,3157.0,2.436,3.978,3763.0
AUS,2019,AUS_2019,4.698,1375.0,2.402,4.962,1973.0
AUT,2008,AUT_2008,3.987,791.0,2.454,6.668,1139.0
AUT,2013,AUT_2013,4.395,527.0,2.371,6.772,974.0
AUT,2017,AUT_2017,4.346,847.0,2.221,5.771,1194.0
BEL,1999,BELF1999,3.622,1585.0,2.239,5.867,1867.0
BEL,1999,BELW1999,,0.0,2.052,4.901,1566.0
BEL,2003,BEL_2003,3.892,592.0,1.847,4.458,2125.0
BEL,2019,BELF2019,4.187,643.0,2.411,6.76,986.0
BEL,2019,BELW2019,4.909,444.0,2.438,6.372,679.0
BGR,2001,BGR_2001,6.036,765.0,3.1,6.285,1294.0
BGR,2014,BGR_2014,6.917,523.0,2.533,7.436,954.0
BLR,2001,BLR_2001,5.094,52.0,1.878,4.137,562.0
BLR,2008,BLR_2008,3.472,83.0,1.037,5.24,601.0
BRA,2002,BRA_2002,4.212,1359.0,2.345,5.599,2259.0
BRA,2006,BRA_2006,4.338,383.0,1.547,5.754,889.0
BRA,2010,BRA_2010,4.483,988.0,2.104,5.268,1875.0
BRA,2014,BRA_2014,4.446,792.0,1.864,5.649,2650.0
BRA,2018,BRA_2018,5.127,456.0,2.048,6.218,2083.0
CAN,1997,CAN_1997,4.663,898.0,2.306,4.972,1782.0
CAN,2004,CAN_2004,4.283,1049.0,2.19,3.967,1561.0
CAN,2008,CAN_2008,4.33,1309.0,2.212,4.804,1840.0
CAN,2011,CAN_2011,3.888,767.0,2.119,4.098,3261.0
CAN,2015,CAN_2015,3.848,927.0,2.214,4.008,3924.0
CAN,2019,CAN_2019,3.921,2140.0,2.197,4.917,2860.0
CHE,1999,CHE_1999,3.551,1163.0,2.138,4.829,1904.0
CHE,2003,CHE_2003,4.776,882.0,2.688,4.856,1295.0
