code,year,swd,wl_gap,leader_api,pid_strength,efficacy,n
ALB,2005,1.971,0.113,,1.587,2.027,1116.0
ALB,2017,1.888,0.139,4.857,1.117,2.015,1255.0
ARG,2015,,,5.758,1.191,2.184,1406.0
AUS,1996,2.964,,4.029,1.558,2.116,1798.0
AUS,2004,2.916,0.554,4.209,1.563,2.237,1769.0
AUS,2007,2.991,-0.083,4.177,1.57,2.104,1873.0
AUS,2013,2.677,0.237,3.938,1.564,2.348,3953.0
AUS,2019,3.038,0.274,4.302,1.337,2.028,2000.0
AUT,2008,2.69,0.371,,1.232,1.889,1165.0
AUT,2013,2.597,0.401,3.497,0.955,2.639,1000.0
AUT,2017,2.962,-0.237,3.92,1.263,1.714,1203.0
BEL,1999,2.344,,,0.0,2.534,4139.0
BEL,2003,2.519,0.123,,0.486,2.778,2225.0
BEL,2019,2.109,0.312,3.778,1.316,2.614,1814.0
BGR,2001,1.789,-0.902,,1.334,2.309,1482.0
BGR,2014,1.733,0.362,6.289,1.014,2.247,999.0
BLR,2001,2.253,,,0.259,2.028,1000.0
BLR,2008,2.396,,2.09,0.226,2.182,1000.0
BRA,2002,1.977,-0.099,3.95,1.145,1.856,2514.0
BRA,2006,2.288,0.007,4.722,0.69,1.76,1000.0
BRA,2010,2.499,-0.016,4.077,0.672,1.627,2000.0
BRA,2014,2.354,0.063,4.58,0.659,1.744,3136.0
BRA,2018,1.514,0.258,5.313,0.47,1.739,2506.0
CAN,1997,2.655,,3.802,1.044,2.489,1851.0
CAN,2004,2.61,0.465,,1.37,2.521,1674.0
CAN,2008,2.775,0.344,3.634,0.608,2.34,4495.0
CAN,2011,2.611,0.482,3.538,0.475,2.211,3458.0
CAN,2015,2.744,-0.158,3.932,0.477,2.108,4202.0
CAN,2019,2.644,0.549,3.719,1.559,1.909,2889.0
CHE,1999,2.63,,2.638,1.184,2.085,2048.0
CHE,2003,2.677,0.061,,1.372,2.147,1418.0
CHE,2007,2.811,0.009,3.583,0.792,1.982,3164.0
CHE,2011,2.894,0.03,2.832,1.348,2.02,4391.0
CHE,2019,2.96,-0.019,1.644,1.375,2.093,4645.0
CHL,1999,,,,0.0,2.771,1173.0
CHL,2005,2.486,0.733,,1.02,2.177,1200.0
CHL,2009,,,5.287,0.761,2.202,1200.0
CHL,2017,1.741,0.071,3.557,0.476,2.249,2000.0
CRI,2018,2.163,0.359,2.841,0.662,1.902,1456.0
CZE,1996,2.337,,5.158,1.483,1.796,1229.0
CZE,2002,2.039,0.397,,0.901,2.581,948.0
CZE,2006,2.16,0.063,5.122,1.068,2.231,2002.0
CZE,2010,2.075,0.559,4.389,0.943,2.331,1857.0
CZE,2013,1.888,0.088,4.787,0.828,2.448,1653.0
CZE,2017,2.214,0.302,5.37,1.008,2.234,1559.0
CZE,2021,2.115,,4.976,1.025,2.107,1490.0
DEU,1998,2.523,,3.702,1.13,2.078,2019.0
DEU,2002,2.362,0.432,,1.331,2.578,3023.0
DEU,2005,2.365,0.298,3.853,1.583,2.739,2018.0
DEU,2009,2.331,0.568,3.194,1.152,2.467,2095.0
DEU,2013,2.504,0.232,2.73,1.192,2.479,1889.0
DEU,2017,2.662,0.032,2.701,1.258,2.219,2032.0
DEU,2021,2.512,0.709,3.878,1.23,2.114,3152.0
DNK,1998,3.091,,3.75,0.994,1.978,2001.0
DNK,2001,3.234,0.139,,1.019,2.152,2026.0
DNK,2007,3.189,0.295,3.485,1.01,1.94,1442.0
DNK,2019,3.057,-0.049,4.001,1.226,1.993,1418.0
ESP,1996,2.518,,4.968,1.302,1.989,1212.0
ESP,2000,3.021,,3.691,1.182,2.024,1208.0
ESP,2004,2.667,-0.22,,1.449,1.936,1212.0
ESP,2008,2.747,0.267,4.736,1.518,2.023,1204.0
EST,2011,2.2,0.652,4.479,1.231,2.165,1000.0
FIN,2003,2.515,0.004,,1.199,2.359,1196.0
FIN,2007,2.672,0.311,2.465,1.442,2.039,1283.0
FIN,2011,2.635,0.194,3.018,1.475,1.939,1298.0
FIN,2015,2.61,0.052,2.823,0.335,2.007,1587.0
FIN,2019,2.652,0.195,3.624,0.319,1.848,1598.0
FRA,2002,2.371,,,1.359,2.515,1000.0
FRA,2007,2.513,0.257,4.097,1.635,2.347,2000.0
FRA,2012,2.483,,4.448,1.529,2.523,2014.0
FRA,2017,2.243,,4.472,1.292,2.595,1830.0
GBR,1997,2.717,,3.499,1.539,2.238,2897.0
GBR,2005,2.614,0.411,,1.197,2.808,860.0
GBR,2015,2.531,0.493,3.338,1.404,2.352,1567.0
GBR,2017,2.338,0.545,3.894,1.428,2.048,984.0
GBR,2019,2.219,0.489,4.449,1.349,2.106,2537.0
GRC,2009,1.758,0.323,3.433,1.535,2.891,1022.0
GRC,2012,1.31,-0.072,5.057,1.024,2.626,1029.0
GRC,2015,1.452,-0.049,4.804,1.238,2.402,2086.0
GRC,2019,1.653,0.633,6.267,1.061,2.303,1324.0
HKG,1998,2.476,,1.947,0.165,2.37,1000.0
HKG,2000,2.098,,1.499,0.122,2.71,674.0
HKG,2004,2.08,0.417,,0.581,2.462,582.0
HKG,2008,2.317,0.394,2.423,0.651,2.917,815.0
HKG,2012,2.214,0.73,3.224,0.895,2.853,1044.0
HKG,2016,2.193,0.601,3.679,0.772,2.637,1020.0
HRV,2007,1.814,0.739,4.137,1.22,2.45,1004.0
HUN,1998,2.019,,4.797,1.129,2.039,1525.0
HUN,2002,2.208,-0.902,,0.493,1.791,1200.0
HUN,2018,2.254,1.303,6.721,0.996,2.112,1208.0
IND,2019,2.894,0.415,3.822,0.0,2.762,13963.0
IRL,2002,2.772,0.435,,0.567,2.317,2367.0
IRL,2007,2.79,0.335,,1.003,2.06,1435.0
IRL,2011,2.316,-0.018,3.567,0.248,2.193,1853.0
IRL,2016,2.599,0.195,3.855,1.361,1.807,1000.0
ISL,1999,2.858,,2.907,1.351,1.756,1631.0
ISL,2003,2.652,0.672,,1.356,1.831,1446.0
ISL,2007,2.642,0.418,3.161,1.463,1.902,1595.0
