code,mass_ideol,elite_ideol
ALB,3.8430105404533546,5.62381902045445
ARG,2.2294235763241734,0.5856134093198179
AUS,2.1795840214839695,2.594542709831731
AUT,1.898921745831463,3.5574656152710937
BEL,2.1421616040530407,2.740901574871045
BGR,2.6558513543973294,4.726449174075259
BLR,2.2226642379439836,1.743307358126824
BRA,3.126269881098194,1.6931034625900978
CAN,1.9768541717705583,2.7032624994342864
CHE,2.376393671774516,4.359234387736689
CHL,2.6310145869146653,5.073216162291238
CRI,2.7404181841970567,1.2283780144683154
CZE,2.4625803838235236,4.913933213733437
DEU,2.098649581930573,3.4202838700926206
DNK,2.4428004821879297,3.769795697404319
ESP,2.0983856681155615,4.2521863186816455
EST,2.3565977287274955,3.6701775853507392
FIN,2.22224863961738,3.3906546283351005
FRA,2.4690395892425494,4.677866928023723
GBR,2.062334058169011,3.396616352892072
GRC,2.521559524087783,4.321832314728945
HKG,2.037529059399701,2.768136844196256
HRV,2.8508028808641,4.81329463865921
HUN,2.5709303711312965,4.848716403198206
IND,3.3897779015494827,1.6523559894862936
IRL,2.1069213482429614,2.506554068128745
ISL,2.152876337921945,4.294032547875488
ISR,2.9545439551174466,3.7476577937681115
ITA,2.789704708049701,3.87744730781382
JPN,1.6205689170005464,2.053610195128729
KEN,3.743635988886349,5.491144792747229
KGZ,3.2483001775378617,
KOR,2.316311408367625,3.019062184007188
LTU,2.5047256062953642,2.620054827235741
LVA,2.298036542940938,2.5717187048399115
MEX,2.8765858703600355,2.2979829854937117
MNE,3.161914104534926,0.9340705972959169
NLD,2.2434410948474643,3.9258167461838744
NOR,2.2495120552747245,4.130291762532202
NZL,2.3918029886867735,3.6742394635747457
PER,2.712306831081843,2.126836322912637
PHL,2.4006010911852833,0.7014373100428232
POL,2.600480685863366,4.134540210094342
PRT,2.4818395046707438,3.8917443590152083
ROU,3.04803910571856,2.3587903727848087
RUS,2.686868830328756,4.463906454709537
SLV,2.6492240037504384,
SRB,2.8022679081032833,1.3231072557520016
SVK,2.547615991945969,3.9926708164398033
SVN,2.3740750364463485,3.2618233110447767
SWE,2.460026654502159,4.865864663507608
THA,2.3487220581525055,1.1127620210552198
TUN,3.3228631287089923,0.33285215483004615
TUR,2.9761953120572113,5.83399008157807
TWN,1.863457782024196,1.2016255981821318
UKR,3.282153034951571,4.240240012629718
URY,2.998942582774618,5.035240733413317
USA,2.373569458119366,2.482751909651957
ZAF,2.3670182381356852,1.9816616848319764
