code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
ALB,2005,0,1.7891628944208893,374.0,8.838161838161838,44.05999999999999,3.838161838161838,right,0.0,False,0
ALB,2005,1,3.2416732664958743,234.0,1.5099800399201597,39.440000000000005,3.4900199600798403,left,0.0,False,0
ALB,2005,4,3.658333882485499,73.0,2.795505617977528,8.230000000000002,2.204494382022472,left,0.0,False,0
ALB,2017,0,2.1604817228904656,432.0,2.6621499548328815,48.34,2.3378500451671185,left,0.0,False,0
ALB,2017,1,1.9850660292664868,196.0,7.532588454376164,28.849999999999998,2.532588454376164,right,0.0,False,0
ARG,2015,0,2.9761281883584045,278.0,5.281840591618734,37.4,0.2818405916187343,center,0.0,False,0
ARG,2015,6,3.00257490040422,144.0,5.670843776106934,,0.6708437761069339,center,0.0,False,0
ARG,2015,7,2.8522509403476644,42.0,4.912521440823328,,0.08747855917667202,center,0.0,False,0
ARG,2015,8,5.768263632901399,170.0,5.485221674876847,,0.485221674876847,center,0.0,False,0
AUS,1996,0,3.5641768679265438,605.0,4.327659574468085,38.699999999999996,0.6723404255319148,center,1.0,True,0
AUS,1996,1,3.4597238674277193,597.0,6.446453407510431,38.60000000000001,1.4464534075104307,right,1.0,True,0
AUS,1996,2,4.971744679544389,76.0,6.50074294205052,8.200000000000001,1.50074294205052,right,1.0,True,0
AUS,1996,3,4.084016299570378,52.0,4.687640449438202,6.700000000000001,0.31235955056179776,center,1.0,True,0
AUS,2004,0,3.7925545833840713,674.0,7.03542234332425,40.470000000000006,2.0354223433242504,right,1.0,True,0
AUS,2004,1,3.2591929224426996,512.0,4.313904494382022,37.63999999999999,0.6860955056179776,center,1.0,True,0
AUS,2004,2,4.017766092883459,83.0,3.2125,7.189999999999999,1.7875,left,1.0,True,0
AUS,2004,3,5.460145920666637,52.0,6.586360266864344,5.89,1.586360266864344,right,1.0,True,0
AUS,2007,0,3.107364672164646,638.0,4.348688419705694,43.38,0.6513115802943057,center,1.0,True,0
AUS,2007,1,3.660927553068083,666.0,6.846056782334385,36.279999999999994,1.8460567823343847,right,1.0,True,0
AUS,2007,2,4.846712407089766,66.0,6.565100671140939,5.490000000000001,1.5651006711409394,right,1.0,True,0
AUS,2007,3,4.691637492647874,98.0,3.6135298057602143,7.790000000000001,1.3864701942397857,left,1.0,True,0
AUS,2013,0,2.9234333757553923,1420.0,6.49568265614546,40.940000000000005,1.4956826561454601,right,1.0,True,0
AUS,2013,1,2.970839448868874,1356.0,4.166888603354759,33.38,0.8331113966452408,center,1.0,True,0
AUS,2013,2,3.5479897771603626,234.0,2.985480833246824,8.650000000000002,2.014519166753176,left,1.0,True,0
AUS,2013,4,4.701615664028812,147.0,6.201721718938967,4.609999999999999,1.201721718938967,right,1.0,True,0
AUS,2019,0,3.2319041511339486,570.0,6.424511062536049,36.659999999999975,1.424511062536049,right,1.0,True,0
AUS,2019,1,3.719917926274109,467.0,3.899561830833693,33.34000000000002,1.1004381691663072,left,1.0,True,0
AUS,2019,2,4.053688093125963,239.0,3.0045632024512043,10.400000000000002,1.9954367975487957,left,1.0,True,0
AUS,2019,3,4.995533461945491,60.0,6.175591801910037,4.509999999999999,1.1755918019100369,right,1.0,True,0
AUS,2019,5,3.3648586693383686,39.0,6.396461279473314,3.079999999999999,1.3964612794733142,right,1.0,True,0
AUT,2008,0,3.253123759342246,281.0,2.993937037431632,29.300000000000008,2.006062962568368,left,0.0,True,0
AUT,2008,1,3.0725444871184093,277.0,5.694807606712212,26.0,0.694807606712212,center,0.0,True,0
AUT,2008,2,3.234360521899592,111.0,7.953473482224042,17.5,2.953473482224042,right,0.0,True,0
AUT,2008,3,3.905581911353668,47.0,7.366314487312008,10.7,2.3663144873120077,right,0.0,True,0
AUT,2008,4,3.2983684835392015,69.0,2.5650281672048383,10.400000000000002,2.4349718327951617,left,0.0,True,0
AUT,2013,0,3.0068855370662284,189.0,3.8447691152249335,26.819999999999997,1.1552308847750665,left,0.0,True,0
AUT,2013,1,3.598304707930588,170.0,5.504048158188782,23.990000000000002,0.5040481581887821,center,0.0,True,0
AUT,2013,2,3.5995576596327696,61.0,7.210469541395964,20.509999999999998,2.2104695413959643,right,0.0,True,0
AUT,2013,3,3.032745061049607,86.0,3.1685284120219372,12.419999999999998,1.8314715879780628,left,0.0,True,0
