code,elite_pol,fptp,elec_family,democracy,anglophone,tier_established,tier_all_dem,microstate,api_mean,api_latest,spread_mean,spread_latest,latest_year,n_parties,n_elections,affpol
ALB,-1.1088,0.0,,0.5195000000000001,0,False,True,0,5.668,5.125,2.708,2.258,2017,6.611,2,5.125
ARG,1.9010000000000002,0.0,,0.7809,0,False,True,0,4.347,4.347,1.579,1.579,2015,5.717,1,4.347
AUS,-1.1225999999999998,1.0,AV,0.8501999999999998,1,True,True,0,4.64,4.698,2.465,2.402,2019,4.751,5,4.698
AUT,-0.3704,0.0,,0.8526,0,True,True,0,4.243,4.346,2.349,2.221,2017,6.404,3,4.346
BEL,-1.2526,0.0,,0.8977999999999999,0,True,True,0,4.152,4.909,2.197,2.438,2019,5.672,5,4.909
BGR,-0.0898,0.0,,0.6438,0,False,True,0,6.476,6.917,2.816,2.533,2014,6.86,2,6.917
BLR,2.0915,1.0,,0.2136,0,False,False,0,4.283,3.472,1.458,1.037,2008,4.688,2,3.472
BRA,1.7388,0.0,,0.7533,0,False,True,0,4.521,5.127,1.982,2.048,2018,5.698,5,5.127
CAN,-0.8344000000000001,1.0,FPTP,0.8398,1,False,True,0,4.156,3.921,2.206,2.197,2019,4.461,6,3.921
CHE,-1.599,0.0,,0.8968,0,True,True,0,4.364,4.159,2.535,2.607,2011,5.486,4,4.159
CHL,-0.24700000000000003,0.0,,0.8552,0,True,True,0,4.232,4.436,2.147,1.596,2017,5.76,4,4.436
CRI,-1.185,0.0,,0.8868,0,True,True,0,3.688,3.688,1.995,1.995,2018,5.372,1,3.688
CZE,-0.9634,0.0,,0.8324,0,True,True,0,5.41,5.195,2.558,2.357,2021,6.674,7,5.195
DEU,-0.7424999999999999,0.0,,0.8686999999999999,0,True,True,0,4.08,4.305,2.449,2.676,2021,6.932,8,4.305
DNK,-2.6508000000000003,0.0,,0.917,0,True,True,0,4.329,4.534,2.54,2.569,2019,7.631,4,4.534
ESP,-0.29469999999999996,0.0,,0.8523,0,True,True,0,4.897,4.946,2.201,2.279,2008,5.103,4,4.946
